,Date,Weights,Profit,Base Profit,Volume,ABT,PFE,BMY,JNJ,MMM,TFX,ATRI,CRY,IEX,ITT,FLS,GGG,cash
0,2014-01-06,"[0.07455706 0.07795368 0.07494315 0.07578878 0.0748193  0.07564894
 0.07647439 0.08070348 0.07791749 0.07741911 0.07961535 0.0784289
 0.07573034]",0.9998148816208567,0.9998000000000002,0.9254429116845131,0.07795368134975433,0.07494314759969711,0.07578878104686737,0.07481929659843445,0.07564894109964371,0.0764743909239769,0.0807034820318222,0.07791748642921448,0.07741910964250565,0.07961535453796387,0.07842890173196793,0.0757303386926651,0.07455705851316452
1,2014-01-07,"[0.07322836 0.07751049 0.07463759 0.07644714 0.07514507 0.07577069
 0.07637395 0.08062445 0.07763223 0.07751735 0.07967302 0.07868885
 0.0767508 ]",1.0066398010575295,1.0072034270788996,0.00375498896691168,0.07751049101352692,0.07463759183883667,0.07644714415073395,0.07514507323503494,0.07577069103717804,0.07637394964694977,0.08062444627285004,0.07763223350048065,0.07751735299825668,0.07967302203178406,0.0786888524889946,0.07675080001354218,0.07322835922241211
2,2014-01-08,"[0.07335588 0.07749791 0.07444032 0.07650618 0.07508291 0.07573773
 0.0762939  0.08072956 0.07756096 0.07765391 0.07978062 0.07866956
 0.07669058]",1.0026869960519056,1.0029114793230016,0.0049560517522497585,0.07749790698289871,0.07444031536579132,0.07650617510080338,0.07508290559053421,0.07573772966861725,0.07629390060901642,0.08072955906391144,0.07756096124649048,0.0776539072394371,0.07978061586618423,0.07866955548524857,0.07669057697057724,0.07335588335990906
3,2014-01-09,"[0.07335113 0.07755313 0.07449681 0.07647743 0.07506055 0.07585627
 0.0763013  0.08061193 0.07748446 0.07766981 0.07977197 0.07866272
 0.07670252]",1.0039558345321478,1.0043140746890507,0.007947010917233512,0.07755313068628311,0.0744968056678772,0.07647743076086044,0.07506055384874344,0.0758562684059143,0.07630129903554916,0.0806119292974472,0.07748445868492126,0.07766980677843094,0.0797719657421112,0.07866271585226059,0.07670252025127411,0.07335112988948822
4,2014-01-10,"[0.0734164  0.07752293 0.07437789 0.07654166 0.07498841 0.07587459
 0.07626897 0.08062986 0.07736589 0.07779236 0.07985538 0.07863314
 0.07673249]",1.0074707360384467,1.0082053946880614,0.005422265130196087,0.07752292603254318,0.0743778869509697,0.07654166221618652,0.07498840987682343,0.07587458938360214,0.07626897096633911,0.0806298553943634,0.07736589014530182,0.07779236137866974,0.07985538244247437,0.0786331370472908,0.07673249393701553,0.07341639697551727
5,2014-01-13,"[0.07347339 0.07750601 0.07440154 0.07653452 0.07503802 0.07585517
 0.07626192 0.08068446 0.07743239 0.07775857 0.07976711 0.07859246
 0.0766944 ]",1.014587750943289,1.0158656634647425,0.006957751541506561,0.07750600576400757,0.07440153509378433,0.07653452455997467,0.07503802329301834,0.07585517317056656,0.07626192271709442,0.08068446069955826,0.07743239402770996,0.07775857299566269,0.07976710796356201,0.0785924643278122,0.07669439911842346,0.07347339391708374
6,2014-01-14,"[0.07353281 0.0775049  0.07436577 0.07653454 0.07500298 0.07588739
 0.07624187 0.08071287 0.07738578 0.0778036  0.07978584 0.07859629
 0.07664537]",1.0148501729842776,1.0161133652552883,0.0102299341487882,0.07750489562749863,0.0743657723069191,0.07653453946113586,0.07500297576189041,0.07588738948106766,0.0762418732047081,0.08071286976337433,0.07738577574491501,0.0778036043047905,0.07978583872318268,0.07859629392623901,0.0766453742980957,0.07353281229734421
7,2014-01-15,"[0.07370622 0.07741508 0.07415572 0.07665853 0.07496986 0.07579108
 0.07616384 0.08091773 0.07739161 0.07792539 0.07983812 0.07851163
 0.07655519]",1.0082130202516932,1.0090464961555285,0.00342580396927092,0.07741507887840271,0.07415571808815002,0.07665853202342987,0.07496985793113708,0.07579107582569122,0.07616384327411652,0.08091773092746735,0.0773916095495224,0.07792539149522781,0.07983811944723129,0.07851163297891617,0.07655518501996994,0.07370621711015701
8,2014-01-16,"[0.07361361 0.07741042 0.07422131 0.07658146 0.07511479 0.07568227
 0.07616649 0.08094021 0.07750612 0.07785952 0.07976051 0.07857976
 0.07656353]",1.0159412881156098,1.0174234625310754,0.0048877302995471205,0.07741042226552963,0.07422130554914474,0.0765814557671547,0.07511479407548904,0.07568226754665375,0.07616648823022842,0.08094020932912827,0.07750612497329712,0.07785952091217041,0.07976050674915314,0.07857976108789444,0.0765635296702385,0.07361361384391785
9,2014-01-17,"[0.07361203 0.07741397 0.0741658  0.07655084 0.07519387 0.07559942
 0.07611935 0.08106987 0.07759242 0.07785132 0.07973896 0.07861486
 0.0764773 ]",1.0145858585654148,1.015813897299859,0.007441726617938957,0.07741396874189377,0.07416579872369766,0.07655084133148193,0.0751938670873642,0.07559942454099655,0.07611934840679169,0.08106987178325653,0.07759241759777069,0.0778513178229332,0.07973895967006683,0.07861486077308655,0.0764772966504097,0.0736120268702507
10,2014-01-21,"[0.0737007  0.07740274 0.07420123 0.07652759 0.07521836 0.07557821
 0.07614631 0.08110457 0.07767068 0.0778069  0.07965029 0.07858263
 0.07640979]",1.0169048230704074,1.0183820332222213,0.004486170874753106,0.0774027407169342,0.07420123368501663,0.07652758806943893,0.07521836459636688,0.07557820528745651,0.07614631205797195,0.0811045691370964,0.07767067849636078,0.07780690491199493,0.07965029031038284,0.07858262956142426,0.07640978693962097,0.07370070368051529
