,Date,Weights,Profit,Base Profit,Volume,BKTI,MSI,VSAT,SCON,OLN,FMC,BCPC,GRA,CLB,RES,HLX,ENSV,cash
0,2014-01-06,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",0.995625,0.995,0.875,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
1,2014-01-07,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0023967249459933,1.0020811557511342,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
2,2014-01-08,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0414106953985212,1.0245099620015663,0.004583072139286626,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
3,2014-01-09,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0182042593508067,1.0120496698061827,0.06259022456273058,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
4,2014-01-10,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0436549434636875,1.0291345150218407,0.02289446450449824,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
5,2014-01-13,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.026259614661408,1.0152618986278699,0.031021006164355613,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
6,2014-01-14,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0251935639186183,1.016326389689217,0.023760874950697675,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
7,2014-01-15,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.03033347237542,1.0158469050675611,0.0077837755887646696,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
8,2014-01-16,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0386083573775426,1.0268160479647597,0.026973840414024723,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
9,2014-01-17,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0537512336793076,1.0377309206911705,0.015907211750667935,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
10,2014-01-21,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0676676496606081,1.048237201143158,0.017461885892081915,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
11,2014-01-22,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0616575368912198,1.0491240533199562,0.023074181013132536,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
12,2014-01-23,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.07369559587148,1.0514384815708098,0.014114813127678013,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
13,2014-01-24,"[0.125 0.125 0.    0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.125
 0.125]",1.0775217516231332,1.0558254175238613,0.01629605277666857,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
