,Date,Weights,Profit,Base Profit,Volume,VSAT,SCON,MSI,BKTI,ATRI,MMM,CRY,TFX,BMY,ABT,JNJ,PFE,cash
0,2014-01-06,"[0.07349736 0.07603255 0.07465152 0.07825404 0.07807407 0.07914128
 0.07701434 0.07604484 0.07847792 0.07707272 0.0783116  0.07553253
 0.07789523]",0.9998147143679067,0.9998000000000002,0.9265026524662971,0.07603254914283752,0.07465152442455292,0.07825404405593872,0.07807406783103943,0.0791412815451622,0.07701434195041656,0.07604484260082245,0.07847791910171509,0.07707271724939346,0.07831159979104996,0.07553253322839737,0.07789523154497147,0.07349736243486404
1,2014-01-07,"[0.07287081 0.07580113 0.07495596 0.07855567 0.07878239 0.07902239
 0.07693242 0.07596159 0.07825164 0.07722286 0.07777718 0.0755441
 0.07832188]",1.0065547248104394,1.0071331590583266,0.003178327811149454,0.07580113410949707,0.07495595514774323,0.07855566591024399,0.07878238707780838,0.07902238517999649,0.07693241536617279,0.07596158981323242,0.07825164496898651,0.07722286134958267,0.07777717709541321,0.0755440965294838,0.07832188159227371,0.07287081331014633
2,2014-01-08,"[0.07304246 0.07585654 0.07526216 0.07851914 0.07872638 0.07907145
 0.07693686 0.07590935 0.07802998 0.07703285 0.07771012 0.07557362
 0.07832907]",1.0285627409958267,1.0316658876882507,0.00565206808819285,0.0758565366268158,0.0752621591091156,0.07851913571357727,0.0787263810634613,0.07907144725322723,0.07693685591220856,0.07590935379266739,0.07802997529506683,0.07703284919261932,0.0777101218700409,0.0755736231803894,0.07832907140254974,0.07304245978593826
3,2014-01-09,"[0.07285135 0.07572142 0.07529671 0.07847877 0.07881156 0.07904717
 0.07689717 0.07595843 0.07827275 0.07718652 0.07763674 0.07555489
 0.07828649]",1.0211871108842088,1.0218749071142033,0.0416682610437685,0.07572142034769058,0.07529670745134354,0.07847876846790314,0.07881156355142593,0.07904716581106186,0.07689717411994934,0.07595843076705933,0.078272745013237,0.07718651741743088,0.07763674110174179,0.07555489242076874,0.07828649133443832,0.07285135239362717
4,2014-01-10,"[0.07276593 0.07559443 0.07552015 0.07845494 0.07885177 0.07906128
 0.07685889 0.07597297 0.07836484 0.07723867 0.07754263 0.07555823
 0.0782153 ]",1.0336222328954017,1.036015195156497,0.020990791269041385,0.07559442520141602,0.07552015036344528,0.07845494151115417,0.07885176688432693,0.07906127721071243,0.07685889303684235,0.07597296684980392,0.07836484163999557,0.07723867148160934,0.07754262536764145,0.07555823028087616,0.07821530103683472,0.07276593148708344
5,2014-01-13,"[0.07261662 0.0755587  0.07554216 0.07844612 0.07891573 0.07903485
 0.07683573 0.0759922  0.07850512 0.07734625 0.07749194 0.07554783
 0.0781667 ]",1.0304600184534074,1.030722899228836,0.015577965694752637,0.07555869966745377,0.0755421593785286,0.07844612002372742,0.07891573011875153,0.07903485000133514,0.07683572918176651,0.07599219679832458,0.07850512117147446,0.07734625041484833,0.07749193906784058,0.07554782927036285,0.07816670089960098,0.07261662185192108
6,2014-01-14,"[0.07257043 0.07552385 0.07561763 0.07844272 0.07895015 0.07903434
 0.07681619 0.07600129 0.07853132 0.0773693  0.0774503  0.07554322
 0.07814928]",1.0277503122570786,1.0278975692814445,0.018534657184427542,0.07552385330200195,0.07561763375997543,0.07844271510839462,0.07895015180110931,0.07903434336185455,0.07681618630886078,0.07600129395723343,0.07853132486343384,0.07736929506063461,0.07745029777288437,0.07554321736097336,0.07814928144216537,0.07257042825222015
7,2014-01-15,"[0.07251462 0.07547736 0.07566645 0.07842846 0.078958   0.07903998
 0.07680818 0.0759801  0.078617   0.07742043 0.07742648 0.0755586
 0.07810433]",1.0231333780088088,1.0218959486300816,0.004052597357767596,0.07547736167907715,0.07566644996404648,0.07842846214771271,0.07895799726247787,0.07903998345136642,0.07680817693471909,0.07598010450601578,0.07861699908971786,0.0774204283952713,0.077426478266716,0.07555859535932541,0.07810433208942413,0.0725146234035492
8,2014-01-16,"[0.07255698 0.07556216 0.07557879 0.07845044 0.0789433  0.07904214
 0.07682302 0.07596663 0.07853989 0.07738192 0.07746825 0.07555708
 0.07812942]",1.0323515223988715,1.0321316341456213,0.012570595945764162,0.07556215673685074,0.07557879388332367,0.07845044136047363,0.07894330471754074,0.07904213666915894,0.07682301849126816,0.07596662640571594,0.0785398930311203,0.0773819237947464,0.07746824622154236,0.07555707544088364,0.07812941819429398,0.0725569799542427
9,2014-01-17,"[0.07265801 0.07567225 0.07552765 0.07846241 0.07891421 0.07906879
 0.07684073 0.0759351  0.07839089 0.07727698 0.0774993  0.07557055
 0.07818314]",1.0373044497471644,1.0386832446545762,0.0077985464555633465,0.07567224651575089,0.07552764564752579,0.07846241444349289,0.07891421020030975,0.07906879484653473,0.07684072852134705,0.07593510299921036,0.07839088886976242,0.07727698236703873,0.07749930024147034,0.07557054609060287,0.0781831368803978,0.072658009827137
10,2014-01-21,"[0.07264482 0.07567757 0.07549948 0.07846138 0.07892927 0.07906973
 0.07683147 0.07595    0.07839164 0.07729039 0.07750672 0.07556137
 0.07818612]",1.043206306298711,1.0446116317526883,0.01362946772825619,0.07567757368087769,0.07549948245286942,0.07846137881278992,0.07892926782369614,0.07906972616910934,0.07683147490024567,0.07594999670982361,0.07839164137840271,0.07729039341211319,0.07750672101974487,0.07556136697530746,0.07818612456321716,0.07264482229948044
