,Date,Weights,Profit,Base Profit,RES,ENSV,HLX,CLB,AAME,GL,CIA,FFG,ATRI,TFX,MMM,CRY,cash
0,2014-01-06,"[0.08611836 0.         0.         0.18018226 0.         0.09470581
 0.11519862 0.13743887 0.11498474 0.14228021 0.         0.12909112
 0.        ]",0.9999999999908612,0.9999999999917246,0.0,0.0,0.18018226249722163,0.0,0.09470580860878305,0.11519861724037242,0.13743887254552276,0.11498474312201903,0.1422802120289115,0.0,0.12909112250833327,0.0,0.08611836144883635
1,2014-01-07,"[0.         0.         0.         0.20873778 0.         0.09849159
 0.12320267 0.15074427 0.12071019 0.15826705 0.         0.13984646
 0.        ]",0.9977154369237147,1.0010569983684354,0.0,0.0,0.20873777831446616,0.0,0.09849158852416953,0.1232026734766696,0.15074426903482055,0.12071018585955773,0.15826704935836822,0.0,0.1398464554319481,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.21153397 0.         0.09759246
 0.12258916 0.15081746 0.11957259 0.15888854 0.         0.13900582
 0.        ]",0.993020683437365,0.9982176966082978,0.0,0.0,0.21153396966983284,0.0,0.09759246482389693,0.12258915541509102,0.15081746325304435,0.11957258756151051,0.1588885380037291,0.0,0.13900582127289524,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.21201175 0.         0.09757313
 0.12243941 0.15102007 0.11911298 0.15938838 0.         0.13845428
 0.        ]",0.9880614643864953,0.9963429670622018,0.0,0.0,0.21201174649081897,0.0,0.09757312567355614,0.12243941456199782,0.15102007219519312,0.11911297987963956,0.15938838286184104,0.0,0.13845427833695353,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.21136809 0.         0.09780096
 0.12261211 0.15110668 0.11948653 0.15935745 0.         0.13826818
 0.        ]",0.982968025983096,0.999735101356416,0.0,0.0,0.2113680915315426,0.0,0.09780095701290313,0.12261211034424659,0.15110667659588284,0.1194865265698704,0.15935745428981615,0.0,0.13826818365573817,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.2114821  0.         0.09786756
 0.12207422 0.15120046 0.11903855 0.16011662 0.         0.13822049
 0.        ]",0.9846871164489277,1.0001170988296135,0.0,0.0,0.21148209746345017,0.0,0.09786755760677167,0.12207422463318793,0.1512004599012501,0.1190385467850288,0.16011662062251011,0.0,0.13822049298780129,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.21166366 0.         0.09771747
 0.12191822 0.15108124 0.11917022 0.15993243 0.         0.13851676
 0.        ]",0.9804324132673532,1.0006054465478242,0.0,0.0,0.2116636571221999,0.0,0.09771747272508176,0.12191821602145873,0.15108124297720177,0.11917021647669665,0.15993243062510157,0.0,0.13851676405225966,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.21148603 0.         0.09768901
 0.12193487 0.15091148 0.11947135 0.15970281 0.         0.13880444
 0.        ]",0.9692177115261736,0.99822494246411,0.0,0.0,0.21148602508432635,0.0,0.09768901233031119,0.12193487203518588,0.1509114847169561,0.11947135091093405,0.1597028102623052,0.0,0.13880444465998126,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.21278579 0.         0.09721614
 0.12126454 0.15073414 0.11848001 0.16042939 0.         0.13908998
 0.        ]",0.9726204908363185,1.0009609671951414,0.0,0.0,0.21278579248632085,0.0,0.09721614231327036,0.12126454219358872,0.15073413756721232,0.11848001439406329,0.1604293887925702,0.0,0.13908998225297423,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.21449389 0.         0.09673745
 0.12051553 0.15056582 0.11689038 0.1617003  0.         0.13909662
 0.        ]",0.9721155376228885,1.001608346018976,0.0,0.0,0.21449389143241648,0.0,0.09673745223261708,0.12051552968077428,0.15056582239309235,0.11689038125881543,0.1617003049018971,0.0,0.13909661810038726,0.0,0.0
10,2014-01-21,"[0.         0.         0.         0.21551857 0.         0.09627758
 0.11977148 0.15038915 0.11625079 0.16242402 0.         0.1393684
 0.        ]",0.9605769532027844,1.0061552363877944,0.0,0.0,0.21551857413478395,0.0,0.09627757963374557,0.11977147821446087,0.15038915217440052,0.1162507933750921,0.16242402229813457,0.0,0.13936840016938232,0.0,0.0
11,2014-01-22,"[0.         0.         0.         0.21835569 0.         0.09533886
 0.11860879 0.14999757 0.11481103 0.16290376 0.         0.1399843
 0.        ]",0.9649045533805877,1.0134332282403888,0.0,0.0,0.218355693894913,0.0,0.09533885642146261,0.11860879013679934,0.14999756817494525,0.11481103222582158,0.16290376061677495,0.0,0.13998429852928335,0.0,0.0
12,2014-01-23,"[0.         0.         0.         0.22021604 0.         0.09474975
 0.11810618 0.1495153  0.11423505 0.16266737 0.         0.1405103
 0.        ]",0.9627259824572197,1.013487286284281,0.0,0.0,0.22021604293631153,0.0,0.09474974996903739,0.118106184291333,0.14951529664795343,0.11423505227905965,0.16266737122834135,0.0,0.14051030264796371,0.0,0.0
13,2014-01-24,"[0.         0.         0.         0.22024741 0.         0.09483451
 0.1180009  0.14944793 0.11380774 0.16327086 0.         0.14039064
 0.        ]",0.9566239790685347,1.0149430705830893,0.0,0.0,0.22024741040647178,0.0,0.09483451499893603,0.11800090369260892,0.14944793338055226,0.11380774140526834,0.16327085589250329,0.0,0.14039064022365938,0.0,0.0
