,Date,Weights,Profit,Base Profit,Volume,IEX,FLS,GGG,ITT,SANM,FLEX,CTS,IEC,ANDE,UVV,STKL,PYX,cash
0,2014-01-06,"[0.18002811 0.         0.14483365 0.         0.14631192 0.
 0.         0.         0.         0.21645834 0.         0.14486578
 0.16750218]",0.9959001257881501,0.9950000000000002,0.8199718743562698,0.0,0.14483365416526794,0.0,0.1463119238615036,0.0,0.0,0.0,0.0,0.21645833551883698,0.0,0.14486578106880188,0.16750217974185944,0.18002811074256897
1,2014-01-07,"[0.17834264 0.         0.14557745 0.         0.1454112  0.
 0.         0.         0.         0.21656278 0.         0.14647748
 0.16762847]",1.0079569252764746,1.0033477472812047,0.0034726423583788064,0.0,0.14557744562625885,0.0,0.1454111933708191,0.0,0.0,0.0,0.0,0.21656277775764465,0.0,0.14647747576236725,0.1676284670829773,0.17834264039993286
2,2014-01-08,"[0.17892797 0.         0.14549837 0.         0.14515631 0.
 0.         0.         0.         0.21654555 0.         0.14616126
 0.16771051]",0.9909477398363313,0.9928716278735594,0.008145840160212109,0.0,0.1454983651638031,0.0,0.14515630900859833,0.0,0.0,0.0,0.0,0.21654555201530457,0.0,0.1461612582206726,0.16771051287651062,0.1789279729127884
3,2014-01-09,"[0.17978927 0.         0.14530462 0.         0.14495431 0.
 0.         0.         0.         0.21650705 0.         0.14595686
 0.16748786]",0.9894012912028814,0.993742027860033,0.00924693407210488,0.0,0.1453046202659607,0.0,0.14495430886745453,0.0,0.0,0.0,0.0,0.21650704741477966,0.0,0.1459568589925766,0.16748785972595215,0.17978927493095398
4,2014-01-10,"[0.17967454 0.         0.14547734 0.         0.14475201 0.
 0.         0.         0.         0.21632794 0.         0.14648661
 0.16728161]",0.9887748419128783,0.9956431040216376,0.012346938576307103,0.0,0.14547733962535858,0.0,0.14475201070308685,0.0,0.0,0.0,0.0,0.21632793545722961,0.0,0.14648661017417908,0.1672816127538681,0.17967453598976135
5,2014-01-13,"[0.18053956 0.         0.14520697 0.         0.14453866 0.
 0.         0.         0.         0.21618114 0.         0.14656994
 0.16696373]",0.9936085577407456,0.9969217227848465,0.014836516498949171,0.0,0.1452069729566574,0.0,0.14453865587711334,0.0,0.0,0.0,0.0,0.21618114411830902,0.0,0.14656993746757507,0.16696372628211975,0.1805395632982254
6,2014-01-14,"[0.18094723 0.         0.14497747 0.         0.14433642 0.
 0.         0.         0.         0.2159299  0.         0.1470941
 0.16671489]",0.9819261118538045,0.98611855677423,0.003723853696082478,0.0,0.14497746527194977,0.0,0.14433641731739044,0.0,0.0,0.0,0.0,0.21592989563941956,0.0,0.14709410071372986,0.1667148917913437,0.1809472292661667
7,2014-01-15,"[0.18116507 0.         0.14439148 0.         0.14417163 0.
 0.         0.         0.         0.2159127  0.         0.14755042
 0.16680872]",0.9733960874422404,0.978032242927602,0.012025246551406042,0.0,0.1443914771080017,0.0,0.14417162537574768,0.0,0.0,0.0,0.0,0.21591269969940186,0.0,0.14755041897296906,0.16680872440338135,0.18116506934165955
8,2014-01-16,"[0.17842261 0.         0.14320204 0.         0.14467773 0.
 0.         0.         0.         0.2162529  0.         0.14878513
 0.16865961]",0.9699468165163756,0.982223867995122,0.008286165090001883,0.0,0.1432020366191864,0.0,0.14467772841453552,0.0,0.0,0.0,0.0,0.2162528932094574,0.0,0.14878512918949127,0.16865961253643036,0.17842261493206024
9,2014-01-17,"[0.20963897 0.         0.12406875 0.         0.14285529 0.
 0.         0.         0.         0.22018585 0.         0.14557606
 0.15767504]",0.9785136066464515,0.9912403309967752,0.03269679411773778,0.0,0.12406875193119049,0.0,0.14285528659820557,0.0,0.0,0.0,0.0,0.22018584609031677,0.0,0.14557605981826782,0.15767504274845123,0.20963896811008453
10,2014-01-21,"[0.20953874 0.         0.11029215 0.11941589 0.12533447 0.
 0.         0.         0.         0.1273741  0.         0.1806996
 0.127345  ]",0.9797972461419534,0.9907811283233773,0.29911112899084485,0.0,0.11029215157032013,0.11941589415073395,0.1253344714641571,0.0,0.0,0.0,0.0,0.1273740977048874,0.0,0.18069960176944733,0.1273449957370758,0.20953874289989471
11,2014-01-22,"[0.16664875 0.         0.1241487  0.12948911 0.1278811  0.
 0.         0.         0.         0.15598042 0.         0.16489404
 0.13095786]",0.9812802953027118,0.9910007338466134,0.07346607021177451,0.0,0.12414870411157608,0.12948910892009735,0.12788109481334686,0.0,0.0,0.0,0.0,0.1559804230928421,0.0,0.16489404439926147,0.13095785677433014,0.1666487455368042
12,2014-01-23,"[0.14580223 0.         0.12906794 0.12773922 0.13064204 0.
 0.         0.         0.         0.17785746 0.         0.14809972
 0.14079139]",0.9805216996230207,0.991294981954041,0.059627551614929254,0.0,0.12906794250011444,0.12773922085762024,0.13064204156398773,0.0,0.0,0.0,0.0,0.17785745859146118,0.0,0.14809972047805786,0.1407913863658905,0.14580222964286804
13,2014-01-24,"[0.14354031 0.         0.1301478  0.12394442 0.13079429 0.
 0.         0.         0.         0.18524998 0.         0.14142022
 0.14490296]",0.981710439219908,0.9873919576506516,0.024236381244948632,0.0,0.1301477998495102,0.12394442409276962,0.13079428672790527,0.0,0.0,0.0,0.0,0.18524998426437378,0.0,0.14142021536827087,0.14490295946598053,0.14354030787944794
