,Date,Weights,Profit,Base Profit,Volume,TECH,NBIX,TTNP,BCRX,C,TCF,JPM,UMBF,PKI,COHR,BIO,WAT,cash
0,2014-01-06,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",0.99999999999125,0.99999999999,0.875,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
1,2014-01-07,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.015484961999371,1.0136475300597692,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
2,2014-01-08,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.0981609838370345,1.0702139596271774,0.010282975705475993,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
3,2014-01-09,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1140334406996857,1.0906492120646742,0.12518476528706263,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
4,2014-01-10,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1332582530195012,1.104003677607242,0.03409223397832838,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
5,2014-01-13,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1423783044312321,1.1137466948248353,0.019700255875750014,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
6,2014-01-14,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1546934842436405,1.1230264297472494,0.015532763835462673,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
7,2014-01-15,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1524748503082254,1.1177549359375776,0.0184158679557229,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
8,2014-01-16,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1841145783366036,1.148245557705778,0.011390178870044343,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
9,2014-01-17,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1678285529447865,1.1346663742917982,0.030197135618940683,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
10,2014-01-21,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.171891421356268,1.1365106127217195,0.023803630620857583,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
11,2014-01-22,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.182442141976379,1.1476467893714049,0.007027152055623129,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
12,2014-01-23,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1942941974662076,1.15392438709227,0.017117076564391515,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
13,2014-01-24,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.2100371175685087,1.1604506143002447,0.02420781794085207,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
14,2014-01-27,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.2048194356433075,1.1536744585822076,0.037754690626764724,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
15,2014-01-28,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.177658389609031,1.1278653705583679,0.013682543167978694,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
16,2014-01-29,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.142056144294059,1.101186002105718,0.03394258469227147,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
17,2014-01-30,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.141685360677937,1.0983170798743755,0.035941779431476556,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
18,2014-01-31,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.139275893179466,1.088686868190234,0.024323722685745335,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
19,2014-02-03,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1426439813038307,1.0867504487697603,0.02131687426034394,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
20,2014-02-04,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1394651572341326,1.084239932545224,0.022018805432139705,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
21,2014-02-05,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1125380278353862,1.058244514868109,0.011999471762986665,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
22,2014-02-06,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.108001306110404,1.0546032657936326,0.015723477033165803,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
23,2014-02-07,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.101418995051822,1.051880168401972,0.01056063837186897,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
24,2014-02-10,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.0995284408886248,1.0514588886251786,0.007810448118521072,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
25,2014-02-11,"[0.125 0.125 0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.
 0.   ]",1.1213503671818559,1.071203557223135,0.01841019966820727,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125
