,Date,Weights,Profit,Base Profit,Volume,SPXC,CVR,LECO,PFIN,EAT,MCD,PZZA,JACK,TRT,ASYS,VECO,IVAC,cash
1333,2019-04-24,"[0.12203668 0.1130619  0.15061763 0.11773057 0.         0.
 0.13116431 0.         0.         0.13979085 0.10739405 0.11820395
 0.        ]",1.2945968863371722,1.1055935913888006,0.01886464326869898,0.11306190490722656,0.15061762928962708,0.11773056536912918,0.0,0.0,0.1311643123626709,0.0,0.0,0.1397908478975296,0.10739405453205109,0.11820394545793533,0.0,0.12203668057918549
1334,2019-04-25,"[0.12201694 0.11311596 0.15058881 0.11778257 0.         0.
 0.13110474 0.         0.         0.13977174 0.10742301 0.11819628
 0.        ]",1.2888599817563402,1.1035334012807294,0.009441765511600192,0.11311595886945724,0.15058881044387817,0.11778257042169571,0.0,0.0,0.1311047375202179,0.0,0.0,0.1397717446088791,0.10742300748825073,0.1181962788105011,0.0,0.12201693654060364
1335,2019-04-26,"[0.12200285 0.1131423  0.15058543 0.11783325 0.         0.
 0.1310055  0.         0.         0.13978735 0.10744816 0.1181952
 0.        ]",1.2914507573970309,1.1035147577771014,0.014028843581570048,0.11314230412244797,0.15058542788028717,0.11783324927091599,0.0,0.0,0.13100549578666687,0.0,0.0,0.13978734612464905,0.10744816064834595,0.11819519847631454,0.0,0.12200285494327545
1336,2019-04-29,"[0.12200257 0.11313126 0.15058269 0.11781683 0.         0.
 0.13100424 0.         0.         0.13979834 0.10746381 0.11820025
 0.        ]",1.282449396444085,1.1021027807905512,0.007200374825844424,0.11313126236200333,0.1505826860666275,0.11781682819128036,0.0,0.0,0.1310042440891266,0.0,0.0,0.1397983431816101,0.10746380686759949,0.11820024996995926,0.0,0.12200257182121277
1337,2019-04-30,"[0.11029083 0.10227009 0.13619447 0.10623731 0.         0.
 0.11823127 0.09513064 0.         0.12701468 0.09752413 0.10710658
 0.        ]",1.288009706581611,1.108191453191323,0.22788257405420478,0.10227008908987045,0.13619446754455566,0.10623730719089508,0.0,0.0,0.11823126673698425,0.09513064473867416,0.0,0.12701468169689178,0.09752412885427475,0.10710658133029938,0.0,0.11029083281755447
1338,2019-05-01,"[0.11027353 0.10225553 0.13616782 0.1062037  0.         0.
 0.11815089 0.09515465 0.         0.12708753 0.09757263 0.10713372
 0.        ]",1.2910190872533192,1.1131961387457485,0.01274524612575106,0.10225553065538406,0.13616782426834106,0.10620369762182236,0.0,0.0,0.11815088987350464,0.09515465050935745,0.0,0.1270875334739685,0.09757263213396072,0.10713372379541397,0.0,0.11027353256940842
1339,2019-05-02,"[0.10978901 0.10306217 0.13539493 0.10670917 0.         0.
 0.1172692  0.09567483 0.         0.12674196 0.09834293 0.1070158
 0.        ]",1.290605953529977,1.1059134930805383,0.008397101705815039,0.10306216776371002,0.13539493083953857,0.10670916736125946,0.0,0.0,0.11726919561624527,0.09567482769489288,0.0,0.12674196064472198,0.09834293276071548,0.10701580345630646,0.0,0.10978901386260986
1340,2019-05-03,"[0.10977831 0.10305913 0.13536958 0.10670035 0.         0.
 0.11728796 0.09568696 0.         0.12671854 0.09836528 0.10703386
 0.        ]",1.2742061181164686,1.0962856594953039,0.013712105232432829,0.10305912792682648,0.13536958396434784,0.1067003458738327,0.0,0.0,0.11728796362876892,0.09568696469068527,0.0,0.12671853601932526,0.09836528450250626,0.1070338562130928,0.0,0.10977830737829208
1341,2019-05-06,"[0.10977401 0.10305663 0.13537176 0.10669504 0.         0.
 0.1172741  0.09569293 0.         0.1267291  0.09836991 0.10703656
 0.        ]",1.2824578353646032,1.1005671068127658,0.012045322717778178,0.10305663198232651,0.13537175953388214,0.10669504106044769,0.0,0.0,0.11727409809827805,0.09569293260574341,0.0,0.1267291009426117,0.09836991131305695,0.10703656077384949,0.0,0.10977400839328766
1342,2019-05-07,"[0.10979991 0.1030734  0.1354067  0.10678654 0.         0.
 0.11731678 0.0956773  0.         0.1266318  0.098304   0.10700358
 0.        ]",1.2948626846704423,1.1067236571447971,0.02415801732820317,0.10307339578866959,0.1354067027568817,0.10678654164075851,0.0,0.0,0.11731677502393723,0.09567730128765106,0.0,0.12663179636001587,0.09830400347709656,0.1070035845041275,0.0,0.10979990661144257
1343,2019-05-08,"[0.10933144 0.10272764 0.134852   0.10606168 0.         0.
 0.11643787 0.0961652  0.         0.12751007 0.09915203 0.10776205
 0.        ]",1.315176556252027,1.1150748332466642,0.024280528160964734,0.10272763669490814,0.13485200703144073,0.10606168210506439,0.0,0.0,0.1164378672838211,0.09616519510746002,0.0,0.12751007080078125,0.09915202856063843,0.10776205360889435,0.0,0.10933144390583038
1344,2019-05-09,"[0.12301954 0.11177255 0.15123667 0.11815351 0.         0.
 0.13179004 0.         0.         0.1389741  0.10650681 0.11854678
 0.        ]",1.3095939623529536,1.1109945269025825,0.2469768255267152,0.1117725521326065,0.1512366682291031,0.11815351247787476,0.0,0.0,0.13179004192352295,0.0,0.0,0.13897410035133362,0.10650680959224701,0.11854677647352219,0.0,0.12301953881978989
1345,2019-05-10,"[0.12329491 0.11206401 0.15171431 0.11894411 0.         0.
 0.13264471 0.         0.         0.13786817 0.10563681 0.11783294
 0.        ]",1.2921778706626772,1.0924970041274604,0.01404612218062468,0.11206401139497757,0.15171431005001068,0.11894410848617554,0.0,0.0,0.13264471292495728,0.0,0.0,0.13786816596984863,0.10563680529594421,0.11783294379711151,0.0,0.12329491227865219
1346,2019-05-13,"[0.12331825 0.11202561 0.15172763 0.11894576 0.         0.
 0.13269527 0.         0.         0.13783611 0.10561034 0.11784104
 0.        ]",1.2679952903301919,1.0838627453552694,0.008201019045335137,0.11202561110258102,0.15172763168811798,0.11894575506448746,0.0,0.0,0.132695272564888,0.0,0.0,0.13783611357212067,0.10561034083366394,0.11784103512763977,0.0,0.12331824749708176
1347,2019-05-14,"[0.13775872 0.12635162 0.16934106 0.13451673 0.         0.
 0.14871389 0.         0.         0.15254822 0.         0.13076971
 0.        ]",1.2537097039746639,1.078526845606478,0.22659103441591333,0.12635162472724915,0.1693410575389862,0.13451673090457916,0.0,0.0,0.1487138867378235,0.0,0.0,0.15254822373390198,0.0,0.13076971471309662,0.0,0.13775871694087982
1348,2019-05-15,"[0.13784549 0.12612881 0.1694516  0.13444811 0.         0.
 0.14895888 0.         0.         0.15241802 0.         0.13074906
 0.        ]",1.2649419682310328,1.0824135314601195,0.008281611700051185,0.12612880766391754,0.16945159435272217,0.1344481110572815,0.0,0.0,0.14895887672901154,0.0,0.0,0.15241801738739014,0.0,0.13074906170368195,0.0,0.1378454864025116
1349,2019-05-16,"[0.13801455 0.12655279 0.1693398  0.13618626 0.         0.
 0.14988934 0.         0.         0.14992352 0.         0.1300937
 0.        ]",1.2427403811460245,1.074534711047515,0.03892131208458111,0.1265527904033661,0.16933980584144592,0.13618625700473785,0.0,0.0,0.14988933503627777,0.0,0.0,0.14992351830005646,0.0,0.13009369373321533,0.0,0.138014554977417
1350,2019-05-17,"[0.13883835 0.13341258 0.16765374 0.13231017 0.         0.
 0.15367346 0.         0.         0.14907466 0.         0.12503704
 0.        ]",1.2475099936334488,1.0798737480022238,0.023851574255794972,0.13341258466243744,0.16765373945236206,0.1323101669549942,0.0,0.0,0.153673455119133,0.0,0.0,0.14907465875148773,0.0,0.1250370442867279,0.0,0.13883835077285767
1351,2019-05-20,"[0.1388557  0.13353586 0.1676469  0.132124   0.         0.
 0.15369134 0.         0.         0.14920713 0.         0.12493908
 0.        ]",1.2361722277388982,1.0739357766037583,0.015953547472644308,0.13353586196899414,0.16764689981937408,0.13212400674819946,0.0,0.0,0.1536913365125656,0.0,0.0,0.14920713007450104,0.0,0.12493907660245895,0.0,0.1388556957244873
1352,2019-05-21,"[0.13884832 0.13349636 0.16770901 0.13209504 0.         0.
 0.15368347 0.         0.         0.1492335  0.         0.12493433
 0.        ]",1.2253361089686825,1.071108353172948,0.007444360902893914,0.13349635899066925,0.16770900785923004,0.13209503889083862,0.0,0.0,0.15368346869945526,0.0,0.0,0.14923350512981415,0.0,0.12493433058261871,0.0,0.13884831964969635
1353,2019-05-22,"[0.13888724 0.13353103 0.16767642 0.13188094 0.         0.
 0.15376242 0.         0.         0.1494129  0.         0.12484901
 0.        ]",1.2223463300949613,1.0754710422631844,0.013892424280853487,0.13353103399276733,0.1676764190196991,0.13188093900680542,0.0,0.0,0.15376241505146027,0.0,0.0,0.14941290020942688,0.0,0.12484901398420334,0.0,0.13888724148273468
1354,2019-05-23,"[0.13887613 0.13366187 0.16760324 0.1319062  0.         0.
 0.15374455 0.         0.         0.14937569 0.         0.12483232
 0.        ]",1.2259679831324886,1.0747001165384256,0.013929639330498492,0.13366186618804932,0.1676032394170761,0.131906196475029,0.0,0.0,0.15374454855918884,0.0,0.0,0.14937569200992584,0.0,0.12483231723308563,0.0,0.13887612521648407
1355,2019-05-24,"[0.13890837 0.13372664 0.16764049 0.13175051 0.         0.
 0.15375017 0.         0.         0.14948702 0.         0.12473681
 0.        ]",1.2218071824924797,1.0671766813744195,0.010285336820044174,0.13372664153575897,0.16764049232006073,0.13175050914287567,0.0,0.0,0.15375016629695892,0.0,0.0,0.14948701858520508,0.0,0.12473680824041367,0.0,0.13890837132930756
1356,2019-05-28,"[0.13892674 0.1338329  0.1676731  0.13167037 0.         0.
 0.15378237 0.         0.         0.14946671 0.         0.1246478
 0.        ]",1.2208133681372653,1.0609109029146098,0.013340809369712313,0.1338329017162323,0.16767309606075287,0.13167037069797516,0.0,0.0,0.15378236770629883,0.0,0.0,0.14946670830249786,0.0,0.12464779615402222,0.0,0.13892674446105957
