,Date,Weights,Profit,Base Profit,CTO,TRC,CIGI,FRPH,FFG,CIA,GL,AAME,PFE,BMY,JNJ,ABT,cash
0,2014-01-06,"[0.07171981 0.10562624 0.10593832 0.08966459 0.12847599 0.10693841
 0.         0.08463624 0.         0.12178224 0.         0.08880129
 0.09641688]",0.9999999999907172,0.9999999999917246,0.10562624411194305,0.10593831872029351,0.08966458976806438,0.12847598600212973,0.10693841117829463,0.0,0.08463623832817344,0.0,0.12178223620364785,0.0,0.08880129207716693,0.09641687518648735,0.0717198084237991
1,2014-01-07,"[0.         0.11374101 0.11411518 0.09545132 0.14151055 0.11499364
 0.         0.0891929  0.         0.13341595 0.         0.0944501
 0.10312934]",1.0089842375838776,1.006423051614864,0.11374101225813023,0.11411518143823053,0.09545132224168587,0.14151055290378445,0.1149936388997263,0.0,0.08919290154416469,0.0,0.13341595145832985,0.0,0.09445010319751564,0.10312933605843234,0.0
2,2014-01-08,"[0.         0.11369255 0.11417937 0.09518089 0.1422008  0.11491115
 0.         0.08884081 0.         0.13386828 0.         0.09419721
 0.10292893]",1.00264306604365,1.000237339503257,0.11369255213831111,0.11417936901514032,0.09518089321846962,0.1422008003372697,0.1149111548136233,0.0,0.08884081235074988,0.0,0.13386827534356005,0.0,0.09419721180728677,0.10292893097558939,0.0
3,2014-01-09,"[0.         0.1135746  0.11413601 0.09528935 0.14224139 0.11478409
 0.         0.08874318 0.         0.13396516 0.         0.09430657
 0.10295966]",1.0057026070248019,1.0007418540441368,0.11357459573546494,0.11413600816847295,0.0952893491348246,0.1422413926556017,0.11478409105025172,0.0,0.08874317521625438,0.0,0.13396516003058717,0.0,0.09430656611113208,0.10295966189741053,0.0
4,2014-01-10,"[0.         0.11352966 0.11408912 0.0953359  0.14222834 0.11473166
 0.         0.08869273 0.         0.13400232 0.         0.09439709
 0.10299318]",1.0090907108695952,1.0037691877327215,0.11352965554823338,0.11408911860144379,0.09533589957590036,0.142228337916066,0.11473166395574497,0.0,0.08869273313311793,0.0,0.13400232365965536,0.0,0.09439708561953149,0.10299318199030674,0.0
5,2014-01-13,"[0.         0.11346673 0.11408076 0.09541609 0.14220233 0.1146456
 0.         0.08865065 0.         0.13403255 0.         0.09448303
 0.10302224]",1.0050733735241264,1.003630866575248,0.11346673031746435,0.11408076300984754,0.09541609378493486,0.14220233471758312,0.11464560471035297,0.0,0.08865064875942234,0.0,0.13403254979628482,0.0,0.09448303485161248,0.1030222400524976,0.0
6,2014-01-14,"[0.         0.11350446 0.11420474 0.09535632 0.14224481 0.11465535
 0.         0.08870639 0.         0.13400389 0.         0.09436471
 0.10295934]",0.9941651221954563,0.9962333796925117,0.11350445529786239,0.11420473608618137,0.09535631823046369,0.14224480580459184,0.11465534596342548,0.0,0.08870639255406065,0.0,0.1340038917986156,0.0,0.09436471273471825,0.1029593415300809,0.0
7,2014-01-15,"[0.         0.11355548 0.1142891  0.09528351 0.14228788 0.11470791
 0.         0.08876514 0.         0.13397143 0.         0.09424038
 0.10289917]",0.9834902620030771,0.9905807408991207,0.113555475033856,0.11428910482340338,0.09528350855423316,0.1422878846751336,0.1147079052399592,0.0,0.08876513761916267,0.0,0.1339714344602431,0.0,0.09424037519298276,0.10289917440102607,0.0
8,2014-01-16,"[0.         0.11356309 0.11428607 0.09526813 0.14229327 0.114715
 0.         0.08876064 0.         0.13396986 0.         0.09424489
 0.10289905]",0.9905547494499299,0.9946796697737245,0.11356309461875123,0.1142860681293564,0.09526812987368345,0.1422932701363161,0.11471499927952292,0.0,0.08876063829117466,0.0,0.13396985898483002,0.0,0.09424488705408467,0.10289905363228075,0.0
9,2014-01-17,"[0.         0.11352031 0.11424654 0.09529922 0.14227396 0.11467489
 0.         0.0887059  0.         0.13400221 0.         0.0943426
 0.10293438]",1.0041818203193174,0.9983196594379317,0.11352031002167554,0.1142465399646441,0.09529921545297848,0.14227396413975427,0.11467488507365735,0.0,0.0887058951969959,0.0,0.13400220919972528,0.0,0.09434260179324014,0.10293437915732903,0.0
