,Date,Weights,Profit,Base Profit,TECH,NBIX,TTNP,BCRX,C,TCF,JPM,UMBF,PKI,COHR,BIO,WAT,cash
0,2014-01-06,"[0.07694202 0.14133311 0.         0.10220123 0.         0.08426405
 0.         0.15184673 0.14443347 0.         0.08434856 0.10050644
 0.1141244 ]",0.9999999999907694,0.9999999999917246,0.14133310983968358,0.0,0.1022012308032291,0.0,0.08426404784123992,0.0,0.15184672996496693,0.14443346536215035,0.0,0.08434855656536817,0.1005064441466878,0.11412439692868852,0.07694201854798548
1,2014-01-07,"[0.         0.1559438  0.         0.10896592 0.         0.08808701
 0.         0.1695413  0.16107511 0.         0.08782304 0.1065074
 0.12205642]",1.006861146586792,1.0112937754768463,0.15594379687906765,0.0,0.10896592086767734,0.0,0.08808701330805878,0.0,0.16954130103654277,0.16107511083457188,0.0,0.0878230368653312,0.10650740161108112,0.12205641859766923,0.0
2,2014-01-08,"[0.         0.1564453  0.         0.10860217 0.         0.08758674
 0.         0.17070783 0.16208383 0.         0.08716569 0.10587015
 0.12153828]",1.0109146477307416,1.0581043377004358,0.15644530136559365,0.0,0.10860217213511536,0.0,0.08758674101516323,0.0,0.17070783470377607,0.16208383343116636,0.0,0.0871656946585198,0.10587014619587035,0.12153827649479533,0.0
3,2014-01-09,"[0.         0.15644165 0.         0.10859932 0.         0.08751934
 0.         0.17082842 0.16228166 0.         0.08714865 0.10579384
 0.12138714]",1.0088365308762022,1.0750151744475258,0.15644164769246202,0.0,0.10859931513053875,0.0,0.08751933616863569,0.0,0.17082841530344198,0.16228166425932886,0.0,0.08714864581823632,0.10579383708723122,0.12138713854012523,0.0
4,2014-01-10,"[0.         0.15644755 0.         0.10860529 0.         0.08749379
 0.         0.17088524 0.16209356 0.         0.08721976 0.10575145
 0.12150336]",1.015002164085777,1.0860664294944473,0.15644755317451264,0.0,0.10860529425509903,0.0,0.08749378523066012,0.0,0.17088523730085542,0.16209355784857243,0.0,0.08721975884423383,0.10575145072410443,0.12150336262196208,0.0
5,2014-01-13,"[0.         0.1564706  0.         0.10857576 0.         0.08732286
 0.         0.17089941 0.16185554 0.         0.08731403 0.10581565
 0.12174614]",1.0173303670578508,1.0941290934666568,0.15647060011390868,0.0,0.10857576395934193,0.0,0.08732285666788982,0.0,0.1708994118689435,0.1618555409144307,0.0,0.08731403281534156,0.10581565103845297,0.12174614262169084,0.0
6,2014-01-14,"[0.         0.15650663 0.         0.10856455 0.         0.08709119
 0.         0.17094541 0.16151171 0.         0.0874011  0.10589622
 0.12208317]",1.0215472499258516,1.1018083762555133,0.15650662555465233,0.0,0.10856455377965642,0.0,0.08709119450857561,0.0,0.17094541423711618,0.16151171241683582,0.0,0.08740110440948033,0.10589622179881128,0.12208317329487199,0.0
7,2014-01-15,"[0.         0.15652245 0.         0.10856466 0.         0.0871711
 0.         0.17094923 0.16154608 0.         0.08736328 0.10586429
 0.1220189 ]",1.0138659463865716,1.0974460434924946,0.15652245271869317,0.0,0.10856465779532022,0.0,0.08717109920052055,0.0,0.17094923461161043,0.1615460806949659,0.0,0.08736328356248842,0.105864294064049,0.12201889735235238,0.0
8,2014-01-16,"[0.         0.15652441 0.         0.10856924 0.         0.08714049
 0.         0.17095649 0.161535   0.         0.08737864 0.10586222
 0.12203352]",1.0256028510961723,1.122678025755321,0.15652441000650427,0.0,0.10856923935855832,0.0,0.08714049006410252,0.0,0.17095649320858747,0.16153499689898737,0.0,0.08737863580620348,0.10586221872919785,0.12203351592785877,0.0
9,2014-01-17,"[0.         0.15650914 0.         0.10857448 0.         0.08721964
 0.         0.17094584 0.16163293 0.         0.08735348 0.10584592
 0.12191857]",1.0258508389640981,1.1114408093531767,0.156509144820784,0.0,0.10857447946697532,0.0,0.08721963849334317,0.0,0.1709458416129329,0.16163292564636964,0.0,0.08735347841875395,0.10584591872959462,0.12191857281124634,0.0
10,2014-01-21,"[0.         0.15651359 0.         0.10858127 0.         0.08730962
 0.         0.17093479 0.16163985 0.         0.08735462 0.10581297
 0.12185329]",1.0244678279544939,1.1129669767008274,0.15651358643775184,0.0,0.10858126600026084,0.0,0.08730962161619145,0.0,0.17093479204111933,0.16163985459746844,0.0,0.08735461689107486,0.10581297405229553,0.12185328836383764,0.0
11,2014-01-22,"[0.         0.15652406 0.         0.10856589 0.         0.08730052
 0.         0.17092574 0.16165267 0.         0.08734814 0.10583206
 0.12185091]",1.0265739415576314,1.1221825254632216,0.15652406147092204,0.0,0.10856589076041968,0.0,0.08730052000759603,0.0,0.17092574404356534,0.16165267424133223,0.0,0.08734813811691629,0.1058320579288516,0.12185091343039672,0.0
12,2014-01-23,"[0.         0.15651625 0.         0.1085598  0.         0.0873921
 0.         0.17090586 0.16186828 0.         0.0872946  0.10579572
 0.1216674 ]",1.0378841955409093,1.1273774419706712,0.15651624727381586,0.0,0.10855979657595179,0.0,0.08739209636960546,0.0,0.17090585689143387,0.16186827886718527,0.0,0.08729460049501708,0.10579572228174235,0.12166740124524833,0.0
13,2014-01-24,"[0.         0.15655328 0.         0.10852221 0.         0.08731966
 0.         0.17091235 0.16180531 0.         0.08730567 0.10583024
 0.12175127]",1.0429527663028855,1.132778107473876,0.15655328077935962,0.0,0.10852221216143756,0.0,0.08731966021790488,0.0,0.1709123526982931,0.16180531366072695,0.0,0.0873056688293125,0.10583023828746387,0.12175127336550148,0.0
