,Date,Weights,Profit,Base Profit,PMD,AMS,DGX,LH,PHM,MTH,BZH,NVR,TCF,JPM,UMBF,C,cash
0,2014-01-06,"[0.11163031 0.12124373 0.08325713 0.         0.         0.10330384
 0.08924447 0.08637161 0.15490342 0.09156434 0.         0.08406363
 0.07441751]",0.9999999999911163,0.9999999999917246,0.12124373492531502,0.08325712805995174,0.0,0.0,0.10330383525018573,0.08924447434077483,0.08637160968524513,0.15490342361132428,0.09156434313172881,0.0,0.0840636347569475,0.07441750621729856,0.11163031002122835
1,2014-01-07,"[0.         0.1397024  0.09117136 0.         0.         0.11641797
 0.10000565 0.09569734 0.18211926 0.10154616 0.         0.09264428
 0.08069559]",1.0064904745863519,1.0076607119531154,0.1397023961410847,0.09117136110817543,0.0,0.0,0.11641796654544175,0.10000564707306943,0.09569733781627758,0.1821192584418135,0.10154616113297558,0.0,0.09264428005121371,0.08069559168994833,0.0
2,2014-01-08,"[0.         0.14041709 0.09055652 0.         0.         0.1163373
 0.09982437 0.09528422 0.18434387 0.10111232 0.         0.09214316
 0.07998115]",1.0091514238393264,1.007910705294424,0.14041708832976885,0.09055651522064778,0.0,0.0,0.11633730077410061,0.09982437210063584,0.09528421519678153,0.1843438697662763,0.10111232351704703,0.0,0.09214316481142656,0.07998115028331548,0.0
3,2014-01-09,"[0.         0.14049411 0.09046974 0.         0.         0.11627713
 0.09976781 0.09520889 0.18473282 0.10102294 0.         0.09208629
 0.07994027]",0.9983393047937118,1.002958194166492,0.14049410964523507,0.09046974273597802,0.0,0.0,0.11627712843510993,0.09976780961237063,0.09520889089720971,0.1847328209289286,0.10102293612430885,0.0,0.09208628891532614,0.07994027270553299,0.0
4,2014-01-10,"[0.         0.14049512 0.09046241 0.         0.         0.11627871
 0.09977027 0.09520183 0.18479958 0.10097097 0.         0.09208594
 0.07993518]",1.0034006375234434,1.0052222695712674,0.14049511714234453,0.09046241099983796,0.0,0.0,0.11627870921132258,0.09977026944211577,0.09520182662994489,0.1847995771422599,0.10097097206943316,0.0,0.09208594113759137,0.07993517622514996,0.0
5,2014-01-13,"[0.         0.14052702 0.09043763 0.         0.         0.11627876
 0.09982014 0.09520475 0.18477282 0.10094201 0.         0.09209788
 0.07991899]",1.0000166746019372,1.00401618515439,0.14052702456795912,0.09043762817329723,0.0,0.0,0.11627876055952006,0.09982014056680595,0.09520474828393448,0.1847728224356893,0.10094200740493361,0.0,0.09209787886076043,0.07991898914709977,0.0
6,2014-01-14,"[0.         0.14052907 0.09044475 0.         0.         0.11627639
 0.09982321 0.09518999 0.18477826 0.10092672 0.         0.09210434
 0.07992728]",0.9985206165859251,1.0032268676809308,0.14052906880691493,0.09044474769509701,0.0,0.0,0.11627639095310444,0.09982320584065404,0.09518999112216789,0.18477826164358538,0.10092672059851251,0.0,0.09210433754532049,0.07992727579464323,0.0
7,2014-01-15,"[0.         0.1404815  0.0904844  0.         0.         0.11625134
 0.09975253 0.09518203 0.1848197  0.10094872 0.         0.09211094
 0.07996885]",0.9956560913626031,1.0019733510470763,0.14048150092039496,0.09048439718436903,0.0,0.0,0.11625133631715828,0.09975253071736612,0.09518202670239047,0.18481970019469862,0.10094872288538168,0.0,0.09211093606525163,0.07996884901298915,0.0
8,2014-01-16,"[0.         0.1405318  0.09044584 0.         0.         0.11626535
 0.09982788 0.09520506 0.18474011 0.10096044 0.         0.09210694
 0.07991658]",1.0069907279292603,1.0091598252443805,0.14053180041699032,0.09044584085742209,0.0,0.0,0.11626534595678772,0.09982788299779635,0.09520506279134416,0.18474010718212214,0.10096043545282166,0.0,0.09210694216663302,0.07991658217808258,0.0
9,2014-01-17,"[0.         0.14052438 0.09045238 0.         0.         0.11626926
 0.09982536 0.09521455 0.1847268  0.10097951 0.         0.0921018
 0.07990597]",1.000965035015482,1.0054772876509852,0.14052437752250013,0.09045237659411343,0.0,0.0,0.11626926117477177,0.09982535639067446,0.09521455215011786,0.1847268011800243,0.10097950841642034,0.0,0.09210180043757243,0.07990596613380524,0.0
