,Date,Weights,Profit,Base Profit,Volume,BKTI,MSI,VSAT,SCON,TRT,IVAC,VECO,ASYS,AAME,FFG,GL,CIA,cash
0,2014-01-06,"[0.         0.         0.13384652 0.         0.10709097 0.09965505
 0.         0.11481536 0.10270859 0.12005585 0.10422276 0.1122167
 0.10538818]",0.9999999925394194,0.9999999999900002,0.9999999925494194,0.0,0.13384652137756348,0.0,0.10709097236394882,0.09965504705905914,0.0,0.1148153617978096,0.1027085930109024,0.12005585432052612,0.10422275960445404,0.11221670359373093,0.10538817942142487,0.0
1,2014-01-07,"[0.         0.         0.13362692 0.         0.10713752 0.09951273
 0.         0.11474442 0.10275166 0.11986931 0.10453451 0.11296993
 0.10485294]",1.0042799506869977,1.0058032005261972,0.0023092414826869556,0.0,0.13362692296504974,0.0,0.1071375235915184,0.0995127260684967,0.0,0.11474442481994629,0.10275166481733322,0.11986931413412094,0.10453450679779053,0.11296993494033813,0.10485293716192245,0.0
2,2014-01-08,"[0.         0.         0.13388807 0.         0.1069331  0.09952819
 0.         0.11487214 0.1026438  0.11971988 0.10471788 0.11315756
 0.10453942]",1.0275385448981698,1.0242682752003693,0.012306300538794382,0.0,0.13388806581497192,0.0,0.1069331020116806,0.09952818602323532,0.0,0.11487213522195816,0.10264380276203156,0.11971987783908844,0.10471788048744202,0.11315756291151047,0.1045394241809845,0.0
3,2014-01-09,"[0.         0.         0.13354982 0.         0.10721435 0.09950438
 0.         0.11469938 0.10276429 0.11992417 0.10453808 0.11283445
 0.10497109]",1.0269438166054603,1.0247298630067487,0.060314148082318636,0.0,0.13354982435703278,0.0,0.10721434652805328,0.09950438141822815,0.0,0.11469937860965729,0.10276429355144501,0.11992417275905609,0.10453807562589645,0.11283445358276367,0.10497108846902847,0.0
4,2014-01-10,"[0.         0.         0.13326252 0.         0.10747018 0.09946141
 0.         0.11457923 0.1028321  0.12010841 0.10443473 0.11255541
 0.10529604]",1.0532155607749574,1.0497099462779864,0.027301791971208206,0.0,0.1332625150680542,0.0,0.10747017711400986,0.09946141391992569,0.0,0.1145792305469513,0.10283210128545761,0.12010841071605682,0.10443472862243652,0.11255540698766708,0.10529603809118271,0.0
5,2014-01-13,"[0.         0.         0.13295044 0.         0.10774334 0.09942923
 0.         0.11442209 0.10292631 0.12030331 0.1043014  0.11223236
 0.10569151]",1.0492116641164992,1.0428868812396115,0.03153525026524737,0.0,0.13295044004917145,0.0,0.10774333775043488,0.09942923486232758,0.0,0.11442209035158157,0.10292631387710571,0.12030331045389175,0.10430140048265457,0.11223235726356506,0.10569151490926743,0.0
6,2014-01-14,"[0.         0.         0.13311686 0.         0.10761365 0.09943694
 0.         0.11450992 0.10286903 0.12021034 0.10440791 0.11234955
 0.10548581]",1.0429493515645263,1.0367384477593125,0.03380082389054018,0.0,0.13311685621738434,0.0,0.10761364549398422,0.0994369387626648,0.0,0.11450991779565811,0.10286902636289597,0.12021034210920334,0.1044079139828682,0.11234954744577408,0.10548581182956696,0.0
7,2014-01-15,"[0.         0.         0.13320921 0.         0.10753685 0.09942082
 0.         0.11456564 0.10281923 0.12011912 0.10455329 0.11251454
 0.10526128]",1.0285929805648906,1.0284313777275487,0.008530742922093602,0.0,0.1332092136144638,0.0,0.10753685235977173,0.09942081570625305,0.0,0.1145656406879425,0.10281923413276672,0.1201191172003746,0.10455328971147537,0.11251454055309296,0.10526128113269806,0.0
8,2014-01-16,"[0.         0.         0.13318539 0.         0.10754944 0.09940781
 0.         0.11455829 0.10281973 0.12011223 0.10457597 0.1125633
 0.10522781]",1.043708217393638,1.043547867016839,0.012805817909877929,0.0,0.13318538665771484,0.0,0.10754943639039993,0.09940781444311142,0.0,0.11455829441547394,0.10281972587108612,0.12011223286390305,0.10457596927881241,0.11256330460309982,0.10522781312465668,0.0
9,2014-01-17,"[0.         0.         0.13310601 0.         0.1076255  0.09940281
 0.         0.11451548 0.10284417 0.12017093 0.10451901 0.11246368
 0.10535242]",1.057778870453758,1.0584556411779307,0.015050335752037807,0.0,0.13310600817203522,0.0,0.10762549936771393,0.09940280765295029,0.0,0.11451548337936401,0.10284417122602463,0.12017092853784561,0.10451900959014893,0.11246368288993835,0.10535241663455963,0.0
10,2014-01-21,"[0.         0.         0.1330222  0.         0.10770626 0.09938613
 0.         0.11448693 0.10284501 0.12020865 0.10457084 0.11235429
 0.10541966]",1.048955131594027,1.0558734496308233,0.025170981978549126,0.0,0.13302220404148102,0.0,0.10770626366138458,0.09938612580299377,0.0,0.114486925303936,0.10284501314163208,0.12020865082740784,0.10457084327936172,0.11235429346561432,0.10541965812444687,0.0
11,2014-01-22,"[0.         0.         0.13311507 0.         0.10760327 0.09937668
 0.         0.11453164 0.10281456 0.12010555 0.10467573 0.11259183
 0.10518569]",1.0473810484564663,1.0562930825354402,0.020643199825726967,0.0,0.13311506807804108,0.0,0.10760326683521271,0.09937667846679688,0.0,0.11453163623809814,0.10281456261873245,0.1201055496931076,0.10467573255300522,0.11259183287620544,0.10518569499254227,0.0
12,2014-01-23,"[0.         0.         0.13320845 0.         0.10752881 0.09938174
 0.         0.11457758 0.10278237 0.12005147 0.10472217 0.11267905
 0.10506835]",1.0462439311549463,1.0554310756459657,0.015165403309168568,0.0,0.13320845365524292,0.0,0.10752881318330765,0.09938173741102219,0.0,0.11457758396863937,0.10278236865997314,0.12005146592855453,0.10472217202186584,0.11267904937267303,0.10506834834814072,0.0
