,Date,Weights,Profit,Base Profit,PFIN,SPXC,CVR,LECO,BIO,WAT,COHR,PKI,IIN,HUBB,MRCY,AVX,cash
0,2014-01-06,"[0.09439729 0.10586749 0.         0.09671488 0.15803769 0.11719921
 0.         0.         0.         0.22399372 0.09439319 0.10939653
 0.        ]",0.999999999990944,0.9999999999917246,0.10586749203780121,0.0,0.0967148788781558,0.15803769294993283,0.11719920945960662,0.0,0.0,0.0,0.22399371966807854,0.09439318922289222,0.10939653271983918,0.0,0.09439728506369345
1,2014-01-07,"[0.         0.11165001 0.         0.10085967 0.17863515 0.12559142
 0.         0.         0.         0.26695414 0.09990194 0.11640767
 0.        ]",1.0165843547844617,1.0093888709829641,0.11165000975926904,0.0,0.10085966537696388,0.17863515306407424,0.1255914231122384,0.0,0.0,0.0,0.26695413825884495,0.09990193712308744,0.11640767330552207,0.0,0.0
2,2014-01-08,"[0.         0.11048213 0.         0.09950968 0.17874012 0.12427082
 0.         0.         0.         0.27359393 0.09828556 0.11511776
 0.        ]",1.0211516720185012,1.0104014753035873,0.11048213372161401,0.0,0.09950967551283593,0.17874011991843688,0.12427082290840473,0.0,0.0,0.0,0.273593929249801,0.09828555958831116,0.11511775910059609,0.0,0.0
3,2014-01-09,"[0.         0.11030698 0.         0.09928886 0.1791034  0.1237414
 0.         0.         0.         0.27500413 0.09789943 0.11465581
 0.        ]",1.0259440915323732,1.016809556436456,0.11030697510309086,0.0,0.09928886241606817,0.17910340182698317,0.12374139751245776,0.0,0.0,0.0,0.2750041282104151,0.09789942908827232,0.11465580584271236,0.0,0.0
4,2014-01-10,"[0.         0.11043367 0.         0.09923052 0.17931278 0.1235073
 0.         0.         0.         0.27526354 0.09775995 0.11449223
 0.        ]",1.0213968145618348,1.0202396805708045,0.11043366537716717,0.0,0.09923052363140993,0.179312776753578,0.12350730316978938,0.0,0.0,0.0,0.2752635438953748,0.09775995467604637,0.1144922324966345,0.0,0.0
5,2014-01-13,"[0.         0.11093415 0.         0.09941219 0.17936072 0.12328477
 0.         0.         0.         0.27536338 0.09728869 0.1143561
 0.        ]",1.0283285193874518,1.024981522003941,0.11093414826494478,0.0,0.0994121913225329,0.17936072133040268,0.1232847718248023,0.0,0.0,0.0,0.2753633793101978,0.09728868855398574,0.11435609939313376,0.0,0.0
6,2014-01-14,"[0.         0.11120101 0.         0.0995716  0.17924518 0.12308496
 0.         0.         0.         0.27552249 0.09713885 0.11423592
 0.        ]",1.0382344784896504,1.0258686898952873,0.11120101174195825,0.0,0.0995715960811535,0.1792451785469627,0.1230849555680516,0.0,0.0,0.0,0.2755224887544022,0.09713885081619339,0.11423591849127836,0.0,0.0
7,2014-01-15,"[0.         0.11072911 0.         0.09937461 0.17939519 0.12322602
 0.         0.         0.         0.27543198 0.09755812 0.11428498
 0.        ]",1.0205029988334415,1.0130854207395945,0.11072910850262936,0.0,0.09937460777231849,0.17939518789419806,0.1232260244157395,0.0,0.0,0.0,0.27543197982085177,0.09755811518048958,0.1142849764137734,0.0,0.0
8,2014-01-16,"[0.         0.11073489 0.         0.09939079 0.17934874 0.12322395
 0.         0.         0.         0.27545754 0.09751836 0.11432574
 0.        ]",1.0596216012173651,1.0377390634462358,0.11073488622221168,0.0,0.0993907861333427,0.1793487428938294,0.12322395398357175,0.0,0.0,0.0,0.27545753620700125,0.0975183557250457,0.11432573883499744,0.0,0.0
9,2014-01-17,"[0.         0.11101253 0.         0.09954032 0.17869795 0.12343548
 0.         0.         0.         0.27563864 0.09709156 0.11458351
 0.        ]",1.0609496734501105,1.0418856626791113,0.11101253182391442,0.0,0.09954032056084557,0.17869794997301194,0.12343548111279164,0.0,0.0,0.0,0.27563863813139877,0.09709156380541177,0.11458351459262599,0.0,0.0
10,2014-01-21,"[0.         0.11104132 0.         0.09954858 0.17836461 0.12356607
 0.         0.         0.         0.27571972 0.09707646 0.11468323
 0.        ]",1.062527027256913,1.0427532713865768,0.11104132366332348,0.0,0.09954858414920756,0.1783646086771195,0.1235660732621798,0.0,0.0,0.0,0.2757197224462469,0.09707645547064214,0.11468323233128053,0.0,0.0
11,2014-01-22,"[0.         0.11086212 0.         0.09941875 0.17827983 0.12367902
 0.         0.         0.         0.27569121 0.0973468  0.11472227
 0.        ]",1.08076922740285,1.051259226487976,0.11086212021179993,0.0,0.09941875156076534,0.17827983147796297,0.12367902360909028,0.0,0.0,0.0,0.27569120658975493,0.09734680029432508,0.11472226625630136,0.0,0.0
12,2014-01-23,"[0.         0.11079293 0.         0.09940481 0.17809178 0.12386632
 0.         0.         0.         0.27569199 0.09730743 0.11484474
 0.        ]",1.0935296373341539,1.0561354633428144,0.11079292906115647,0.0,0.0994048083193259,0.17809177962286787,0.12386632096745528,0.0,0.0,0.0,0.2756919911739217,0.09730742716477045,0.11484474369050239,0.0,0.0
13,2014-01-24,"[0.         0.11078637 0.         0.09942797 0.17824486 0.12379812
 0.         0.         0.         0.27567601 0.09726945 0.11479722
 0.        ]",1.0889163765857603,1.05103811942317,0.1107863734848731,0.0,0.09942796524161321,0.17824486457904778,0.12379811933208348,0.0,0.0,0.0,0.2756760092342328,0.09726944611128654,0.11479722201686304,0.0,0.0
14,2014-01-27,"[0.         0.11080897 0.         0.09954699 0.17843861 0.123636
 0.         0.         0.         0.27571696 0.09718607 0.1146664
 0.        ]",1.0697935550862707,1.0417604584597953,0.11080897465403576,0.0,0.09954698695562492,0.17843861101263653,0.12363599816921354,0.0,0.0,0.0,0.27571695840632815,0.09718606666121153,0.11466640414094956,0.0,0.0
