,Date,Weights,Profit,Base Profit,SPAR,PCAR,F,OSK,CTO,CIGI,TRC,FRPH,CIA,AAME,GL,FFG,cash
0,2014-01-06,"[0.08474544 0.09514821 0.         0.12360254 0.         0.12340712
 0.19698694 0.15582902 0.08475631 0.13552441 0.         0.
 0.        ]",0.9999999999908474,0.9999999999917246,0.09514820974402585,0.0,0.12360254207638054,0.0,0.12340711739859384,0.19698694203295217,0.1558290234398252,0.08475631388238793,0.13552440902290636,0.0,0.0,0.0,0.08474544240292792
1,2014-01-07,"[0.         0.10325376 0.         0.13574549 0.         0.13095305
 0.22469531 0.17146374 0.0902736  0.14361504 0.         0.
 0.        ]",1.0084261621907364,1.0057830805762416,0.10325375703285511,0.0,0.13574549359996008,0.0,0.13095305479077846,0.22469531244620392,0.171463743595415,0.0902735982947091,0.1436150402400783,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.10262902 0.         0.13584461 0.         0.13005236
 0.2278146  0.17165237 0.08972584 0.1422812  0.         0.
 0.        ]",0.9960647463254811,0.9973531883275845,0.10262901776561242,0.0,0.13584460987277805,0.0,0.13005236266389394,0.2278146002323556,0.17165236891795468,0.08972584230971394,0.1422811982376914,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.1026886  0.         0.13606073 0.         0.12950193
 0.22812785 0.17137054 0.08952154 0.14272881 0.         0.
 0.        ]",0.9966802121127404,0.9985017465711855,0.10268860129109685,0.0,0.13606073455613704,0.0,0.12950193224396722,0.22812784636570232,0.1713705400179181,0.08952153902831919,0.14272880649685926,0.0,0.0,0.0,0.0
4,2014-01-10,"[0.         0.10167862 0.         0.13608046 0.         0.12987449
 0.22912359 0.17149896 0.08920615 0.14253772 0.         0.
 0.        ]",0.9975368355997881,1.0001883146810013,0.1016786240484465,0.0,0.13608046229914156,0.0,0.12987449365493955,0.22912358528827168,0.17149895975488064,0.08920615442391236,0.1425377205304078,0.0,0.0,0.0,0.0
5,2014-01-13,"[0.         0.10076945 0.         0.13599397 0.         0.13017448
 0.22998553 0.17155095 0.08877535 0.14275027 0.         0.
 0.        ]",0.9937564691614809,0.999971631483755,0.10076944707347323,0.0,0.13599396934672348,0.0,0.1301744795003357,0.22998553139694308,0.17155094753757646,0.08877535178199863,0.1427502733629495,0.0,0.0,0.0,0.0
6,2014-01-14,"[0.         0.09313974 0.         0.12612386 0.         0.12062473
 0.21334919 0.15909278 0.08258793 0.13146377 0.         0.073618
 0.        ]",0.9850010744932989,0.9952331845692377,0.09313973646584299,0.0,0.1261238608354949,0.0,0.12062473397698739,0.21334919166931535,0.1590927835050012,0.08258792745859084,0.1314637708599099,0.0,0.07361799522885744,0.0,0.0
7,2014-01-15,"[0.         0.09248416 0.         0.12562475 0.         0.12019085
 0.21106839 0.15795354 0.08297428 0.12892063 0.         0.0807834
 0.        ]",0.9754182870452047,0.9861136340025688,0.09248415559188594,0.0,0.12562475295405345,0.0,0.12019084556313327,0.21106839452731918,0.15795354450459295,0.0829742811568255,0.12892062744760746,0.0,0.08078339825458229,0.0,0.0
8,2014-01-16,"[0.         0.09210335 0.         0.12536343 0.         0.12048331
 0.2111446  0.15808953 0.08275223 0.12893112 0.         0.08113242
 0.        ]",0.9799031913105467,0.9928432809020628,0.09210335083931093,0.0,0.12536343187171894,0.0,0.12048330915878894,0.21114459512669426,0.15808953375926188,0.08275223132447414,0.12893112406304771,0.0,0.0811324238567032,0.0,0.0
9,2014-01-17,"[0.         0.09287706 0.         0.12545772 0.         0.12016254
 0.21047803 0.15790465 0.08274868 0.12959737 0.         0.08077396
 0.        ]",0.9925928870302411,1.0006922901358901,0.0928770572649531,0.0,0.12545771864049876,0.0,0.12016253596105929,0.21047803238797497,0.15790464545025698,0.08274867997170968,0.12959736668132346,0.0,0.08077396364222379,0.0,0.0
10,2014-01-21,"[0.         0.0919242  0.         0.12534637 0.         0.12056441
 0.21129341 0.15801408 0.08219719 0.12995799 0.         0.08070236
 0.        ]",0.9941391421368434,0.9992385674352182,0.09192419813486206,0.0,0.12534636635111424,0.0,0.12056440617644859,0.2112934074464495,0.15801407900892264,0.08219719152282148,0.1299579908241474,0.0,0.08070236053523407,0.0,0.0
11,2014-01-22,"[0.         0.09165722 0.         0.12534804 0.         0.12057695
 0.21152398 0.15806001 0.08228157 0.12964297 0.         0.08090927
 0.        ]",0.9935615630615803,1.0014440599909116,0.09165721800053032,0.0,0.12534803857991358,0.0,0.12057694865603003,0.2115239759698904,0.15806000960337638,0.08228157224874547,0.12964296966061628,0.0,0.08090926728089762,0.0,0.0
12,2014-01-23,"[0.         0.09166413 0.         0.12548049 0.         0.12052658
 0.21140258 0.15807476 0.08268467 0.1285497  0.         0.08161709
 0.        ]",0.9878679865441016,0.997099494105561,0.09166412919698481,0.0,0.1254804853525978,0.0,0.12052657768121662,0.2114025815818072,0.158074763936172,0.08268467372597606,0.12854969778963538,0.0,0.08161709073561035,0.0,0.0
13,2014-01-24,"[0.         0.09125774 0.         0.12520853 0.         0.12081801
 0.21193381 0.15825672 0.08219563 0.12930366 0.         0.08102591
 0.        ]",0.9832945110199749,0.993412160012293,0.09125773626877129,0.0,0.12520852827702716,0.0,0.12081801335325387,0.21193380902844017,0.15825671578152087,0.08219562913161275,0.12930365918586384,0.0,0.08102590897350997,0.0,0.0
14,2014-01-27,"[0.         0.09052434 0.         0.12492139 0.         0.12109956
 0.21273537 0.15846735 0.08169427 0.13010297 0.         0.08045476
 0.        ]",0.9674460847766017,0.9818308657470977,0.09052434209590676,0.0,0.12492138593090608,0.0,0.12109955993024944,0.2127353662919607,0.15846734704496684,0.08169427153716535,0.13010297165144774,0.0,0.080454755517397,0.0,0.0
15,2014-01-28,"[0.         0.09015811 0.         0.12481208 0.         0.12118701
 0.21311905 0.15855703 0.08169628 0.12993703 0.         0.0805334
 0.        ]",0.955475798291516,0.9679445918488018,0.0901581135393625,0.0,0.12481208006590484,0.0,0.12118701038387646,0.21311904656792693,0.15855703100005786,0.0816962803045833,0.12993703492681768,0.0,0.08053340321147033,0.0,0.0
16,2014-01-29,"[0.         0.08952955 0.         0.12470241 0.         0.12135878
 0.21367558 0.15879477 0.08172404 0.12952255 0.         0.08069231
 0.        ]",0.9413253561627574,0.965910494841476,0.08952955196349022,0.0,0.12470240991320276,0.0,0.12135877732814189,0.2136755817943175,0.1587947738397049,0.08172404451408923,0.12952255458132897,0.0,0.0806923060657245,0.0,0.0
17,2014-01-30,"[0.         0.08784426 0.         0.12475914 0.         0.12184808
 0.21498133 0.15906154 0.08152099 0.12860039 0.         0.08138427
 0.        ]",0.9317058628645002,0.9583721492916768,0.08784425775876015,0.0,0.12475914197365766,0.0,0.12184808421169445,0.21498133257691762,0.15906154368591446,0.08152098686023074,0.1286003852669693,0.0,0.08138426766585567,0.0,0.0
