,Date,Weights,Profit,Base Profit,Volume,ENSV,CLB,HLX,RES,BCRX,TTNP,NBIX,TECH,ATRI,TFX,CRY,MMM,cash
0,2014-01-06,"[0.125855   0.10384522 0.07473776 0.0795035  0.09909461 0.
 0.10041826 0.         0.14087224 0.10693986 0.08317757 0.
 0.08555602]",1.0000000372441615,0.9999999999900002,0.8741450384259224,0.10384521633386612,0.07473775744438171,0.07950349897146225,0.09909461438655853,0.0,0.10041826218366623,0.0,0.14087224006652832,0.10693985968828201,0.08317757397890091,0.0,0.0855560153722763,0.1258549988269806
1,2014-01-07,"[0.12538306 0.10515497 0.07438309 0.07908012 0.09894161 0.
 0.10105281 0.         0.14140444 0.1071447  0.08201728 0.
 0.08543786]",1.0043185262377383,1.00975746785009,0.00489082317411126,0.10515496879816055,0.07438309490680695,0.07908011972904205,0.0989416092634201,0.0,0.10105280578136444,0.0,0.1414044350385666,0.10714469850063324,0.08201728016138077,0.0,0.08543786406517029,0.12538306415081024
2,2014-01-08,"[0.12545276 0.10523959 0.07431215 0.07887685 0.09871729 0.
 0.10119093 0.         0.14149985 0.10742023 0.08190303 0.
 0.08538736]",1.0080340852626257,1.06480375907523,0.008566229009692328,0.10523959249258041,0.07431215047836304,0.07887684553861618,0.09871728718280792,0.0,0.10119093209505081,0.0,0.1414998471736908,0.10742022842168808,0.08190303295850754,0.0,0.08538735657930374,0.12545275688171387
3,2014-01-09,"[0.12498487 0.10536662 0.07407758 0.07875145 0.09759118 0.
 0.10055683 0.         0.14173418 0.10956892 0.08157837 0.
 0.08579002]",1.0033761479644272,1.0813642990903944,0.01132543299469107,0.10536661744117737,0.07407757639884949,0.07875145226716995,0.09759118407964706,0.0,0.10055682808160782,0.0,0.14173418283462524,0.10956891626119614,0.08157837390899658,0.0,0.08579001575708389,0.12498486787080765
4,2014-01-10,"[0.12501952 0.10553907 0.07389235 0.07841883 0.09732275 0.
 0.10074447 0.         0.14188386 0.10994707 0.08146104 0.
 0.08577102]",1.0121501433975846,1.095290119340406,0.009536138171812883,0.10553906857967377,0.07389234751462936,0.07841882854700089,0.0973227471113205,0.0,0.10074447095394135,0.0,0.14188386499881744,0.109947070479393,0.08146104216575623,0.0,0.08577102422714233,0.12501952052116394
5,2014-01-13,"[0.12473966 0.10501957 0.07396296 0.07822239 0.09719793 0.
 0.10074369 0.         0.14194742 0.11044434 0.08165589 0.
 0.08606616]",1.0081601807176899,1.1016839745252887,0.018873290441272367,0.10501956939697266,0.07396295666694641,0.07822239398956299,0.09719793498516083,0.0,0.10074368864297867,0.0,0.1419474184513092,0.1104443371295929,0.08165588974952698,0.0,0.08606616407632828,0.12473966181278229
6,2014-01-14,"[0.12473316 0.10508775 0.07401585 0.07817496 0.09704792 0.
 0.10082754 0.         0.14194073 0.11058591 0.08155191 0.
 0.08603424]",1.017568004464491,1.1172124457557353,0.011659082019233059,0.1050877496600151,0.07401584833860397,0.07817496359348297,0.09704792499542236,0.0,0.10082753747701645,0.0,0.14194072782993317,0.11058590561151505,0.08155190944671631,0.0,0.08603423833847046,0.12473316490650177
7,2014-01-15,"[0.12479265 0.10508784 0.07391234 0.07820024 0.09672979 0.
 0.10071334 0.         0.14203025 0.11071134 0.08173134 0.
 0.08609085]",1.016629828197479,1.1161459291002616,0.012080328374676869,0.10508783906698227,0.07391233742237091,0.07820023596286774,0.09672978520393372,0.0,0.1007133424282074,0.0,0.1420302540063858,0.11071134358644485,0.08173134177923203,0.0,0.08609084784984589,0.12479265034198761
8,2014-01-16,"[0.12464818 0.10536853 0.07420047 0.07868711 0.09649038 0.
 0.10073901 0.         0.1418475  0.11029781 0.08183621 0.
 0.08588483]",1.0221747074207757,1.1424363696857345,0.012337806023974222,0.10536853224039078,0.07420047372579575,0.07868710905313492,0.09649038314819336,0.0,0.1007390096783638,0.0,0.14184750616550446,0.11029781401157379,0.08183620870113373,0.0,0.08588483184576035,0.12464818358421326
9,2014-01-17,"[0.12473096 0.10510915 0.07432299 0.07921067 0.0962605  0.
 0.10019116 0.         0.14183989 0.10990424 0.08232573 0.
 0.08610469]",1.0198298466851972,1.128206259406086,0.01613912358981861,0.10510914772748947,0.07432299107313156,0.07921066880226135,0.09626049548387527,0.0,0.1001911610364914,0.0,0.1418398916721344,0.10990423709154129,0.08232573419809341,0.0,0.08610469102859497,0.12473095953464508
10,2014-01-21,"[0.12478442 0.10491008 0.07421827 0.07939427 0.09598288 0.
 0.09972969 0.         0.141964   0.10997997 0.08264329 0.
 0.08639311]",1.0299190500169524,1.1418020889646487,0.007072164150399553,0.10491007566452026,0.0742182731628418,0.07939426600933075,0.0959828794002533,0.0,0.09972968697547913,0.0,0.14196400344371796,0.10997997224330902,0.0826432853937149,0.0,0.08639311045408249,0.12478441745042801
11,2014-01-22,"[0.12439749 0.10398362 0.0746254  0.07983748 0.09623693 0.
 0.09934706 0.         0.1417801  0.10965801 0.08333441 0.
 0.08679946]",1.0310848038537481,1.1569227549784704,0.018582207634913868,0.10398361831903458,0.0746253952383995,0.07983747869729996,0.0962369292974472,0.0,0.0993470624089241,0.0,0.1417800933122635,0.10965801030397415,0.08333440870046616,0.0,0.08679945766925812,0.12439748644828796
