,Date,Weights,Profit,Base Profit,Volume,AVX,HUBB,IIN,MRCY,WAT,BIO,COHR,PKI,ASYS,IVAC,TRT,VECO,cash
0,2014-01-06,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.         0.09090909 0.
 0.09090909]",0.9954545454545457,0.995,0.9090909090909093,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
1,2014-01-07,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.         0.09090909 0.
 0.09090909]",1.003843103318133,1.0057716966384957,1.3814706954142576e-16,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
2,2014-01-08,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.         0.09090909 0.
 0.09090909]",1.0048956792511818,1.0032052816307926,0.011636901165635842,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
3,2014-01-09,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.         0.09090909 0.
 0.09090909]",1.0178432391826897,1.0187963662803687,0.005031943421232724,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
4,2014-01-10,"[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",1.0190822165574887,1.0349267103518438,0.34634051123067305,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
5,2014-01-13,"[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",1.032286595161326,1.0451187916111304,0.01608416648570998,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
6,2014-01-14,[0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1 0.  0.1 0.  0.1],1.0355260004659195,1.0489467845001959,0.1964635568011689,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
7,2014-01-15,[0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1 0.  0.1 0.  0.1],1.0260570214694607,1.0370779028155381,0.010972186388627694,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
8,2014-01-16,"[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",1.0382753506194262,1.0581685498902884,0.19739568282789016,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
9,2014-01-17,[0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1 0.  0.1 0.  0.1],1.045865473046224,1.0712082273079657,0.19758593373523653,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1
10,2014-01-21,"[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",1.04530750899468,1.0730663411832653,0.20124877769116917,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
11,2014-01-22,"[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",1.0604187919027124,1.0824272774518127,0.008887295491232298,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
12,2014-01-23,"[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",1.0639952887058186,1.0838423724745165,0.01160054522743043,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
