,Date,Weights,Profit,Base Profit,Volume,JACK,EAT,PZZA,MCD,XLNX,KOPN,INTC,MXIM,DORM,SUP,MOD,STRT,cash
0,2014-01-06,"[0.07245814 0.10481397 0.10358225 0.         0.07357826 0.06859804
 0.10337203 0.08866324 0.09724247 0.         0.12358748 0.0772775
 0.0868266 ]",0.9999999776389827,0.9999999999900002,0.9275418370962143,0.10481397062540054,0.10358224809169769,0.0,0.07357826083898544,0.06859803944826126,0.10337202996015549,0.0886632427573204,0.09724246710538864,0.0,0.1235874816775322,0.07727749645709991,0.08682660013437271,0.07245814055204391
1,2014-01-07,"[0.07342196 0.10437781 0.10335348 0.         0.07278554 0.06873307
 0.10364398 0.08895476 0.09751286 0.         0.12363241 0.07694462
 0.08663953]",1.002914772911299,1.0024163289179746,0.002991399801284238,0.10437781363725662,0.10335347801446915,0.0,0.07278554141521454,0.06873306632041931,0.1036439761519432,0.08895476162433624,0.0975128561258316,0.0,0.12363240867853165,0.07694461941719055,0.08663953095674515,0.07342195510864258
2,2014-01-08,"[0.07328682 0.10439221 0.10341121 0.         0.07280265 0.06868877
 0.10343642 0.08909123 0.09775057 0.         0.12371465 0.07692581
 0.0864997 ]",0.9925134840405372,0.9915440854013814,0.012187871455994934,0.10439220815896988,0.10341121256351471,0.0,0.07280264794826508,0.06868876516819,0.1034364178776741,0.0890912264585495,0.09775057435035706,0.0,0.12371464818716049,0.07692580670118332,0.08649969846010208,0.07328681647777557
3,2014-01-09,"[0.07320213 0.10452279 0.10371394 0.         0.07282854 0.06858977
 0.10340388 0.08894309 0.0976814  0.         0.12370023 0.07692252
 0.08649167]",0.993226598528241,0.9922126945077243,0.010010279614058142,0.10452278703451157,0.10371394455432892,0.0,0.07282853871583939,0.06858976930379868,0.10340388119220734,0.08894308656454086,0.09768140316009521,0.0,0.12370023131370544,0.07692252099514008,0.0864916741847992,0.07320213317871094
4,2014-01-10,"[0.07307458 0.10454498 0.10363563 0.         0.07298567 0.06870564
 0.10329918 0.08889578 0.09757175 0.         0.12379962 0.07691744
 0.0865697 ]",0.9941229053099692,0.9943169239122058,0.006705248158124142,0.1045449823141098,0.10363563150167465,0.0,0.07298567146062851,0.06870564073324203,0.10329917818307877,0.088895782828331,0.09757175296545029,0.0,0.12379962205886841,0.07691743969917297,0.08656970411539078,0.0730745792388916
5,2014-01-13,"[0.07313693 0.10453711 0.1031748  0.         0.07299061 0.06889357
 0.10315163 0.08917996 0.09764419 0.         0.12379833 0.07692306
 0.08656979]",0.9867104325330723,0.9869971537692781,0.006396348181055877,0.10453711450099945,0.10317479819059372,0.0,0.07299061119556427,0.06889357417821884,0.10315162688493729,0.08917996287345886,0.09764418751001358,0.0,0.12379833310842514,0.07692306488752365,0.08656979352235794,0.07313692569732666
6,2014-01-14,"[0.07336386 0.10442037 0.10266071 0.         0.07292386 0.06907924
 0.10322989 0.08935977 0.09764911 0.         0.12371563 0.0769439
 0.08665363]",0.9872592471090377,0.9866799041917301,0.00738022582338972,0.10442037135362625,0.10266070812940598,0.0,0.07292386144399643,0.06907924264669418,0.10322988778352737,0.08935976773500443,0.09764911234378815,0.0,0.12371563166379929,0.07694389671087265,0.08665363490581512,0.07336385548114777
7,2014-01-15,"[0.07324576 0.1044816  0.10285471 0.         0.0729478  0.06906464
 0.10319757 0.0893402  0.09755906 0.         0.12374684 0.07691333
 0.08664849]",0.9893492370550095,0.9874329437521773,0.008582381879850476,0.10448160022497177,0.10285471379756927,0.0,0.07294780015945435,0.06906463950872421,0.10319756716489792,0.0893401950597763,0.09755905717611313,0.0,0.1237468421459198,0.07691332697868347,0.08664849400520325,0.07324576377868652
8,2014-01-16,"[0.07326191 0.10459489 0.10314412 0.         0.07300385 0.06895787
 0.10347462 0.08905248 0.09714305 0.         0.12368169 0.07694084
 0.0867447 ]",1.002931469649963,1.0007421276409807,0.007836217234305337,0.1045948937535286,0.10314411669969559,0.0,0.073003850877285,0.0689578652381897,0.10347461700439453,0.0890524759888649,0.09714304655790329,0.0,0.1236816868185997,0.07694084197282791,0.08674469590187073,0.07326190918684006
9,2014-01-17,"[0.07344561 0.10463013 0.10332865 0.         0.07287005 0.06881089
 0.1036984  0.08892728 0.09708392 0.         0.12351379 0.07695959
 0.08673171]",1.0071851887235657,1.0039030903370365,0.014480968179725112,0.10463013499975204,0.1033286452293396,0.0,0.07287004590034485,0.06881088763475418,0.10369840264320374,0.08892727643251419,0.0970839187502861,0.0,0.12351378798484802,0.07695958763360977,0.08673170953989029,0.07344561070203781
10,2014-01-21,"[0.07332543 0.10460097 0.10326071 0.         0.07289594 0.06890709
 0.1035969  0.08906524 0.09707239 0.         0.12361849 0.0769258
 0.08673102]",1.0021856863543885,0.9976632526010821,0.01108905244755585,0.10460096597671509,0.10326071083545685,0.0,0.07289594411849976,0.06890708953142166,0.10359689593315125,0.08906523883342743,0.09707238525152206,0.0,0.12361849099397659,0.07692579925060272,0.08673102408647537,0.07332543283700943
11,2014-01-22,"[0.07331263 0.10439289 0.10308913 0.         0.07276893 0.06908178
 0.10364157 0.08933803 0.09709577 0.         0.12367982 0.07684976
 0.0867497 ]",1.0040739740662812,0.9975473915874158,0.013271724119968985,0.1043928936123848,0.10308913141489029,0.0,0.0727689266204834,0.06908177584409714,0.1036415696144104,0.0893380269408226,0.09709577262401581,0.0,0.12367982417345047,0.07684975862503052,0.08674969524145126,0.07331263273954391
