,Date,Weights,Profit,Base Profit,Volume,BKTI,MSI,VSAT,SCON,OLN,FMC,BCPC,GRA,CLB,RES,HLX,ENSV,cash
0,2014-01-06,"[0.1079118  0.12039849 0.         0.12661775 0.13290766 0.
 0.13925257 0.         0.14437515 0.10933679 0.         0.11919978
 0.        ]",0.9999999999910791,0.9999999999917251,0.8920881976768651,0.12039849072716706,0.0,0.12661775293425817,0.1329076552104205,0.0,0.1392525733382657,0.0,0.1443751525322745,0.1093367881032809,0.0,0.11919978483119827,0.0,0.10791180232313484
1,2014-01-07,"[0.         0.13279303 0.         0.14193694 0.15080202 0.
 0.15839212 0.         0.16282874 0.12032964 0.         0.13291752
 0.        ]",1.0040376021601045,1.0058893336003978,0.10791180232217223,0.1327930260364231,0.0,0.14193693884158637,0.15080202161142564,0.0,0.1583921156220183,0.0,0.1628287398634292,0.12032963927579356,0.0,0.13291751874932387,0.0,0.0
2,2014-01-08,"[0.         0.13276552 0.         0.14179278 0.15039532 0.
 0.15826046 0.         0.16475038 0.11930794 0.         0.13272761
 0.        ]",1.0455423606254102,1.0245431702190768,0.008301266292830983,0.13276551859101443,0.0,0.14179278154032593,0.1503953160613553,0.0,0.15826045535218478,0.0,0.16475037617109506,0.11930793875484509,0.0,0.1327276135291794,0.0,0.0
3,2014-01-09,"[0.         0.13190134 0.         0.14066347 0.15626776 0.
 0.15743328 0.         0.16288038 0.11876326 0.         0.1320905
 0.        ]",1.0312632780349176,1.0141800571653357,0.06785088113721076,0.13190134472602186,0.0,0.14066347253739908,0.15626775875989984,0.0,0.15743328419188735,0.0,0.16288038008680084,0.11876326234757088,0.0,0.13209049735042006,0.0,0.0
4,2014-01-10,"[0.         0.13206957 0.         0.14245921 0.14916155 0.
 0.15891433 0.         0.16470549 0.11937604 0.         0.1333138
 0.        ]",1.0477804046572665,1.0283893694109292,0.020900384849602972,0.13206957366377337,0.0,0.14245921170508494,0.14916155291456457,0.0,0.15891433499773802,0.0,0.16470548733872142,0.11937603658664252,0.0,0.13331380279347502,0.0,0.0
5,2014-01-13,"[0.         0.13342186 0.         0.14114725 0.15116492 0.
 0.15850668 0.         0.16401739 0.11928028 0.         0.13246163
 0.        ]",1.0316823103246353,1.0168516390120248,0.01867416341128766,0.13342185892654476,0.0,0.14114724669778933,0.15116492083053784,0.0,0.15850668307621874,0.0,0.16401738612169806,0.11928027522188113,0.0,0.13246162912532997,0.0,0.0
6,2014-01-14,"[0.         0.13259426 0.         0.14129997 0.14919158 0.
 0.15897669 0.         0.16467796 0.11973381 0.         0.13352575
 0.        ]",1.0300931218761125,1.0177369666624894,0.018192710788764166,0.13259425593815424,0.0,0.14129996781165535,0.1491915782235291,0.0,0.1589766878359028,0.0,0.1646779572961768,0.11973380734783415,0.0,0.1335257455467477,0.0,0.0
7,2014-01-15,"[0.         0.13300556 0.         0.14145696 0.14956563 0.
 0.1588562  0.         0.16415899 0.11947498 0.         0.13348168
 0.        ]",1.0205258086747786,1.0173381836111905,0.008450631587983318,0.133005560721503,0.0,0.14145695726544621,0.1495656335943688,0.0,0.15885619946392762,0.0,0.16415898911259333,0.11947497769455447,0.0,0.1334816821476065,0.0,0.0
8,2014-01-16,"[0.         0.13392288 0.         0.14167783 0.14961231 0.
 0.15879072 0.         0.16367633 0.11954252 0.         0.1327774
 0.        ]",1.0361320956452755,1.0264611211927364,0.017121655448114847,0.13392288001234215,0.0,0.14167783326817085,0.1496123141008475,0.0,0.1587907241231892,0.0,0.16367632560610126,0.11954251836900767,0.0,0.13277740452034126,0.0,0.0
9,2014-01-17,"[0.         0.13302871 0.         0.14124496 0.15031539 0.
 0.15890717 0.         0.16463961 0.11932515 0.         0.13253902
 0.        ]",1.055165841182464,1.0355389227608969,0.008189164147707364,0.13302870787414484,0.0,0.14124496184946675,0.1503153893175197,0.0,0.15890716907645552,0.0,0.16463960540950257,0.11932514578328335,0.0,0.13253902068962733,0.0,0.0
10,2014-01-21,"[0.         0.13357098 0.         0.1410396  0.15064881 0.
 0.1587707  0.         0.1643674  0.11868086 0.         0.13292164
 0.        ]",1.055891485235445,1.0442769018059306,0.01943404930222436,0.13357097638294277,0.0,0.14103960050051365,0.1506488125813895,0.0,0.15877070208933597,0.0,0.16436740267939617,0.11868086464486689,0.0,0.13292164112155513,0.0,0.0
11,2014-01-22,"[0.         0.13368083 0.         0.14127718 0.14980311 0.
 0.15887067 0.         0.16443187 0.11926602 0.         0.13267033
 0.        ]",1.0544127977321054,1.0450144887923354,0.008278185766191104,0.13368083095444977,0.0,0.1412771770289431,0.14980310657104343,0.0,0.1588706723820123,0.0,0.1644318707280452,0.11926601675907325,0.0,0.132670325576433,0.0,0.0
12,2014-01-23,"[0.         0.13329803 0.         0.14145515 0.14850873 0.
 0.15890775 0.         0.16525641 0.11923637 0.         0.13333755
 0.        ]",1.0616931974750585,1.0469393779716802,0.012172633218009684,0.13329803090090458,0.0,0.14145514709667636,0.1485087314774073,0.0,0.15890775457440617,0.0,0.16525641243578493,0.1192363700957802,0.0,0.13333755341904038,0.0,0.0
13,2014-01-24,"[0.         0.13336964 0.         0.1408213  0.15042357 0.
 0.15877854 0.         0.16429537 0.11891719 0.         0.1333944
 0.        ]",1.0567985441640821,1.050587953183892,0.016961655852897738,0.13336963760911444,0.0,0.14082130016604408,0.1504235668935753,0.0,0.15877854232137098,0.0,0.16429537262861543,0.11891718516876193,0.0,0.1333943952125179,0.0,0.0
