,Date,Weights,Profit,Base Profit,GRA,BCPC,FMC,OLN,DGX,LH,AMS,PMD,MSI,SCON,BKTI,VSAT,cash
0,2014-01-06,"[0.07645214 0.09483359 0.09477341 0.         0.15362776 0.
 0.07691831 0.15059192 0.10608342 0.         0.         0.12608809
 0.12063137]",0.9999999999907645,0.9999999999917246,0.09483358751422004,0.0947734143158493,0.0,0.15362775660802458,0.0,0.0769183055045583,0.1505919193798401,0.1060834184789689,0.0,0.0,0.1260880893085838,0.12063137229786677,0.07645213659208815
1,2014-01-07,"[0.         0.10008413 0.10034366 0.         0.17170515 0.
 0.07969856 0.16787731 0.11329106 0.         0.         0.13663289
 0.13036725]",1.0125834122511341,1.009564594037639,0.1000841282561975,0.100343658033172,0.0,0.1717051456497092,0.0,0.07969855688436524,0.16787730828325922,0.11329105847345185,0.0,0.0,0.13663289284398888,0.13036725157585602,0.0
2,2014-01-08,"[0.         0.09965737 0.09988629 0.         0.17268081 0.
 0.07862619 0.16919302 0.11318087 0.         0.         0.13615899
 0.13061646]",1.014804004645324,1.028912341606244,0.09965736925098855,0.0998862873743069,0.0,0.17268081461662974,0.0,0.07862618917525371,0.16919301513725168,0.11318087217626786,0.0,0.0,0.1361589927458189,0.1306164595234825,0.0
3,2014-01-09,"[0.         0.0992184  0.09949262 0.         0.17324012 0.
 0.07870724 0.16907596 0.11297938 0.         0.         0.13671583
 0.13057044]",1.0065701319241696,1.021008432959298,0.09921840195170487,0.09949262294841259,0.0,0.1732401233428023,0.0,0.07870724066319029,0.1690759627805909,0.11297938384812665,0.0,0.0,0.1367158264264937,0.13057043803867863,0.0
4,2014-01-10,"[0.         0.09924457 0.09939037 0.         0.17323496 0.
 0.07863077 0.16918619 0.11291166 0.         0.         0.13672991
 0.13067157]",1.0109603580994773,1.0286684438204825,0.09924457080892299,0.09939036860216453,0.0,0.1732349599496791,0.0,0.07863076605144871,0.1691861933912976,0.1129116584345383,0.0,0.0,0.13672991191998024,0.13067157084196845,0.0
5,2014-01-13,"[0.         0.09927431 0.09943861 0.         0.17324154 0.
 0.07874417 0.16915948 0.11285518 0.         0.         0.13676818
 0.13051853]",1.0030285416637732,1.0192188910830995,0.09927430968817977,0.0994386100924662,0.0,0.1732415365881173,0.0,0.07874417439862283,0.16915948125729816,0.1128551824405091,0.0,0.0,0.13676817911690914,0.13051852641789752,0.0
6,2014-01-14,"[0.         0.09937436 0.09954295 0.         0.17310259 0.
 0.07874724 0.16919128 0.11285761 0.         0.         0.13669722
 0.13048675]",1.0057150649755895,1.0184560698643041,0.09937436269665405,0.09954294728327981,0.0,0.1731025858127395,0.0,0.0787472427438863,0.169191282120133,0.11285760982356659,0.0,0.0,0.13669721693873846,0.1304867525810022,0.0
7,2014-01-15,"[0.         0.09958939 0.09982822 0.         0.17291092 0.
 0.07883134 0.16928658 0.1128706  0.         0.         0.13636155
 0.13032141]",1.0225002289532943,1.020776372125991,0.09958938966530782,0.09982822154528173,0.0,0.1729109152839389,0.0,0.07883133980670455,0.16928658420494758,0.11287059542828501,0.0,0.0,0.1363615459470103,0.13032140811852416,0.0
8,2014-01-16,"[0.         0.09959083 0.09966794 0.         0.17288066 0.
 0.0787879  0.16940364 0.11276334 0.         0.         0.13643568
 0.13047001]",1.0386045748985535,1.0346825921033105,0.09959082726057343,0.09966794407621714,0.0,0.17288065792551777,0.0,0.07878790373676192,0.16940363674389328,0.11276333758116425,0.0,0.0,0.13643568335329087,0.1304700093225815,0.0
9,2014-01-17,"[0.         0.09925285 0.09924951 0.         0.17331037 0.
 0.07861842 0.1693561  0.11286775 0.         0.         0.13661139
 0.1307336 ]",1.0322415106392977,1.0388801621141464,0.09925284959384716,0.0992495133930992,0.0,0.17331037265852212,0.0,0.07861842281947339,0.16935609959407968,0.11286774693766682,0.0,0.0,0.13661139019932206,0.13073360480398957,0.0
10,2014-01-21,"[0.         0.09925517 0.09915917 0.         0.17333968 0.
 0.07861176 0.16943791 0.11278344 0.         0.         0.13662116
 0.13079171]",1.037873258201573,1.041766822259449,0.09925516801958578,0.09915917169279945,0.0,0.17333967783691165,0.0,0.0786117597611223,0.16943791106344866,0.11278344264306997,0.0,0.0,0.13662116246359918,0.13079170651946295,0.0
11,2014-01-22,"[0.         0.09924054 0.09923837 0.         0.17339379 0.
 0.07870531 0.1693498  0.11279928 0.         0.         0.13664526
 0.13062765]",1.0350188225488586,1.0383718292343536,0.09924054328250491,0.09923836916897734,0.0,0.17339378688615145,0.0,0.07870530772723726,0.16934979956407856,0.11279928340702249,0.0,0.0,0.13664525711303666,0.13062765285099134,0.0
12,2014-01-23,"[0.         0.09920745 0.09907327 0.         0.17337065 0.
 0.0785959  0.16943647 0.11272056 0.         0.         0.13673909
 0.13085662]",1.0342832462365108,1.0400051665491052,0.09920744519604899,0.09907327195590142,0.0,0.1733706460885093,0.0,0.07859590310702988,0.16943646621182162,0.11272055855253331,0.0,0.0,0.136739093673224,0.13085661521493142,0.0
