,Date,Weights,Profit,Base Profit,Volume,PHM,BZH,MTH,NVR,CIGI,TRC,FRPH,CTO,SUP,DORM,STRT,MOD,cash
0,2014-01-06,"[0.09000179 0.13305669 0.10057924 0.09769916 0.09465667 0.12305709
 0.         0.         0.11310021 0.         0.         0.13948366
 0.10836548]",0.9999999999909,0.9999999999917251,0.9099982138681332,0.13305669402265122,0.10057924061354952,0.0976991569650574,0.09465667249899962,0.12305709084432286,0.0,0.0,0.11310021353280418,0.0,0.0,0.13948366491200453,0.1083654804787438,0.09000178613186668
1,2014-01-07,"[0.         0.1485267  0.10878011 0.10513738 0.1021011  0.13658487
 0.         0.         0.12379428 0.         0.         0.1570102
 0.11806535]",0.9989469428862353,1.0005319116963116,0.09000178613104774,0.14852670301968598,0.10878010560688743,0.10513738123187759,0.10210110162013526,0.1365848735120157,0.0,0.0,0.12379428307209989,0.0,0.0,0.15701020238049912,0.11806534955679905,0.0
2,2014-01-08,"[0.         0.14901074 0.10817234 0.10456568 0.10173381 0.13734706
 0.         0.         0.12361678 0.         0.         0.15792112
 0.11763247]",0.9943594946144513,0.9927826026125746,0.00599160790587208,0.1490107390338042,0.10817234026344177,0.10456568099945544,0.10173381016791551,0.1373470586685277,0.0,0.0,0.12361678284279774,0.0,0.0,0.15792111542968318,0.1176324725943744,0.0
3,2014-01-09,"[0.         0.14903638 0.1081177  0.10450704 0.10190692 0.13694227
 0.         0.         0.12354673 0.         0.         0.15818778
 0.11775517]",0.987274716834549,0.9899144900079113,0.005413148879046684,0.1490363847388784,0.10811769651943501,0.10450703597020713,0.10190692111219213,0.1369422738797216,0.0,0.0,0.12354673426755282,0.0,0.0,0.15818777858624816,0.1177551749257649,0.0
4,2014-01-10,"[0.         0.14849451 0.10777589 0.10436045 0.10178554 0.13770671
 0.         0.         0.1236593  0.         0.         0.15822657
 0.11799102]",0.992311433560362,0.9928543766275484,0.015583433222238081,0.14849451354667942,0.1077758866094639,0.10436044915779838,0.10178554296677521,0.1377067095389605,0.0,0.0,0.12365930025248005,0.0,0.0,0.15822657350065783,0.11799102442718486,0.0
5,2014-01-13,"[0.         0.14912931 0.10828298 0.1045916  0.10193371 0.13697005
 0.         0.         0.12335664 0.         0.         0.15817682
 0.11755889]",0.9877721417430891,0.9870891593361638,0.006025489590173686,0.1491293064118282,0.10828298026726273,0.10459160473887683,0.10193370696234298,0.13697004796816425,0.0,0.0,0.12335664254330393,0.0,0.0,0.15817682343504597,0.11755888767317509,0.0
6,2014-01-14,"[0.         0.14891069 0.10827757 0.10444472 0.10181858 0.13721287
 0.         0.         0.12350773 0.         0.         0.15825916
 0.11756867]",0.9821651544114861,0.9824766279152272,0.0035304434607864293,0.14891069227343454,0.10827757109528907,0.10444471804822118,0.1018185829789896,0.13721287479910257,0.0,0.0,0.12350772837858152,0.0,0.0,0.1582591625166759,0.11756866990970555,0.0
7,2014-01-15,"[0.         0.14926694 0.10829277 0.10445423 0.10180334 0.13711764
 0.         0.         0.12347551 0.         0.         0.15795485
 0.11763471]",0.9731870275509372,0.9722036118516589,0.007800652316670303,0.1492669404561814,0.10829277396200125,0.10445423240305313,0.10180333719842988,0.13711763771930185,0.0,0.0,0.12347551392689246,0.0,0.0,0.1579548517364864,0.11763471259765365,0.0
8,2014-01-16,"[0.         0.14855167 0.10793157 0.10424989 0.10190933 0.13720722
 0.         0.         0.12351525 0.         0.         0.15896578
 0.11766927]",0.9714221308592337,0.9744194248589951,0.01145701632110984,0.14855167464896837,0.10793157327322371,0.10424989115124043,0.10190933116931257,0.1372072210385439,0.0,0.0,0.1235152549881469,0.0,0.0,0.15896577924364005,0.117669274486924,0.0
9,2014-01-17,"[0.         0.14898031 0.10839072 0.10456168 0.10207244 0.13712707
 0.         0.         0.12348565 0.         0.         0.15807321
 0.11730892]",0.9741993187442752,0.9780015481110238,0.007198832125796298,0.148980313025594,0.10839072227919268,0.10456167639352593,0.10207243795081261,0.1371270735489026,0.0,0.0,0.12348564780244563,0.0,0.0,0.15807321294830712,0.11730891605121943,0.0
10,2014-01-21,"[0.         0.14854162 0.10816663 0.10441164 0.1020884  0.13757534
 0.         0.         0.1237064  0.         0.         0.15818607
 0.1173239 ]",0.9790136796871757,0.9794222606184505,0.006005743895260977,0.14854161783096811,0.10816662787172968,0.10441163738552815,0.10208840361267711,0.13757534201343716,0.0,0.0,0.12370639887775987,0.0,0.0,0.15818606784278255,0.11732390456511738,0.0
11,2014-01-22,"[0.         0.14889239 0.10809791 0.10442237 0.10212886 0.13751573
 0.         0.         0.12340467 0.         0.         0.1584551
 0.11708297]",0.9782644408347891,0.9772589093166495,0.005124154424370391,0.148892392917707,0.10809790878496792,0.1044223674974558,0.1021288648899546,0.13751573391706468,0.0,0.0,0.12340466904364919,0.0,0.0,0.15845509590474752,0.11708296704445338,0.0
12,2014-01-23,"[0.         0.14853039 0.10827265 0.10438267 0.10238408 0.13748829
 0.         0.         0.12316139 0.         0.         0.15882029
 0.11696024]",0.9785293033537579,0.9756831904158048,0.011082355889330509,0.14853039409191734,0.10827264940374033,0.10438266681621579,0.10238407613139114,0.13748828559581386,0.0,0.0,0.12316139306254126,0.0,0.0,0.15882029469986078,0.11696024019851954,0.0
