,Date,Weights,Profit,Base Profit,Volume,PYX,STKL,UVV,ANDE,CTO,TRC,FRPH,CIGI,MCD,JACK,EAT,PZZA,cash
0,2014-01-06,"[0.0894519  0.19490262 0.         0.         0.         0.20822541
 0.         0.22166179 0.17436101 0.         0.         0.11139727
 0.        ]",0.9908945190203126,0.9917246744082152,0.9105480979687449,0.19490262419849522,0.0,0.0,0.0,0.20822540527159142,0.0,0.22166179240530157,0.17436100615655162,0.0,0.0,0.11139726993680506,0.0,0.08945190203125508
1,2014-01-07,"[0.         0.22204669 0.         0.         0.         0.23058959
 0.         0.24805535 0.19039806 0.         0.         0.10891031
 0.        ]",1.000615626276213,1.0001889049117805,0.08945190203125508,0.22204668946379635,0.0,0.0,0.0,0.23058959413611516,0.0,0.24805535107545235,0.19039805533490795,0.0,0.0,0.10891030998972825,0.0,0.0
2,2014-01-08,"[0.         0.20957327 0.         0.         0.         0.23699903
 0.         0.25459051 0.18831002 0.         0.         0.11052716
 0.        ]",0.9821463709978115,0.9866474774882538,0.014858478133286973,0.2095732724207218,0.0,0.0,0.0,0.23699902713366325,0.0,0.25459051472031957,0.18831002181633882,0.0,0.0,0.11052716390895655,0.0,0.0
3,2014-01-09,"[0.         0.20554839 0.         0.         0.         0.23610567
 0.         0.25657033 0.19192822 0.         0.         0.10984739
 0.        ]",0.9813857208611473,0.9887213691630509,0.009276401839311832,0.20554839315611378,0.0,0.0,0.0,0.236105668023132,0.0,0.2565703271081799,0.19192821932499812,0.0,0.0,0.10984739238757618,0.0,0.0
4,2014-01-10,"[0.         0.21135266 0.         0.         0.         0.23659579
 0.         0.25433764 0.18672782 0.         0.         0.11098609
 0.        ]",0.972193049223131,0.9905132580721872,0.015327960775236571,0.2113526593764993,0.0,0.0,0.0,0.23659579445158474,0.0,0.25433763546642824,0.1867278168478552,0.0,0.0,0.11098609385763243,0.0,0.0
5,2014-01-13,"[0.         0.21684548 0.         0.         0.         0.23511132
 0.         0.25047517 0.18789676 0.         0.         0.10967126
 0.        ]",0.9683349118243434,0.9891300936567682,0.006342284026581421,0.21684548201496087,0.0,0.0,0.0,0.2351113219360158,0.0,0.25047517204940006,0.18789676426757002,0.0,0.0,0.10967125973205324,0.0,0.0
6,2014-01-14,"[0.         0.21413004 0.         0.         0.         0.23672698
 0.         0.25398286 0.18630245 0.         0.         0.10885767
 0.        ]",0.956436871426757,0.979924047690459,0.005652607200403004,0.21413004321474755,0.0,0.0,0.0,0.2367269780985697,0.0,0.2539828644309191,0.18630244819938396,0.0,0.0,0.10885766605637968,0.0,0.0
7,2014-01-15,"[0.         0.21784638 0.         0.         0.         0.23720892
 0.         0.24654219 0.18625509 0.         0.         0.11214742
 0.        ]",0.9454752125189135,0.9737888108778033,0.002679170320039989,0.21784637923496813,0.0,0.0,0.0,0.23720891632737898,0.0,0.24654219365886476,0.18625509002302187,0.0,0.0,0.11214742075576621,0.0,0.0
8,2014-01-16,"[0.         0.21109542 0.         0.         0.         0.23451716
 0.         0.25793039 0.18336082 0.         0.         0.11309622
 0.        ]",0.9497394815948776,0.9783954669259083,0.012031563904400813,0.21109541805648827,0.0,0.0,0.0,0.23451715707794815,0.0,0.25793038770450294,0.18336081832929027,0.0,0.0,0.11309621883177039,0.0,0.0
9,2014-01-17,"[0.         0.21421929 0.         0.         0.         0.2349852
 0.         0.25978917 0.18369079 0.         0.         0.10731554
 0.        ]",0.9712222723165336,0.9901851039951682,0.010471266808498955,0.2142192909770832,0.0,0.0,0.0,0.23498520265281697,0.0,0.2597891719473306,0.18369079222499032,0.0,0.0,0.10731554219777893,0.0,0.0
10,2014-01-21,"[0.         0.21703521 0.         0.         0.         0.23621274
 0.         0.24947981 0.18676133 0.         0.         0.1105109
 0.        ]",0.9708238480974561,0.9928084690366428,0.008377660095974182,0.21703520965328632,0.0,0.0,0.0,0.23621274390693361,0.0,0.24947981400374997,0.18676133386731666,0.0,0.0,0.11051089856871327,0.0,0.0
11,2014-01-22,"[0.         0.21530496 0.         0.         0.         0.23276004
 0.         0.25489581 0.1865395  0.         0.         0.11049969
 0.        ]",0.967364297852123,0.9931400264900625,0.008020937100761724,0.21530495610861297,0.0,0.0,0.0,0.23276003923762317,0.0,0.2548958133288272,0.18653950004088585,0.0,0.0,0.11049969128405084,0.0,0.0
12,2014-01-23,"[0.         0.21194679 0.         0.         0.         0.23576958
 0.         0.25157232 0.18159472 0.         0.         0.11911659
 0.        ]",0.9724268306827065,0.9983855993184525,0.0053888626627447145,0.21194678559592103,0.0,0.0,0.0,0.23576958230726913,0.0,0.2515723210029138,0.18159472159240303,0.0,0.0,0.11911658950149291,0.0,0.0
13,2014-01-24,"[0.         0.2156065  0.         0.         0.         0.23451298
 0.         0.25940798 0.1805843  0.         0.         0.10988824
 0.        ]",0.9744864077136874,0.9995033714681658,0.014596095093018277,0.21560649735497153,0.0,0.0,0.0,0.23451297907482435,0.0,0.2594079815817112,0.18058430266069508,0.0,0.0,0.10988823932779779,0.0,0.0
14,2014-01-27,"[0.         0.21516481 0.         0.         0.         0.23511084
 0.         0.25667153 0.18169793 0.         0.         0.11135489
 0.        ]",0.9731137306131097,0.9936918522768796,0.011111350731579608,0.21516481359743256,0.0,0.0,0.0,0.2351108430165139,0.0,0.25667152757666534,0.1816979254705725,0.0,0.0,0.11135489033881571,0.0,0.0
