,Date,Weights,Profit,Base Profit,TCF,UMBF,C,JPM,UVV,PYX,STKL,ANDE,EBIX,UIS,STRM,JKHY,cash
0,2014-01-06,"[0.06468412 0.07006895 0.         0.         0.         0.
 0.07233191 0.1536199  0.11054954 0.16237727 0.09370268 0.1203972
 0.15226843]",0.9999999999906468,0.9999999999917246,0.07006894727794272,0.0,0.0,0.0,0.0,0.07233190608945159,0.1536198953059577,0.11054954146146616,0.16237727410945968,0.09370268300158308,0.12039719946626433,0.1522684300460149,0.0646841232418598
1,2014-01-07,"[0.         0.07114418 0.         0.         0.         0.
 0.07285074 0.16833052 0.11638656 0.1797224  0.09670802 0.12797929
 0.1668783 ]",1.0089149435015943,1.0101538792448963,0.07114417514341984,0.0,0.0,0.0,0.0,0.07285074076972202,0.16833051626567713,0.11638656081108639,0.1797223964951554,0.09670801658727275,0.12797929332257668,0.16687830060508987,0.0
2,2014-01-08,"[0.         0.07059667 0.         0.         0.         0.
 0.07197241 0.16917036 0.11594793 0.18105548 0.09591901 0.12768974
 0.1676484 ]",0.9981860881866251,1.0034584914681932,0.07059666751132469,0.0,0.0,0.0,0.0,0.07197241497183902,0.16917035787038548,0.11594792696142354,0.18105548010652175,0.09591901368108541,0.12768974077206577,0.16764839812535443,0.0
3,2014-01-09,"[0.         0.07037097 0.         0.         0.         0.
 0.07233491 0.16900279 0.11587492 0.18115793 0.09601639 0.12763968
 0.1676024 ]",1.0082635770270938,1.0065010875139475,0.0703709720459525,0.0,0.0,0.0,0.0,0.0723349077485499,0.16900279075917782,0.1158749230436482,0.18115793113487702,0.09601639055857106,0.12763968195158926,0.16760240275763433,0.0
4,2014-01-10,"[0.         0.07033353 0.         0.         0.         0.
 0.07195406 0.16921476 0.1157833  0.18136099 0.0961426  0.12728153
 0.16792923]",1.0182269235647563,1.0111264257828358,0.07033353202320548,0.0,0.0,0.0,0.0,0.07195405992246057,0.16921475852006676,0.11578329895707988,0.18136099479068807,0.09614259606020466,0.12728153065529907,0.16792922907099536,0.0
5,2014-01-13,"[0.         0.07052182 0.         0.         0.         0.
 0.07117665 0.16968441 0.11570257 0.18159581 0.09591501 0.12712161
 0.16828212]",1.0157027860016241,1.0107707282730374,0.07052182200794006,0.0,0.0,0.0,0.0,0.07117664679107713,0.16968440522502765,0.11570257149122883,0.1815958135580957,0.09591501039719039,0.12712161355108972,0.1682821169783506,0.0
6,2014-01-14,"[0.         0.0705141  0.         0.         0.         0.
 0.07083257 0.1700149  0.11545405 0.18175372 0.09595746 0.1268682
 0.168605  ]",0.9942849063433491,0.9969504307915108,0.07051409961339059,0.0,0.0,0.0,0.0,0.07083257367156848,0.17001489866618041,0.11545405330538672,0.1817537209337826,0.09595745691868802,0.1268682007673671,0.16860499612363627,0.0
7,2014-01-15,"[0.         0.0705219  0.         0.         0.         0.
 0.07073363 0.17015205 0.11537498 0.18179006 0.09588126 0.12689184
 0.16865428]",0.9846454182505923,0.991976181678151,0.07052190012954425,0.0,0.0,0.0,0.0,0.07073362996860935,0.17015205042208573,0.11537498051360298,0.1817900627424961,0.09588126139526161,0.1268918376115508,0.1686542772168492,0.0
8,2014-01-16,"[0.         0.07050044 0.         0.         0.         0.
 0.07109012 0.16987723 0.11554877 0.18165533 0.09589136 0.12702994
 0.16840681]",0.9923826053370342,0.9964612546115632,0.07050043676877711,0.0,0.0,0.0,0.0,0.07109012334750489,0.16987723038482533,0.11554877207612875,0.1816553313057724,0.0958913637204047,0.1270299362382255,0.16840680615836126,0.0
9,2014-01-17,"[0.         0.07059783 0.         0.         0.         0.
 0.07058562 0.1701745  0.11554014 0.18181251 0.09577529 0.12687716
 0.16863695]",0.9915757392643504,0.9983822830972295,0.07059783298762912,0.0,0.0,0.0,0.0,0.07058561959854971,0.1701744988944461,0.11554014461515391,0.18181250765031684,0.09577528809683489,0.1268771615236102,0.1686369466334593,0.0
