,Date,Weights,Profit,Base Profit,Volume,BIO,PKI,COHR,WAT,TRT,VECO,IVAC,ASYS,FLEX,IEC,CTS,SANM,cash
0,2014-01-06,"[0.07211196 0.076907   0.07631797 0.07732888 0.07794539 0.07404312
 0.07562887 0.0780469  0.07704449 0.07999654 0.07820904 0.07844977
 0.07797009]",0.999814422391355,0.9998000000000002,0.9278880432248116,0.07690700143575668,0.07631796598434448,0.0773288756608963,0.07794538885354996,0.07404311746358871,0.0756288692355156,0.07804689556360245,0.07704448699951172,0.07999654114246368,0.0782090425491333,0.07844977080821991,0.07797008752822876,0.07211195677518845
1,2014-01-07,"[0.07205813 0.07744762 0.07628053 0.07680026 0.07852468 0.07406309
 0.07571526 0.07748082 0.07733846 0.07926887 0.07830568 0.07883818
 0.07787845]",1.00549825827221,1.0059121577645187,0.003955985954284652,0.07744762301445007,0.07628053426742554,0.07680026441812515,0.07852467894554138,0.07406308501958847,0.07571525871753693,0.07748081535100937,0.07733845710754395,0.07926887273788452,0.0783056765794754,0.07883818447589874,0.0778784453868866,0.07205813378095627
2,2014-01-08,"[0.07206199 0.07745705 0.07628555 0.07680184 0.07852949 0.07409505
 0.07572412 0.07749587 0.077335   0.07926481 0.07829056 0.07878973
 0.07786897]",1.0043370168553478,1.004415094840219,0.013048897281497671,0.07745704799890518,0.07628554850816727,0.0768018364906311,0.078529492020607,0.07409504801034927,0.07572412490844727,0.07749586552381516,0.07733500003814697,0.0792648121714592,0.07829055935144424,0.07878972589969635,0.07786896824836731,0.07206198573112488
3,2014-01-09,"[0.07201374 0.07736453 0.07622918 0.07693802 0.07854021 0.07396136
 0.07566972 0.07763293 0.07735141 0.07939391 0.07829434 0.07871549
 0.07789516]",1.0186844226254275,1.020094957731148,0.009205192680112361,0.07736453413963318,0.07622918486595154,0.07693801820278168,0.07854021340608597,0.07396136224269867,0.07566972076892853,0.07763293385505676,0.077351413667202,0.0793939083814621,0.07829433679580688,0.0787154883146286,0.0778951644897461,0.0720137432217598
4,2014-01-10,"[0.07197817 0.07719219 0.07613092 0.07706409 0.0785007  0.07390878
 0.07557003 0.07769597 0.07743933 0.07956608 0.07833933 0.07859623
 0.07801817]",1.034082807168828,1.0371197913872285,0.01533277262414822,0.07719219475984573,0.07613091915845871,0.07706408947706223,0.07850069552659988,0.07390877604484558,0.07557003200054169,0.07769596576690674,0.0774393305182457,0.07956607639789581,0.07833933085203171,0.07859622687101364,0.07801816612482071,0.07197817414999008
5,2014-01-13,"[0.07191518 0.07709425 0.07608764 0.07731985 0.07849802 0.07374712
 0.07548426 0.07797026 0.07746519 0.07974633 0.07836585 0.07834368
 0.07796234]",1.0390006219668575,1.0433665964412062,0.021311149641983912,0.07709424942731857,0.07608763873577118,0.07731985300779343,0.07849802076816559,0.07374712079763412,0.0754842609167099,0.07797025889158249,0.07746519148349762,0.07974632829427719,0.07836585491895676,0.07834368199110031,0.07796233892440796,0.07191517949104309
6,2014-01-14,"[0.07176415 0.077075   0.07596036 0.07763128 0.07870918 0.07329389
 0.07543537 0.07841956 0.07737752 0.07994471 0.07851044 0.07811515
 0.07776339]",1.0334837765965792,1.0374962909640482,0.023764291080274218,0.07707499712705612,0.07596036046743393,0.07763127982616425,0.078709177672863,0.07329388707876205,0.07543537020683289,0.07841955870389938,0.07737752050161362,0.07994470745325089,0.07851044088602066,0.07811515033245087,0.0777633935213089,0.07176414877176285
7,2014-01-15,"[0.07152721 0.07731793 0.07575068 0.07805448 0.07916564 0.07246981
 0.07534458 0.07904059 0.07727498 0.08015939 0.07883932 0.07774988
 0.07730548]",1.0220075861654545,1.024591251992729,0.011354162156663213,0.07731793075799942,0.0757506787776947,0.07805448025465012,0.07916564494371414,0.0724698081612587,0.07534458488225937,0.07904058694839478,0.07727497816085815,0.08015938848257065,0.07883932441473007,0.07774987816810608,0.07730548083782196,0.07152720540761948
8,2014-01-16,"[0.07101455 0.07846317 0.07529584 0.07846662 0.08067843 0.07065526
 0.07532613 0.0799342  0.07653634 0.0800148  0.08055011 0.0773482
 0.07571635]",1.0380477775064518,1.041851446460852,0.011980074977999976,0.07846317440271378,0.0752958357334137,0.07846661657094955,0.08067843317985535,0.07065526396036148,0.07532612979412079,0.07993420213460922,0.07653634250164032,0.08001480251550674,0.08055011183023453,0.07734820246696472,0.07571635395288467,0.07101455330848694
9,2014-01-17,"[0.08509336 0.09793103 0.08823251 0.08632637 0.09738936 0.
 0.08776149 0.08853476 0.09018873 0.08884665 0.1021972  0.08749855
 0.        ]",1.0482309437038093,1.0533370516155338,0.2941898141757474,0.09793103486299515,0.08823250979185104,0.08632636815309525,0.097389355301857,0.0,0.08776149153709412,0.08853476494550705,0.09018872678279877,0.08884665369987488,0.10219720005989075,0.08749855309724808,0.0,0.08509336411952972
10,2014-01-21,"[0.07274792 0.07198159 0.08318149 0.07816388 0.07109503 0.07850796
 0.07917798 0.07757913 0.07680545 0.07851212 0.07691427 0.07589055
 0.07944261]",1.0476570084749852,1.0535623326629553,0.3190679937248234,0.07198159396648407,0.0831814855337143,0.07816388458013535,0.07109503448009491,0.07850795984268188,0.07917798310518265,0.07757913321256638,0.07680545002222061,0.07851212471723557,0.07691427320241928,0.07589054852724075,0.07944260537624359,0.07274791598320007
