,Date,Weights,Profit,Base Profit,MTH,BZH,PHM,NVR,HUBB,IIN,MRCY,AVX,BIO,PKI,COHR,WAT,cash
0,2014-01-06,"[0.08029424 0.10354581 0.11921653 0.17629392 0.09416855 0.
 0.         0.11037541 0.13249362 0.09941865 0.         0.08419327
 0.        ]",0.9999999999908029,0.9999999999917246,0.10354581080263758,0.11921653315626818,0.17629392453585024,0.09416854506751371,0.0,0.0,0.11037540879853396,0.13249362108004228,0.09941865060674157,0.0,0.08419327047255075,0.0,0.0802942354798618
1,2014-01-07,"[0.         0.10964623 0.1283104  0.20288378 0.09965993 0.
 0.         0.11978698 0.14509128 0.10567173 0.         0.08894966
 0.        ]",1.0000344466320696,1.0044875986529467,0.10964623128809846,0.12831039933740326,0.20288377954295947,0.09965993454668122,0.0,0.0,0.11978698348548457,0.14509128056130924,0.10567173068659877,0.0,0.08894966055146515,0.0,0.0
2,2014-01-08,"[0.         0.10886367 0.12759164 0.20594988 0.09928105 0.
 0.         0.11955228 0.14575658 0.1049374  0.         0.0880675
 0.        ]",0.996567652790716,1.004233495875322,0.10886367471138807,0.12759163723766367,0.2059498751047117,0.09928104886188004,0.0,0.0,0.11955228277939957,0.14575657858062302,0.10493739877672006,0.0,0.0880675039476141,0.0,0.0
3,2014-01-09,"[0.         0.10913432 0.12777749 0.20623454 0.0992626  0.
 0.         0.11886834 0.14605962 0.10480068 0.         0.08786242
 0.        ]",0.9825692059842276,0.9999489830952728,0.109134320046587,0.12777749374556205,0.2062345351799275,0.09926259620566168,0.0,0.0,0.11886833858191292,0.1460596223548149,0.10480067795431827,0.0,0.08786241593121562,0.0,0.0
4,2014-01-10,"[0.         0.10962599 0.12768376 0.20597214 0.09925872 0.
 0.         0.11850296 0.14625982 0.10488598 0.         0.08781063
 0.        ]",0.9917694884786908,1.005331082765968,0.10962599370532461,0.12768376368149478,0.20597213800983283,0.09925872223717026,0.0,0.0,0.1185029617642299,0.14625981752840822,0.10488597573906584,0.0,0.08781062733447335,0.0,0.0
5,2014-01-13,"[0.         0.11047408 0.12772983 0.20563453 0.09976294 0.
 0.         0.11757143 0.14749775 0.10450951 0.         0.08681992
 0.        ]",0.9912650762963523,1.0079394618309152,0.11047408274514504,0.1277298275459283,0.20563453370055884,0.09976294210954531,0.0,0.0,0.1175714336200215,0.1474977476149158,0.10450950960001466,0.0,0.08681992306387062,0.0,0.0
6,2014-01-14,"[0.         0.11125704 0.12880367 0.20536062 0.10036478 0.
 0.         0.1164872  0.14803295 0.10379014 0.         0.0859036
 0.        ]",0.9913586567911478,1.0108523063589403,0.11125703659199845,0.12880367285981603,0.20536062145806738,0.10036478440195956,0.0,0.0,0.11648720167649071,0.14803294678367754,0.10379013730042687,0.0,0.08590359892756355,0.0,0.0
7,2014-01-15,"[0.         0.11121417 0.12873075 0.2052357  0.10030194 0.
 0.         0.11642408 0.14819149 0.10390615 0.         0.08599572
 0.        ]",0.9752313290468286,0.9993407833780075,0.11121416834080093,0.12873074923768701,0.20523570389615087,0.1003019418970815,0.0,0.0,0.1164240787418591,0.14819149393946918,0.10390614559363362,0.0,0.08599571835331785,0.0,0.0
8,2014-01-16,"[0.         0.11125296 0.1291484  0.20516478 0.10023792 0.
 0.         0.11630155 0.14779148 0.10389485 0.         0.08620806
 0.        ]",0.9867906840970309,1.0121641128098322,0.11125295569649461,0.12914840028893118,0.20516477928374943,0.10023792186303739,0.0,0.0,0.11630155452357187,0.14779147982720128,0.10389484967010128,0.0,0.08620805884691275,0.0,0.0
9,2014-01-17,"[0.         0.11065291 0.12924393 0.20559332 0.10017277 0.
 0.         0.11688362 0.14716726 0.10380313 0.         0.08648307
 0.        ]",0.9913943939044937,1.0170944723860111,0.1106529085629347,0.12924392970959386,0.20559331725268432,0.1001727683543787,0.0,0.0,0.1168836168967255,0.1471672587378191,0.10380313275925458,0.0,0.0864830677266093,0.0,0.0
10,2014-01-21,"[0.         0.1104786  0.12921836 0.20572376 0.10024903 0.
 0.         0.11699361 0.14715782 0.10371779 0.         0.08646104
 0.        ]",0.9929653978815773,1.0196974294696173,0.11047859587581127,0.1292183616888531,0.20572375840474758,0.10024903124145339,0.0,0.0,0.11699361069949969,0.14715781846587175,0.10371778646327919,0.0,0.08646103716048416,0.0,0.0
11,2014-01-22,"[0.         0.11041291 0.12910802 0.20573137 0.10020941 0.
 0.         0.11714771 0.14707463 0.10377621 0.         0.08653973
 0.        ]",0.9973166751142502,1.0265674632468287,0.11041291355882447,0.12910802413875677,0.2057313730090889,0.10020940943000095,0.0,0.0,0.11714770783360791,0.1470746301244067,0.10377621049614381,0.0,0.08653973140917066,0.0,0.0
12,2014-01-23,"[0.         0.10979978 0.1288581  0.20627522 0.10016519 0.
 0.         0.11759442 0.14723947 0.103714   0.         0.08635381
 0.        ]",0.9914531875809515,1.0270013785775536,0.1097997837416539,0.12885810106959023,0.20627521895017153,0.10016519045148589,0.0,0.0,0.11759441901602462,0.14723947011199465,0.10371400468805497,0.0,0.08635381197102415,0.0,0.0
13,2014-01-24,"[0.         0.10982322 0.1289394  0.20631791 0.10007416 0.
 0.         0.11758763 0.14705942 0.10375754 0.         0.08644072
 0.        ]",0.9976593955252854,1.027386616426982,0.10982321559032643,0.12893940267020046,0.2063179089633984,0.1000741634291702,0.0,0.0,0.11758762834010857,0.1470594157316844,0.10375754127614094,0.0,0.08644072399897051,0.0,0.0
