,Date,Weights,Profit,Base Profit,Volume,MSI,VSAT,BKTI,SCON,GL,CIA,FFG,AAME,WLFC,KAMN,HDSN,LAWS,cash
0,2014-01-06,"[0.07289096 0.07514357 0.0783357  0.07720944 0.0769453  0.07670716
 0.07583762 0.0758371  0.08159384 0.07704503 0.07691399 0.07531788
 0.0802224 ]",0.999814578191936,0.9998000000000002,0.9271090403199196,0.07514356821775436,0.078335702419281,0.07720944285392761,0.07694530487060547,0.07670716196298599,0.0758376196026802,0.07583709806203842,0.0815938413143158,0.0770450308918953,0.0769139900803566,0.0753178820014,0.08022239804267883,0.07289095968008041
1,2014-01-07,"[0.07222927 0.07626616 0.07830548 0.07598411 0.07728703 0.07665428
 0.07643277 0.07585477 0.0804278  0.07790987 0.077802   0.07505955
 0.0797869 ]",1.0051054322408908,1.0053819483363287,0.006997010364025466,0.07626616209745407,0.07830547541379929,0.07598411291837692,0.07728702574968338,0.07665427774190903,0.07643277198076248,0.07585477083921432,0.08042780309915543,0.07790987193584442,0.07780200242996216,0.07505954802036285,0.07978689670562744,0.07222927361726761
2,2014-01-08,"[0.0722971  0.07624546 0.0782624  0.0759002  0.07727626 0.07673759
 0.07645858 0.07569937 0.08037671 0.07804313 0.07775694 0.07519918
 0.0797471 ]",1.0264668288168266,1.0287045005809858,0.008065926238829048,0.07624546438455582,0.07826239615678787,0.07590020447969437,0.07727625966072083,0.07673759013414383,0.07645858079195023,0.07569937407970428,0.08037670701742172,0.0780431255698204,0.07775694131851196,0.0751991793513298,0.07974709570407867,0.0722970962524414
3,2014-01-09,"[0.07227637 0.07626949 0.07826778 0.07587647 0.07722387 0.07670724
 0.07647017 0.07577044 0.08046936 0.07793631 0.07776421 0.07513478
 0.07983353]",1.0178157004266526,1.0173851122051445,0.04292063562453126,0.0762694925069809,0.07826777547597885,0.07587646692991257,0.07722387462854385,0.07670723646879196,0.07647016644477844,0.07577043771743774,0.08046936243772507,0.07793630659580231,0.07776420563459396,0.07513477653265,0.07983352988958359,0.07227636873722076
4,2014-01-10,"[0.07229928 0.07623632 0.07829163 0.07596032 0.07728435 0.07672083
 0.07644942 0.07577044 0.08034875 0.07799727 0.07774574 0.0751538
 0.07974183]",1.0302970640781557,1.0317399386771717,0.02341546264334032,0.07623632252216339,0.0782916322350502,0.07596032321453094,0.07728435099124908,0.07672083377838135,0.07644941657781601,0.07577043771743774,0.08034875243902206,0.07799726724624634,0.07774574309587479,0.07515379786491394,0.07974182814359665,0.0722992792725563
5,2014-01-13,"[0.07229955 0.07625961 0.07829496 0.07594445 0.07724486 0.07670694
 0.07646143 0.07582984 0.08039917 0.07794598 0.07775661 0.07510697
 0.07974964]",1.0239629341563337,1.0233494890611745,0.01557981526399732,0.07625961303710938,0.07829495519399643,0.0759444460272789,0.07724486291408539,0.07670693844556808,0.07646142691373825,0.07582984119653702,0.08039917051792145,0.07794597744941711,0.0777566134929657,0.07510697096586227,0.07974964380264282,0.0722995474934578
6,2014-01-14,"[0.07229858 0.07626835 0.07830592 0.07597585 0.07726578 0.07670198
 0.07645374 0.07583766 0.08032697 0.07799996 0.0777681  0.07512272
 0.07967439]",1.0187792534546636,1.0178838049580927,0.020269562789532666,0.07626835256814957,0.0783059224486351,0.07597585022449493,0.07726577669382095,0.07670197635889053,0.07645373791456223,0.07583765685558319,0.08032696694135666,0.07799995690584183,0.07776810228824615,0.07512272149324417,0.0796743854880333,0.0722985789179802
7,2014-01-15,"[0.07229276 0.07624105 0.07831582 0.07599271 0.07725668 0.07673486
 0.07644868 0.07582125 0.08037294 0.07794818 0.07771383 0.07510866
 0.07975255]",1.01700292853868,1.0151438334942067,0.007209899431531966,0.07624105364084244,0.07831582427024841,0.07599271088838577,0.07725667953491211,0.07673485577106476,0.07644867897033691,0.07582125067710876,0.08037293702363968,0.0779481753706932,0.07771383225917816,0.07510866224765778,0.07975254952907562,0.072292760014534
8,2014-01-16,"[0.07230016 0.07625166 0.07832182 0.07599779 0.07726143 0.07672627
 0.07645717 0.07583961 0.08035219 0.07795057 0.0777237  0.07509373
 0.07972386]",1.0235380323239167,1.0220569350657707,0.017516079469865175,0.07625165581703186,0.07832182198762894,0.07599779218435287,0.07726143300533295,0.0767262652516365,0.07645717263221741,0.07583960890769958,0.08035219460725784,0.07795057445764542,0.07772370427846909,0.07509373128414154,0.07972386479377747,0.07230015844106674
9,2014-01-17,"[0.07231797 0.07622844 0.0783096  0.07596982 0.07724346 0.07677567
 0.07646272 0.07578599 0.08036743 0.07794427 0.07768121 0.07512471
 0.07978869]",1.035793215063669,1.03695597333161,0.01331589417067629,0.07622843980789185,0.07830959558486938,0.07596982270479202,0.07724346220493317,0.07677567005157471,0.07646271586418152,0.07578599452972412,0.08036743104457855,0.07794427126646042,0.07768121361732483,0.07512471079826355,0.0797886922955513,0.07231797277927399
10,2014-01-21,"[0.07228442 0.07622299 0.07832073 0.07599317 0.07726291 0.07681457
 0.07646379 0.07572305 0.08036952 0.07797862 0.07765784 0.07513509
 0.07977328]",1.031860534809068,1.032955871669963,0.022753549358169874,0.0762229859828949,0.07832072675228119,0.07599316537380219,0.07726290822029114,0.07681456953287125,0.07646378874778748,0.07572305202484131,0.08036951720714569,0.07797861844301224,0.07765784114599228,0.07513508945703506,0.07977328449487686,0.07228442281484604
