,Date,Weights,Profit,Base Profit,Volume,ASYS,VECO,TRT,IVAC,CTS,SANM,FLEX,IEC,EAT,MCD,JACK,PZZA,cash
0,2014-01-06,"[0.08951562 0.09163376 0.09094542 0.         0.0968078  0.09695441
 0.08905569 0.         0.         0.11601604 0.11646827 0.09360918
 0.11899378]",0.9999999701885728,0.9999999999900002,0.9104843512177467,0.09163375943899155,0.09094541519880295,0.0,0.0968078002333641,0.09695441275835037,0.08905569463968277,0.0,0.0,0.11601603776216507,0.11646827310323715,0.09360917657613754,0.11899378150701523,0.08951561897993088
1,2014-01-07,"[0.08968212 0.09156092 0.09138187 0.         0.09677711 0.09698834
 0.08886529 0.         0.         0.11596514 0.11639364 0.09344377
 0.11894178]",1.0088979971603975,1.0051773397646078,0.0011072690360875066,0.09156091511249542,0.09138187021017075,0.0,0.09677711129188538,0.09698833525180817,0.08886528760194778,0.0,0.0,0.11596513539552689,0.11639364063739777,0.09344377368688583,0.1189417839050293,0.08968212455511093
2,2014-01-08,"[0.08971641 0.09145755 0.09158899 0.         0.09678677 0.09689014
 0.08886533 0.         0.         0.11595777 0.11630536 0.09343235
 0.11899934]",1.002068009290569,0.9991665232059477,0.011265278657892678,0.0914575532078743,0.09158898890018463,0.0,0.09678676724433899,0.09689013659954071,0.08886533230543137,0.0,0.0,0.11595776677131653,0.11630535870790482,0.09343235194683075,0.11899933964014053,0.08971641212701797
3,2014-01-09,"[0.08983657 0.09125994 0.09177375 0.         0.09695939 0.09666049
 0.08884516 0.         0.         0.11597094 0.11618223 0.09339779
 0.11911377]",1.0163118016883605,1.0109683940387337,0.00626892269551022,0.09125994145870209,0.09177374839782715,0.0,0.09695938974618912,0.09666048735380173,0.0888451561331749,0.0,0.0,0.11597093939781189,0.11618223041296005,0.09339778870344162,0.11911376565694809,0.08983656764030457
4,2014-01-10,"[0.09010836 0.09094094 0.09203344 0.         0.09722845 0.09635006
 0.08877936 0.         0.         0.11595719 0.11600626 0.09336141
 0.11923455]",1.0306820663214966,1.027473591475665,0.01784577498345065,0.0909409448504448,0.09203343838453293,0.0,0.09722844511270523,0.0963500589132309,0.08877936005592346,0.0,0.0,0.11595718562602997,0.1160062626004219,0.09336140751838684,0.11923454701900482,0.09010835736989975
5,2014-01-13,"[0.0904263  0.09057231 0.09245221 0.         0.09742484 0.09607238
 0.08863148 0.         0.         0.11594014 0.11584667 0.09332047
 0.1193132 ]",1.0405058066069959,1.0295459267957592,0.01462183190639065,0.0905723124742508,0.09245220571756363,0.0,0.09742484241724014,0.09607238322496414,0.08863148093223572,0.0,0.0,0.1159401386976242,0.1158466711640358,0.09332047402858734,0.11931319534778595,0.09042630344629288
6,2014-01-14,"[0.0906859  0.09008116 0.09326468 0.         0.09735491 0.09592401
 0.08842347 0.         0.         0.11576716 0.11578049 0.09348699
 0.11923118]",1.033324996744582,1.0222913116915655,0.01649001792656201,0.09008116275072098,0.09326467663049698,0.0,0.09735491126775742,0.095924012362957,0.0884234681725502,0.0,0.0,0.11576715856790543,0.11578048765659332,0.09348699450492859,0.11923117935657501,0.0906858965754509
7,2014-01-15,"[0.09094225 0.08910397 0.09438401 0.         0.09749072 0.09572153
 0.0879743  0.         0.         0.11545276 0.11577623 0.09410129
 0.11905291]",1.0257856457585433,1.014640410329904,0.007834532301952966,0.08910397440195084,0.09438401460647583,0.0,0.09749072045087814,0.0957215279340744,0.08797430247068405,0.0,0.0,0.11545275896787643,0.11577623337507248,0.09410128742456436,0.11905290931463242,0.09094224870204926
8,2014-01-16,"[0.09060448 0.08724354 0.09575328 0.         0.09854273 0.09480118
 0.0876464  0.         0.         0.11493219 0.11576705 0.09558701
 0.11912209]",1.0404637433675856,1.0328782381588872,0.009965294839870697,0.08724354207515717,0.09575328230857849,0.0,0.09854273498058319,0.09480118006467819,0.08764640241861343,0.0,0.0,0.11493219435214996,0.11576705425977707,0.09558700770139694,0.11912208795547485,0.09060447663068771
9,2014-01-17,"[0.09375306 0.         0.09788089 0.         0.12203828 0.09354824
 0.09851326 0.         0.         0.12479381 0.12761769 0.10817847
 0.13367635]",1.0452225995313607,1.0444497287855303,0.18028972995813586,0.0,0.09788089245557785,0.0,0.12203827500343323,0.0935482382774353,0.09851326048374176,0.0,0.0,0.12479381263256073,0.12761768698692322,0.10817846655845642,0.13367635011672974,0.09375306218862534
10,2014-01-21,"[0.         0.11137193 0.         0.         0.11288039 0.13079333
 0.10684877 0.         0.         0.12359559 0.15342516 0.12288423
 0.13820057]",1.0481027634725524,1.0446526415528117,0.32201166292152356,0.11137193441390991,0.0,0.0,0.11288038641214371,0.13079333305358887,0.10684876888990402,0.0,0.0,0.12359558790922165,0.1534251570701599,0.12288422882556915,0.1382005661725998,0.0
11,2014-01-22,"[0.09351785 0.10108592 0.         0.         0.10476885 0.11307643
 0.09843469 0.         0.         0.11904006 0.13493413 0.10724213
 0.12789991]",1.0528619994202268,1.0461240380309251,0.09801633767808372,0.10108592361211777,0.0,0.0,0.10476884990930557,0.11307643353939056,0.0984346866607666,0.0,0.0,0.11904006451368332,0.13493412733078003,0.10724212974309921,0.1278999149799347,0.09351785480976105
12,2014-01-23,"[0.09716339 0.10212718 0.         0.         0.10468251 0.11083751
 0.09778249 0.         0.         0.12379243 0.13143277 0.10389508
 0.12828664]",1.066675895270824,1.0539826197806377,0.022208744164621045,0.10212717950344086,0.0,0.0,0.10468250513076782,0.11083751171827316,0.09778248518705368,0.0,0.0,0.12379243224859238,0.13143277168273926,0.10389508306980133,0.12828664481639862,0.09716339409351349
