,Date,Weights,Profit,Base Profit,BMY,ABT,PFE,JNJ,PFIN,SPXC,LECO,CVR,TRT,IVAC,ASYS,VECO,cash
0,2014-01-06,"[0.10547783 0.11830857 0.         0.         0.17279477 0.23513706
 0.16279883 0.         0.20548294 0.         0.         0.
 0.        ]",0.9999999999910548,0.9999999999917246,0.11830856886375621,0.0,0.0,0.17279477104787944,0.23513706035691864,0.16279883042008766,0.0,0.20548294125739197,0.0,0.0,0.0,0.0,0.1054778280539661
1,2014-01-07,"[0.         0.12409358 0.         0.         0.18858758 0.27653051
 0.1756192  0.         0.23516914 0.         0.         0.
 0.        ]",1.011287564408568,1.0104286492582895,0.12409357785361873,0.0,0.0,0.188587575071715,0.2765305127623171,0.17561919861296574,0.0,0.2351691356993835,0.0,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.12185439 0.         0.         0.18699318 0.28132833
 0.17339901 0.         0.23642509 0.         0.         0.
 0.        ]",1.0181751160051726,1.0082827815400919,0.12185439240868697,0.0,0.0,0.186993177351987,0.2813283286791996,0.17339900926115104,0.0,0.2364250922989755,0.0,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.12147553 0.         0.         0.18724315 0.28227373
 0.17243727 0.         0.23657031 0.         0.         0.
 0.        ]",1.0308623415026905,1.0219049828721098,0.12147553285692864,0.0,0.0,0.1872431509942181,0.2822737349538485,0.17243726932259368,0.0,0.2365703118724111,0.0,0.0,0.0,0.0,0.0
4,2014-01-10,"[0.         0.12232067 0.         0.         0.18594462 0.2829612
 0.17195321 0.         0.2368203  0.         0.         0.
 0.        ]",1.0431671879589945,1.0392714770866396,0.12232067451488972,0.0,0.0,0.1859446206150612,0.2829611950754119,0.17195321179172515,0.0,0.23682029800291204,0.0,0.0,0.0,0.0,0.0
5,2014-01-13,"[0.         0.1223812  0.         0.         0.18555063 0.28332887
 0.17170199 0.         0.23703731 0.         0.         0.
 0.        ]",1.0475839114933905,1.0458403013531339,0.12238120285811296,0.0,0.0,0.18555063065349006,0.28332887487878355,0.17170198605767348,0.0,0.23703730555193994,0.0,0.0,0.0,0.0,0.0
6,2014-01-14,"[0.         0.12163178 0.         0.         0.18626559 0.28334679
 0.17190888 0.         0.23684697 0.         0.         0.
 0.        ]",1.0361875957296998,1.0425969401131177,0.12163177950848038,0.0,0.0,0.18626558649970293,0.28334678879435804,0.17190887512605038,0.0,0.23684697007140834,0.0,0.0,0.0,0.0,0.0
7,2014-01-15,"[0.         0.12202432 0.         0.         0.1862866  0.28328195
 0.17177194 0.         0.23663519 0.         0.         0.
 0.        ]",1.0113376527973275,1.0298479095281747,0.1220243208741034,0.0,0.0,0.18628660167498384,0.28328194898980347,0.17177194143624985,0.0,0.23663518702485944,0.0,0.0,0.0,0.0,0.0
8,2014-01-16,"[0.         0.12161112 0.         0.         0.18676388 0.28326318
 0.17194364 0.         0.23641818 0.         0.         0.
 0.        ]",1.0563386658140637,1.053185550847944,0.12161111911153981,0.0,0.0,0.1867638845018989,0.28326317930828426,0.17194364134561024,0.0,0.23641817573266677,0.0,0.0,0.0,0.0,0.0
9,2014-01-17,"[0.         0.12140701 0.         0.         0.18689344 0.28345796
 0.17168288 0.         0.23655872 0.         0.         0.
 0.        ]",1.0461194482664824,1.0554630592371665,0.12140700890114758,0.0,0.0,0.18689343711853168,0.2834579577857598,0.17168287812883495,0.0,0.23655871806572593,0.0,0.0,0.0,0.0,0.0
