,Date,Weights,Profit,Base Profit,HDSN,KAMN,WLFC,LAWS,GGG,ITT,FLS,IEX,SPAR,OSK,F,PCAR,cash
0,2014-01-06,"[0.08196941 0.         0.0887922  0.         0.15335506 0.
 0.11383916 0.14967328 0.08695933 0.09881056 0.11143213 0.
 0.11516888]",0.9999999999908197,0.9999999999917246,0.0,0.08879219939023486,0.0,0.1533550561181359,0.0,0.11383916050838654,0.14967328356859572,0.0869593330554809,0.0988105552099242,0.11143212508233129,0.0,0.1151688751997241,0.08196941186718645
1,2014-01-07,"[0.         0.         0.09312484 0.         0.17330759 0.
 0.12247686 0.16882325 0.09308058 0.10505644 0.11959536 0.
 0.12453508]",1.0128426232516776,1.0085006581600502,0.0,0.09312483926971275,0.0,0.17330759203827661,0.0,0.12247685538442606,0.16882325483323993,0.09308057612949676,0.10505644157214514,0.11959535741544802,0.0,0.12453508335725472,0.0
2,2014-01-08,"[0.         0.         0.09250423 0.         0.17432769 0.
 0.12252631 0.17007584 0.09250858 0.10453186 0.11895634 0.
 0.12456915]",1.0082260149403426,1.004648336779354,0.0,0.09250423332549096,0.0,0.17432769467570283,0.0,0.12252631345748971,0.1700758361893511,0.09250858103611159,0.1045318565266296,0.11895633723602583,0.0,0.12456914755319845,0.0
3,2014-01-09,"[0.         0.         0.09224956 0.         0.17497339 0.
 0.12178537 0.17060166 0.09303875 0.10434837 0.11886274 0.
 0.12414016]",1.0115746253654545,1.006738152079955,0.0,0.09224955961541183,0.0,0.17497338919349578,0.0,0.12178536876892052,0.17060165746569067,0.09303874808761965,0.1043483727170305,0.11886274300545793,0.0,0.12414016114637318,0.0
4,2014-01-10,"[0.         0.         0.0921633  0.         0.17528379 0.
 0.12131538 0.17084428 0.09338093 0.10425873 0.11886626 0.
 0.12388733]",1.0158471687676704,1.0123542410395512,0.0,0.09216330015328816,0.0,0.17528379182520543,0.0,0.12131538075767775,0.1708442836064079,0.09338092522608119,0.10425872606397,0.11886626199540938,0.0,0.1238873303719602,0.0
5,2014-01-13,"[0.         0.         0.09196062 0.         0.17600676 0.
 0.12043384 0.17107985 0.0937465  0.10419773 0.11918685 0.
 0.12338784]",1.0288366613051545,1.0183643232004465,0.0,0.09196061712949466,0.0,0.17600675971421362,0.0,0.12043384404435116,0.17107985048630098,0.09374650196573961,0.1041977321533071,0.11918685397553201,0.0,0.12338784053106086,0.0
6,2014-01-14,"[0.         0.         0.0919316  0.         0.17704194 0.
 0.11881047 0.17155848 0.09477792 0.10397829 0.11949583 0.
 0.12240547]",1.0325626222653197,1.0217701628204938,0.0,0.09193159995938555,0.0,0.17704194075640273,0.0,0.11881047216253135,0.17155847628508417,0.09477792181153225,0.1039782887579566,0.11949583161641571,0.0,0.1224054686506917,0.0
7,2014-01-15,"[0.         0.         0.09206536 0.         0.17764972 0.
 0.11756558 0.17192656 0.09558323 0.10382914 0.11968916 0.
 0.12169124]",1.0290773738500734,1.0158936660092142,0.0,0.09206536247627624,0.0,0.1776497214300762,0.0,0.11756557706435256,0.17192656249737528,0.09558323283990039,0.10382913949698677,0.11968916422707204,0.0,0.12169123996796043,0.0
8,2014-01-16,"[0.         0.         0.09221746 0.         0.17727973 0.
 0.1184154  0.17152205 0.0948368  0.10387772 0.11972953 0.
 0.1221213 ]",1.0318180880471746,1.0235538967790776,0.0,0.092217462553392,0.0,0.17727973158191201,0.0,0.11841539728024762,0.17152204661191392,0.09483680446784337,0.1038777218976889,0.11972953171050434,0.0,0.12212130389649793,0.0
9,2014-01-17,"[0.         0.         0.09233655 0.         0.17714035 0.
 0.11852851 0.17140833 0.09473702 0.10388855 0.11976776 0.
 0.12219293]",1.0511312007658622,1.032150391804537,0.0,0.09233655131205086,0.0,0.17714034691914018,0.0,0.11852851077030527,0.1714083336498448,0.0947370168151812,0.1038885475179898,0.11976776430240667,0.0,0.12219292871308136,0.0
10,2014-01-21,"[0.         0.         0.08528425 0.         0.1650107  0.07260019
 0.10934911 0.1590434  0.08795519 0.09638883 0.11143437 0.
 0.11293396]",1.0544854842375193,1.032306058275651,0.0,0.08528424970552886,0.0,0.1650106950495097,0.0726001877975019,0.10934911270053418,0.15904339822844257,0.08795518771538967,0.09638883314324614,0.11143437450807822,0.0,0.11293396115176871,0.0
11,2014-01-22,"[0.         0.         0.08484947 0.         0.16322613 0.07814498
 0.10984831 0.15721434 0.08676423 0.09619509 0.1108912  0.
 0.11286626]",1.0643252599596111,1.0384336542160384,0.0,0.08484946701097063,0.0,0.16322612501548311,0.0781449778669346,0.1098483082053812,0.1572143409044128,0.0867642297888971,0.0961950949282912,0.11089120052860285,0.0,0.11286625575102656,0.0
12,2014-01-23,"[0.         0.         0.08504066 0.         0.16311135 0.07869287
 0.1093744  0.15711349 0.08714742 0.09610197 0.11086442 0.
 0.11255342]",1.0619022613621278,1.0361922796638752,0.0,0.08504066451460983,0.0,0.16311134693564383,0.0786928698474114,0.1093743970291735,0.1571134882493879,0.08714742322909803,0.09610196697287901,0.11086441851139474,0.0,0.11255342471040163,0.0
13,2014-01-24,"[0.         0.         0.08541634 0.         0.16223661 0.07844438
 0.11064851 0.15669642 0.08643978 0.09618893 0.11063342 0.
 0.11329562]",1.058352901928424,1.033273952819502,0.0,0.08541634058727687,0.0,0.1622366092409396,0.07844437952769329,0.11064851004607071,0.1566964170459623,0.08643978242349121,0.09618892813577401,0.11063341746135964,0.0,0.11329561553143243,0.0
