,Date,Weights,Profit,Base Profit,Volume,UVV,STKL,PYX,ANDE,UMBF,C,TCF,JPM,PHM,MTH,NVR,BZH,cash
0,2014-01-06,"[0.11258455 0.10783824 0.         0.11424699 0.10630447 0.
 0.09404969 0.11038981 0.         0.14945817 0.09448339 0.
 0.11064468]",0.9955629153880259,0.9950000000000002,0.8874154388904572,0.10783824324607849,0.0,0.11424698680639267,0.10630446672439575,0.0,0.09404969215393066,0.11038980633020401,0.0,0.1494581699371338,0.0944833904504776,0.0,0.11064468324184418,0.11258455365896225
1,2014-01-07,"[0.11262301 0.10785327 0.         0.11446366 0.10608595 0.
 0.09392343 0.11043639 0.         0.14954583 0.09450296 0.
 0.11056553]",1.0042441587281326,1.002567824488184,0.0008058672632228067,0.10785327106714249,0.0,0.11446366459131241,0.10608594864606857,0.0,0.0939234271645546,0.11043639481067657,0.0,0.1495458334684372,0.09450295567512512,0.0,0.11056552827358246,0.11262300610542297
2,2014-01-08,"[0.11262878 0.10788611 0.         0.11442023 0.10610177 0.
 0.09393764 0.11040379 0.         0.14952062 0.09453658 0.
 0.11056442]",0.9936623033167783,0.9938136429657185,0.010934284761502542,0.10788611322641373,0.0,0.11442022770643234,0.10610176622867584,0.0,0.09393764287233353,0.11040379106998444,0.0,0.1495206207036972,0.09453658014535904,0.0,0.11056441813707352,0.11262878030538559
3,2014-01-09,"[0.11258957 0.1078377  0.         0.11442804 0.106151   0.
 0.09398615 0.11040705 0.         0.14954856 0.09450895 0.
 0.11054303]",0.980308846719165,0.9850410123664947,0.010630114657758902,0.10783769935369492,0.0,0.11442803591489792,0.10615099966526031,0.0,0.0939861536026001,0.11040704697370529,0.0,0.14954856038093567,0.09450894594192505,0.0,0.11054302752017975,0.11258956789970398
4,2014-01-10,"[0.11238413 0.10781957 0.         0.11446217 0.10626813 0.
 0.09392454 0.11049706 0.         0.14958622 0.09435946 0.
 0.11069875]",0.9829660121107024,0.9920153785944902,0.017264656770900482,0.1078195720911026,0.0,0.11446217447519302,0.10626813024282455,0.0,0.09392453730106354,0.11049705743789673,0.0,0.14958621561527252,0.09435945749282837,0.0,0.11069875210523605,0.1123841255903244
5,2014-01-13,"[0.11232819 0.10785079 0.         0.11443153 0.10631646 0.
 0.09389984 0.1105065  0.         0.14957087 0.09433392 0.
 0.1107619 ]",0.9804777990942016,0.9926310313889635,0.01166018835869992,0.10785079002380371,0.0,0.11443153023719788,0.1063164621591568,0.0,0.09389983862638474,0.11050650477409363,0.0,0.14957086741924286,0.09433392435312271,0.0,0.11076190322637558,0.1123281940817833
6,2014-01-14,"[0.11215892 0.10791149 0.         0.1143683  0.10644041 0.
 0.09380021 0.11056078 0.         0.14955464 0.09423555 0.
 0.11096966]",0.9730445883674645,0.98353814839018,0.004307617930882962,0.10791148990392685,0.0,0.11436829715967178,0.10644041001796722,0.0,0.09380020946264267,0.11056078225374222,0.0,0.14955464005470276,0.09423555433750153,0.0,0.1109696626663208,0.11215892434120178
7,2014-01-15,"[0.11215284 0.10795581 0.         0.11429495 0.10648329 0.
 0.09380405 0.11052957 0.         0.14951847 0.09426481 0.
 0.11099619]",0.9614593313552451,0.9721926695205355,0.009903193300633538,0.10795581340789795,0.0,0.11429494619369507,0.10648328810930252,0.0,0.09380404651165009,0.1105295717716217,0.0,0.1495184749364853,0.09426481276750565,0.0,0.11099619418382645,0.11215284466743469
8,2014-01-16,"[0.11224939 0.10795363 0.         0.11430413 0.10641611 0.
 0.0938421  0.11048903 0.         0.14950548 0.0943311  0.
 0.11090898]",0.9652772059221603,0.9736125264950887,0.011204762374043165,0.10795363038778305,0.0,0.11430413275957108,0.10641611367464066,0.0,0.09384210407733917,0.11048902571201324,0.0,0.14950548112392426,0.09433110058307648,0.0,0.11090897768735886,0.11224938929080963
9,2014-01-17,"[0.11215004 0.10795065 0.         0.11432478 0.10644455 0.
 0.09381171 0.11053649 0.         0.14953785 0.09426913 0.
 0.1109748 ]",0.9658159775157562,0.9781942922589685,0.004484690157652963,0.10795065015554428,0.0,0.11432477831840515,0.10644455254077911,0.0,0.09381170570850372,0.11053649336099625,0.0,0.1495378464460373,0.09426913410425186,0.0,0.11097479611635208,0.11215003579854965
10,2014-01-21,"[0.1121605  0.10797609 0.         0.11429767 0.10645231 0.
 0.09380805 0.11052106 0.         0.14951757 0.0942867  0.
 0.11098001]",0.968844205085762,0.9808523811300655,0.008079698022524805,0.10797608643770218,0.0,0.11429766565561295,0.10645230859518051,0.0,0.09380805492401123,0.11052106320858002,0.0,0.14951756596565247,0.09428670257329941,0.0,0.11098001152276993,0.11216049641370773
11,2014-01-22,"[0.11208989 0.10800571 0.         0.11426086 0.10651784 0.
 0.09377658 0.11053839 0.         0.1494975  0.0942471  0.
 0.11106616]",0.9679520493752726,0.9834145206602483,0.007885153445769172,0.10800570994615555,0.0,0.11426085978746414,0.10651783645153046,0.0,0.09377657622098923,0.11053839325904846,0.0,0.14949749410152435,0.09424710273742676,0.0,0.11106616258621216,0.11208988726139069
12,2014-01-23,"[0.11212756 0.10797311 0.         0.11429518 0.10648647 0.
 0.09379629 0.11053725 0.         0.14951275 0.09425675 0.
 0.11101464]",0.9675242470275466,0.9840129777432892,0.005346812273719257,0.107973113656044,0.0,0.11429517716169357,0.10648646950721741,0.0,0.09379629045724869,0.11053725332021713,0.0,0.14951275289058685,0.09425675123929977,0.0,0.11101464182138443,0.11212756484746933
