,Date,Weights,Profit,Base Profit,Volume,CTS,SANM,IEC,FLEX,GGG,ITT,FLS,IEX,JPM,UMBF,C,TCF,cash
0,2014-01-06,"[0.07419372 0.07725207 0.07320791 0.07588881 0.07863858 0.0808269
 0.07705987 0.08401278 0.07387117 0.07780597 0.08112408 0.07431999
 0.07179815]",0.999814823847788,0.9998000000000002,0.9258062690496445,0.07725206762552261,0.07320790737867355,0.07588881254196167,0.07863857597112656,0.08082690089941025,0.07705987244844437,0.08401277661323547,0.07387116551399231,0.07780596613883972,0.08112408220767975,0.074319988489151,0.07179815322160721,0.07419371604919434
1,2014-01-07,"[0.07429908 0.07688607 0.07382349 0.07641041 0.07889885 0.08086696
 0.07719574 0.08347353 0.0740685  0.07762047 0.08051224 0.07436089
 0.07158375]",1.0066667518800214,1.007282508430928,0.003727913245057099,0.07688606530427933,0.0738234892487526,0.07641040533781052,0.0788988471031189,0.08086695522069931,0.07719574123620987,0.08347352594137192,0.07406850159168243,0.07762046903371811,0.08051224052906036,0.07436089217662811,0.07158374786376953,0.07429908215999603
2,2014-01-08,"[0.0741201  0.07681701 0.07407517 0.07649226 0.07889076 0.0809321
 0.07712554 0.08347382 0.0739804  0.0776352  0.08046421 0.07452857
 0.07146485]",1.0042216276659042,1.0046762099259225,0.007164167704936844,0.07681701332330704,0.07407516986131668,0.07649226486682892,0.07889075577259064,0.08093209564685822,0.07712554186582565,0.0834738165140152,0.07398039847612381,0.07763519883155823,0.08046421408653259,0.07452856749296188,0.07146485149860382,0.07412010431289673
3,2014-01-09,"[0.0738949  0.07693551 0.07421756 0.07650266 0.07869006 0.08096603
 0.07703739 0.08338767 0.07394403 0.07763302 0.08051345 0.07487951
 0.07139826]",1.0052695665384705,1.0057192895775748,0.009541365006485234,0.07693550735712051,0.07421755790710449,0.07650265842676163,0.0786900594830513,0.0809660330414772,0.07703738659620285,0.08338766545057297,0.07394403219223022,0.07763301581144333,0.08051344752311707,0.07487951219081879,0.07139825820922852,0.07389489561319351
4,2014-01-10,"[0.07356241 0.07700591 0.07431572 0.07671214 0.07841948 0.08097932
 0.07700446 0.083211   0.07395524 0.07769992 0.08050674 0.07529847
 0.07132918]",1.0069384346226473,1.0076243171598616,0.0065285366439470265,0.07700590789318085,0.07431571930646896,0.07671213895082474,0.07841948419809341,0.08097931742668152,0.07700446248054504,0.0832110047340393,0.073955237865448,0.0776999220252037,0.08050674200057983,0.07529847323894501,0.07132917642593384,0.07356241345405579
5,2014-01-13,"[0.07295409 0.07714686 0.07424387 0.07709806 0.07777543 0.08084459
 0.07701819 0.08276211 0.07418115 0.07792801 0.08051584 0.07608565
 0.07144615]",1.0076505208577715,1.008286770410141,0.007989169016235347,0.07714685797691345,0.07424387335777283,0.0770980641245842,0.07777543365955353,0.08084458857774734,0.07701819390058517,0.08276210725307465,0.07418115437030792,0.07792801409959793,0.08051583915948868,0.0760856494307518,0.07144615054130554,0.07295408844947815
6,2014-01-14,"[0.07217158 0.0773192  0.07381698 0.07779095 0.07675108 0.08062588
 0.07716862 0.08213427 0.07461347 0.07828893 0.08038174 0.07726352
 0.07167374]",1.000302718314097,1.0002081667793248,0.011516927737103184,0.0773192048072815,0.07381698489189148,0.07779094576835632,0.07675108313560486,0.08062588423490524,0.07716862112283707,0.08213426917791367,0.07461346685886383,0.07828892767429352,0.08038173615932465,0.07726351916790009,0.07167374342679977,0.07217157632112503
7,2014-01-15,"[0.07108168 0.07765366 0.07284453 0.07896273 0.07484479 0.08011811
 0.07755146 0.08094864 0.07560994 0.07885758 0.07977605 0.07947927
 0.07227155]",0.9957724567069061,0.9953683030155006,0.01369686700427388,0.0776536613702774,0.07284452766180038,0.07896272838115692,0.07484479248523712,0.08011811226606369,0.0775514617562294,0.08094864338636398,0.07560994476079941,0.07885757833719254,0.07977604866027832,0.07947926968336105,0.07227154821157455,0.07108168303966522
8,2014-01-16,"[0.         0.08453618 0.07666975 0.08548554 0.07727544 0.08528752
 0.08456407 0.08509829 0.08358944 0.08510476 0.08402971 0.08922503
 0.07913429]",1.003001820620259,1.0024851456243709,0.07110301346672934,0.08453617990016937,0.07666974514722824,0.08548554033041,0.07727544009685516,0.08528751879930496,0.08456406742334366,0.08509828895330429,0.08358944207429886,0.08510475605726242,0.08402971178293228,0.08922503143548965,0.07913428544998169,0.0
9,2014-01-17,"[0.         0.09154336 0.08227047 0.09186768 0.         0.09210969
 0.0929616  0.09003071 0.09301712 0.09235254 0.08899627 0.09786205
 0.08698849]",1.0062867598726293,1.0066614210718439,0.15349916997532184,0.09154336154460907,0.08227047324180603,0.09186767786741257,0.0,0.09210968762636185,0.09296160191297531,0.0900307148694992,0.09301711618900299,0.09235253930091858,0.0889962688088417,0.09786204993724823,0.08698849380016327,0.0
10,2014-01-21,"[0.14680639 0.08765849 0.0863854  0.         0.09272034 0.08871441
 0.         0.10205385 0.08393491 0.1036411  0.         0.10452479
 0.10356029]",1.0021244979603765,1.0021908179157755,0.43534412715657883,0.08765848726034164,0.08638539910316467,0.0,0.09272033721208572,0.08871441334486008,0.0,0.10205385088920593,0.08393491059541702,0.1036411002278328,0.0,0.10452479124069214,0.10356029123067856,0.14680638909339905
