,Date,Weights,Profit,Base Profit,ITT,IEX,GGG,FLS,HDSN,KAMN,WLFC,LAWS,JNJ,BMY,PFE,ABT,cash
0,2014-01-06,"[0.08883207 0.11212545 0.17511112 0.14108683 0.13471267 0.21566246
 0.         0.         0.         0.         0.         0.
 0.1324694 ]",0.9999999999908883,0.9999999999917246,0.11212544544865341,0.17511112252080602,0.1410868315755229,0.13471267383919597,0.21566245870311432,0.0,0.0,0.0,0.0,0.0,0.0,0.13246939828186943,0.08883206963083794
1,2014-01-07,"[0.         0.11745232 0.19504464 0.15104126 0.14386662 0.25106575
 0.         0.         0.         0.         0.         0.
 0.14152941]",1.0090771968355594,1.0091406291986722,0.11745231868659449,0.19504463614867618,0.15104125896603152,0.14386662321085644,0.2510657544685441,0.0,0.0,0.0,0.0,0.0,0.0,0.1415294085192973,0.0
2,2014-01-08,"[0.         0.11585426 0.1955736  0.14978917 0.14251322 0.25594629
 0.         0.         0.         0.         0.         0.
 0.14032345]",1.0061987724676646,1.0075324879550265,0.11585425918865704,0.19557360429294476,0.149789170432636,0.14251321921580823,0.25594629428379007,0.0,0.0,0.0,0.0,0.0,0.0,0.1403234525861639,0.0
3,2014-01-09,"[0.         0.11657154 0.19615029 0.14885106 0.14192199 0.25566928
 0.         0.         0.         0.         0.         0.
 0.14083584]",1.0082277864908922,1.0089782595529062,0.11657154045099777,0.19615028839823262,0.14885106139768664,0.14192198573711415,0.255669282556753,0.0,0.0,0.0,0.0,0.0,0.0,0.14083584145921577,0.0
4,2014-01-10,"[0.         0.11608898 0.19614287 0.14897702 0.14201419 0.25606154
 0.         0.         0.         0.         0.         0.
 0.1407154 ]",1.0138567013922861,1.0159351140912716,0.11608898087078076,0.19614286803021325,0.14897701842985017,0.14201419060815523,0.25606154236946865,0.0,0.0,0.0,0.0,0.0,0.0,0.14071539969153188,0.0
5,2014-01-13,"[0.         0.11597804 0.1958408  0.14901101 0.14265966 0.25591245
 0.         0.         0.         0.         0.         0.
 0.14059804]",1.0122081394422602,1.022023558291939,0.11597804431131123,0.19584080321440786,0.14901101355460597,0.14265965793763635,0.2559124453665987,0.0,0.0,0.0,0.0,0.0,0.0,0.14059803561544,0.0
6,2014-01-14,"[0.         0.11546667 0.19531358 0.14942407 0.14339473 0.25620273
 0.         0.         0.         0.         0.         0.
 0.14019822]",1.010235793373897,1.0227703579437677,0.1154666677478364,0.1953135823589632,0.14942406660543564,0.14339473426302546,0.2562027283987442,0.0,0.0,0.0,0.0,0.0,0.0,0.14019822062599507,0.0
7,2014-01-15,"[0.         0.11533964 0.19508041 0.14950871 0.14371513 0.25630454
 0.         0.         0.         0.         0.         0.
 0.14005158]",0.9995957435499897,1.0203607729057658,0.11533963658939707,0.1950804064702553,0.14950870701241525,0.1437151279894294,0.25630454316551093,0.0,0.0,0.0,0.0,0.0,0.0,0.14005157877299204,0.0
8,2014-01-16,"[0.         0.11526791 0.19513013 0.14950804 0.14351245 0.25653879
 0.         0.         0.         0.         0.         0.
 0.14004268]",1.017794358028573,1.0253902856507393,0.11526790820349767,0.1951301344122547,0.14950803605044255,0.14351245167409735,0.2565387898212807,0.0,0.0,0.0,0.0,0.0,0.0,0.14004267983842705,0.0
9,2014-01-17,"[0.         0.11529487 0.19508186 0.14946918 0.14355108 0.25659764
 0.         0.         0.         0.         0.         0.
 0.14000537]",1.0142611893151185,1.0297777611065786,0.11529487178098838,0.19508185897293945,0.1494691761867718,0.1435510751532394,0.2565976434993795,0.0,0.0,0.0,0.0,0.0,0.0,0.1400053744066815,0.0
