,Date,Weights,Profit,Base Profit,Volume,CVR,PFIN,SPXC,LECO,AMS,DGX,PMD,LH,CTO,FRPH,TRC,CIGI,cash
0,2014-01-06,"[0.11184892 0.1126684  0.         0.11278357 0.         0.12812742
 0.         0.         0.15161557 0.13915411 0.12135788 0.12244411
 0.        ]",0.9999999999911184,0.9999999999917251,0.8881510755118787,0.11266840215809143,0.0,0.112783571977141,0.0,0.12812742363248866,0.0,0.0,0.1516155744196205,0.1391541115466223,0.12135788102752176,0.12244411075039303,0.0,0.11184892448812135
1,2014-01-07,"[0.         0.12535359 0.         0.12555633 0.         0.14322064
 0.         0.         0.17359588 0.15845893 0.13632576 0.13748888
 0.        ]",1.0158481816335412,1.0126412260068063,0.11184892448712812,0.12535358572784575,0.0,0.12555632543277226,0.0,0.14322064078256594,0.0,0.0,0.17359588228258924,0.15845892855315483,0.1363257589608702,0.137488878260202,0.0,0.0
2,2014-01-08,"[0.         0.12515833 0.         0.12492843 0.         0.1433861
 0.         0.         0.17437586 0.15860725 0.13593727 0.13760676
 0.        ]",1.013803461745047,1.0097812298264572,0.012412161133903053,0.12515832956090153,0.0,0.12492843141286077,0.0,0.1433860963171494,0.0,0.0,0.17437585820875504,0.1586072535101786,0.13593726625578115,0.13760676473437336,0.0,0.0
3,2014-01-09,"[0.         0.12527082 0.         0.12476994 0.         0.14378071
 0.         0.         0.1743598  0.1589743  0.13601943 0.13682499
 0.        ]",1.0217396546734925,1.0179533694694223,0.015204080019094887,0.12527082083717597,0.0,0.12476993743363612,0.0,0.1437807141038064,0.0,0.0,0.17435979551973554,0.158974304575651,0.13601943432403213,0.13682499320596297,0.0,0.0
4,2014-01-10,"[0.         0.12523121 0.         0.12488023 0.         0.14258832
 0.         0.         0.17519062 0.15891283 0.1361767  0.13702008
 0.        ]",1.0174913075511078,1.0166532856829233,0.011112002637731462,0.1252312134860993,0.0,0.12488023068000186,0.0,0.14258832198827456,0.0,0.0,0.17519062233151197,0.15891283044771012,0.1361766996588496,0.13702008140755273,0.0,0.0
5,2014-01-13,"[0.         0.12479624 0.         0.1251016  0.         0.14250352
 0.         0.         0.17482479 0.15902889 0.13605574 0.13768921
 0.        ]",1.0166441157710993,1.014827339983643,0.009457304051847177,0.12479623853308933,0.0,0.1251016012468149,0.0,0.14250352459513632,0.0,0.0,0.1748247937492381,0.15902889212977697,0.13605573756336287,0.13768921218258154,0.0,0.0
6,2014-01-14,"[0.         0.12502574 0.         0.12501303 0.         0.14297151
 0.         0.         0.17520232 0.15889977 0.13576514 0.13712248
 0.        ]",1.0101709129367218,1.0101913453210358,0.009517510623491696,0.12502574433973065,0.0,0.12501302749759058,0.0,0.1429715124186966,0.0,0.0,0.17520231718969478,0.15889977492364044,0.1357651421864815,0.13712248144416544,0.0,0.0
7,2014-01-15,"[0.         0.12376659 0.         0.12532351 0.         0.14425889
 0.         0.         0.17522917 0.15895053 0.13592048 0.13655084
 0.        ]",1.0015167900613076,1.0044941373026872,0.013373786782246343,0.12376658662896144,0.0,0.12532350814299834,0.0,0.1442588887742538,0.0,0.0,0.17522916542637856,0.1589505284511416,0.13592048435530923,0.1365508382209569,0.0,0.0
8,2014-01-16,"[0.         0.12285433 0.         0.12503602 0.         0.14541808
 0.         0.         0.17529448 0.15896733 0.135298   0.13713176
 0.        ]",1.0360399934461237,1.0240411034369234,0.028294912067955393,0.12285432637562202,0.0,0.1250360174601588,0.0,0.14541807938391402,0.0,0.0,0.17529448308330836,0.1589673258203203,0.13529800321799568,0.1371317646586808,0.0,0.0
9,2014-01-17,"[0.         0.12649339 0.         0.12469416 0.         0.14389912
 0.         0.         0.17454201 0.15810738 0.13574122 0.13652272
 0.        ]",1.0381652466918454,1.0254249243400924,0.0329144744750725,0.12649338753020598,0.0,0.12469416489620001,0.0,0.14389912379466277,0.0,0.0,0.17454201354884694,0.15810737787055698,0.13574121617158108,0.1365227161879463,0.0,0.0
