,Date,Weights,Profit,Base Profit,Volume,SPXC,LECO,CVR,PFIN,EAT,JACK,PZZA,MCD,CIA,GL,AAME,FFG,cash
0,2014-01-06,"[0.13850214 0.11595905 0.07850963 0.12985508 0.         0.
 0.         0.07738305 0.09623737 0.13139804 0.         0.13262644
 0.09952921]",0.9956925106793642,0.9950000000000002,0.8614978641271591,0.1159590482711792,0.0785096287727356,0.12985508143901825,0.0,0.0,0.0,0.07738304883241653,0.09623736888170242,0.1313980370759964,0.0,0.13262644410133362,0.0995292067527771,0.13850213587284088
1,2014-01-07,"[0.15131857 0.12520097 0.         0.14143066 0.         0.
 0.         0.08501635 0.10547335 0.1405407  0.         0.14341085
 0.10760852]",0.9987405013200902,0.9993967651244741,0.14358165400845582,0.12520097196102142,0.0,0.14143066108226776,0.0,0.0,0.0,0.08501635491847992,0.1054733544588089,0.1405407041311264,0.0,0.1434108465909958,0.10760851949453354,0.15131856501102448
2,2014-01-08,"[0.15132901 0.12519051 0.         0.14142503 0.         0.
 0.         0.085084   0.10556495 0.14048702 0.         0.14339623
 0.10752326]",0.9943066799611322,0.9931343262655519,0.009199567407723977,0.12519051134586334,0.0,0.1414250284433365,0.0,0.0,0.0,0.08508399873971939,0.10556495189666748,0.14048701524734497,0.0,0.14339622855186462,0.10752325505018234,0.15132901072502136
3,2014-01-09,"[0.15127294 0.12518685 0.         0.14154808 0.         0.
 0.         0.08516818 0.10556748 0.14036861 0.         0.14326096
 0.10762687]",0.9945352506833074,0.9952698253848637,0.007284981169565476,0.12518684566020966,0.0,0.14154808223247528,0.0,0.0,0.0,0.08516817539930344,0.10556747764348984,0.14036861062049866,0.0,0.14326095581054688,0.10762687027454376,0.1512729376554489
4,2014-01-10,"[0.15124641 0.12519856 0.         0.14158796 0.         0.
 0.         0.0852105  0.10529512 0.14048983 0.         0.14324398
 0.1077276 ]",0.9959408931905303,0.9993497003911828,0.013803241426190724,0.12519855797290802,0.0,0.14158795773983002,0.0,0.0,0.0,0.08521050214767456,0.10529512166976929,0.1404898315668106,0.0,0.14324398338794708,0.10772760212421417,0.15124641358852386
5,2014-01-13,"[0.15118064 0.12522434 0.         0.14158857 0.         0.
 0.         0.08524375 0.10537253 0.14049894 0.         0.1431951
 0.10769618]",0.9986773241984073,0.9984295695018831,0.0043433225489197674,0.12522433698177338,0.0,0.14158856868743896,0.0,0.0,0.0,0.08524375408887863,0.10537253320217133,0.14049893617630005,0.0,0.14319509267807007,0.10769617557525635,0.15118063986301422
6,2014-01-14,"[0.15120839 0.12521894 0.         0.14154784 0.         0.
 0.         0.0852249  0.10561826 0.14037192 0.         0.14321332
 0.1075964 ]",0.9907040110411541,0.9910460431457512,0.00862242001121858,0.1252189427614212,0.0,0.14154784381389618,0.0,0.0,0.0,0.08522489666938782,0.10561826080083847,0.1403719186782837,0.0,0.14321331679821014,0.10759640485048294,0.15120838582515717
7,2014-01-15,"[0.1512589  0.12520789 0.         0.14154907 0.         0.
 0.         0.08526758 0.10543656 0.1404134  0.         0.14326331
 0.10760325]",0.9746900968224015,0.9805759852403462,0.013030203703598158,0.12520788609981537,0.0,0.14154906570911407,0.0,0.0,0.0,0.0852675810456276,0.10543656349182129,0.14041340351104736,0.0,0.1432633101940155,0.10760325193405151,0.1512589007616043
8,2014-01-16,"[0.15110427 0.12526059 0.         0.14157327 0.         0.
 0.         0.0852455  0.10490888 0.14072867 0.         0.1433663
 0.10781254]",1.006432297516982,1.0054747679646812,0.02217893804694158,0.125260591506958,0.0,0.14157326519489288,0.0,0.0,0.0,0.08524549752473831,0.10490887612104416,0.1407286673784256,0.0,0.14336630702018738,0.1078125387430191,0.15110427141189575
9,2014-01-17,"[0.15109117 0.12527174 0.         0.14165157 0.         0.
 0.         0.08526649 0.10495469 0.14057487 0.         0.14329429
 0.10789517]",1.0004748652604585,1.0052097752950178,0.03774268752041129,0.125271737575531,0.0,0.14165157079696655,0.0,0.0,0.0,0.08526649326086044,0.10495468974113464,0.1405748724937439,0.0,0.1432942897081375,0.10789516568183899,0.15109117329120636
10,2014-01-21,"[0.15103184 0.12523457 0.         0.14175685 0.         0.
 0.         0.08546254 0.10496153 0.14048454 0.         0.1431442
 0.1079239 ]",0.9951318186282556,1.0006396213545163,0.013266427622923795,0.12523457407951355,0.0,0.1417568475008011,0.0,0.0,0.0,0.0854625403881073,0.10496152937412262,0.1404845416545868,0.0,0.14314420521259308,0.10792389512062073,0.15103183686733246
11,2014-01-22,"[0.1511153  0.12522487 0.         0.14178263 0.         0.
 0.         0.08547257 0.10511339 0.14029989 0.         0.14310494
 0.10788643]",0.999569161192408,1.0074680386393657,0.016144800723379014,0.12522487342357635,0.0,0.14178262650966644,0.0,0.0,0.0,0.08547256886959076,0.10511339455842972,0.14029988646507263,0.0,0.1431049406528473,0.1078864336013794,0.1511152982711792
12,2014-01-23,"[0.15112244 0.12524286 0.         0.14171006 0.         0.
 0.         0.08540383 0.10494268 0.14045611 0.         0.14324366
 0.10787838]",1.0045215219458608,1.0177030084272105,0.005963096953081347,0.12524285912513733,0.0,0.1417100578546524,0.0,0.0,0.0,0.08540382981300354,0.1049426794052124,0.14045611023902893,0.0,0.14324365556240082,0.10787837952375412,0.15112243592739105
