,Date,Weights,Profit,Base Profit,CTS,SANM,IEC,FLEX,GGG,ITT,FLS,IEX,JPM,UMBF,C,TCF,cash
0,2014-01-06,"[0.0994481  0.         0.         0.106953   0.10644715 0.10957066
 0.10876128 0.         0.         0.22283154 0.         0.13507498
 0.11091329]",0.9999999999909944,0.9999999999917246,0.0,0.0,0.1069529964175676,0.10644715000491783,0.10957066195703855,0.10876128492855723,0.0,0.0,0.2228315406704213,0.0,0.135074979790651,0.11091328588587877,0.09944810034496764
1,2014-01-07,"[0.         0.         0.         0.11465734 0.11349441 0.11825514
 0.11689429 0.         0.         0.26839157 0.         0.14916622
 0.11914104]",1.0066807212004334,1.0061932579941946,0.0,0.0,0.1146573406348952,0.11349440682275146,0.11825513512414566,0.11689428563922105,0.0,0.0,0.2683915670324741,0.0,0.14916621999859916,0.11914104474791354,0.0
2,2014-01-08,"[0.         0.         0.         0.11337349 0.11182544 0.11730545
 0.11563644 0.         0.         0.27555989 0.         0.14839973
 0.11789957]",1.0088959516954323,1.0040360296767183,0.0,0.0,0.11337349014035772,0.11182544418937648,0.1173054454749612,0.11563644014591508,0.0,0.0,0.2755598876984882,0.0,0.1483997265766218,0.11789956577427958,0.0
3,2014-01-09,"[0.         0.         0.         0.11292922 0.11087318 0.11759927
 0.1155575  0.         0.         0.27713531 0.         0.14786492
 0.1180406 ]",1.004903957119945,1.004899384721279,0.0,0.0,0.11292921638545503,0.11087318433610037,0.11759926981692996,0.11555749972342881,0.0,0.0,0.27713531059961105,0.0,0.14786492281927843,0.11804059631919632,0.0
4,2014-01-10,"[0.         0.         0.         0.11272243 0.10999833 0.1182878
 0.11569751 0.         0.         0.27736598 0.         0.14743935
 0.11848861]",1.0062535369028505,1.0064761724292832,0.0,0.0,0.11272242771551903,0.10999833164065972,0.11828779817439267,0.11569750947986146,0.0,0.0,0.27736597865597434,0.0,0.14743934637527856,0.11848860795831417,0.0
5,2014-01-13,"[0.         0.         0.         0.11257561 0.10896055 0.11923514
 0.11589989 0.         0.         0.27724053 0.         0.14693898
 0.11914929]",1.005342380193147,1.0070244837250777,0.0,0.0,0.11257560515105712,0.10896055226112548,0.11923514469319292,0.11589989230439461,0.0,0.0,0.2772405309989152,0.0,0.14693898115259268,0.1191492934387221,0.0
6,2014-01-14,"[0.         0.         0.         0.11233667 0.10758384 0.12051951
 0.11623554 0.         0.         0.27702003 0.         0.14609679
 0.12020761]",1.0008631828225085,1.0003378388589614,0.0,0.0,0.11233667381121247,0.10758383800678285,0.12051951120380217,0.1162355429662825,0.0,0.0,0.2770200317841236,0.0,0.14609679464599487,0.12020760758180161,0.0
7,2014-01-15,"[0.         0.         0.         0.11227221 0.10640415 0.12153758
 0.1164127  0.         0.         0.27699653 0.         0.14492469
 0.12145213]",0.9988750999744643,0.9963318928232345,0.0,0.0,0.11227221144302368,0.1064041544905643,0.1215375842934806,0.11641269847467564,0.0,0.0,0.2769965312856872,0.0,0.14492468998918828,0.1214521300233804,0.0
8,2014-01-16,"[0.         0.         0.         0.11423601 0.10785434 0.11997958
 0.11464226 0.         0.         0.27771305 0.         0.14443252
 0.12114225]",1.0014124203705193,1.0022224899199943,0.0,0.0,0.11423600986632546,0.10785434167379475,0.11997957983409992,0.11464225627835986,0.0,0.0,0.27771305015677494,0.0,0.14443251561612774,0.12114224657451739,0.0
9,2014-01-17,"[0.         0.09049387 0.         0.11887878 0.11124705 0.10177657
 0.08988145 0.         0.         0.2526424  0.         0.13689048
 0.09818941]",1.0082910551583621,1.0056791851678968,0.09049387341827653,0.0,0.11887877848133611,0.1112470469262834,0.10177656772602876,0.08988144674104344,0.0,0.0,0.2526423969916055,0.0,0.13689047541170157,0.09818941430372455,0.0
10,2014-01-21,"[0.         0.09071238 0.         0.10499458 0.11505851 0.09699959
 0.10334621 0.         0.         0.25119072 0.         0.13856797
 0.09913003]",1.0074449392815357,1.0019788754351684,0.09071238079436808,0.0,0.10499458396656955,0.11505850945792752,0.09699958837479182,0.10334621150935348,0.0,0.0,0.25119072195990044,0.0,0.13856797174375074,0.09913003219333825,0.0
11,2014-01-22,"[0.         0.08890166 0.         0.10442232 0.11323429 0.09798113
 0.10560782 0.         0.         0.25013067 0.         0.1380997
 0.10162241]",1.000500739349837,1.0017573887752405,0.08890166021284773,0.0,0.10442232368326239,0.11323428798163561,0.09798112993937037,0.10560781782585016,0.0,0.0,0.2501306662833039,0.0,0.13809969922359125,0.10162241485013854,0.0
12,2014-01-23,"[0.         0.08805339 0.         0.1054136  0.11130561 0.09937999
 0.10513976 0.         0.         0.24926716 0.         0.13734651
 0.10409397]",1.0008972828097422,1.0029992525880418,0.08805338653614185,0.0,0.10541360270631281,0.1113056127454119,0.09937999393648428,0.10513975989042926,0.0,0.0,0.24926716492390338,0.0,0.13734651019732871,0.10409396906398785,0.0
13,2014-01-24,"[0.         0.08749484 0.         0.1059218  0.10960026 0.10065081
 0.10465097 0.         0.         0.24876335 0.         0.13660766
 0.10631031]",0.9887340087470335,0.9985391915333591,0.08749484498434565,0.0,0.10592179919031898,0.10960025974609011,0.10065080711676508,0.10465097296613349,0.0,0.0,0.24876335121415827,0.0,0.1366076572321186,0.10631030755006979,0.0
