,Date,Weights,Profit,Base Profit,Volume,MTH,BZH,PHM,NVR,HUBB,IIN,MRCY,AVX,BIO,PKI,COHR,WAT,cash
0,2014-01-06,"[0.07125719 0.07535389 0.07742349 0.07524086 0.07604454 0.07835161
 0.07807499 0.08031724 0.07516585 0.07723334 0.0789858  0.0771376
 0.07941362]",0.9998142588854898,0.9998000000000002,0.9287428185343742,0.07535389065742493,0.07742349058389664,0.075240857899189,0.07604453712701797,0.07835160940885544,0.07807499170303345,0.08031724393367767,0.07516584545373917,0.07723333686590195,0.078985795378685,0.07713759690523148,0.07941362261772156,0.07125718891620636
1,2014-01-07,"[0.         0.08163519 0.0835644  0.08020778 0.08197716 0.08480453
 0.0838751  0.08616998 0.08094448 0.08306778 0.08547047 0.08356019
 0.08472297]",1.00525726061865,1.0052217820093758,0.07124398279249831,0.08163519203662872,0.0835644006729126,0.08020778000354767,0.08197715878486633,0.08480452746152878,0.08387510478496552,0.08616998046636581,0.0809444785118103,0.08306778222322464,0.08547046780586243,0.08356019109487534,0.08472296595573425,0.0
2,2014-01-08,"[0.         0.08164041 0.08360974 0.0802045  0.08203182 0.08487186
 0.08391991 0.08594788 0.08093195 0.08309264 0.08549013 0.08355905
 0.08470012]",1.0048523018543374,1.0049147826602223,0.013213090895493163,0.08164040744304657,0.08360974490642548,0.08020450174808502,0.08203182369470596,0.08487185835838318,0.08391990512609482,0.08594787865877151,0.08093195408582687,0.08309264481067657,0.08549012988805771,0.083559051156044,0.08470012247562408,0.0
3,2014-01-09,"[0.         0.08162661 0.08357447 0.08015754 0.08191487 0.08479413
 0.08371899 0.08619524 0.08101255 0.08307146 0.08552492 0.08374469
 0.0846645 ]",0.999780191195781,0.9997383629169541,0.007193920960389099,0.08162660896778107,0.08357447385787964,0.08015754073858261,0.08191487193107605,0.08479412645101547,0.08371898531913757,0.08619523793458939,0.0810125470161438,0.08307145535945892,0.08552491664886475,0.08374468982219696,0.08466450124979019,0.0
4,2014-01-10,"[0.         0.08166225 0.08354234 0.08012076 0.08191267 0.08478437
 0.08375558 0.08627443 0.08100846 0.08304527 0.08554848 0.08368199
 0.08466337]",1.0065881978017763,1.006240854197959,0.015487304600949221,0.08166224509477615,0.0835423395037651,0.0801207572221756,0.08191267400979996,0.0847843661904335,0.08375558257102966,0.08627443015575409,0.08100846409797668,0.08304527401924133,0.08554848283529282,0.08368198573589325,0.08466336876153946,0.0
5,2014-01-13,"[0.         0.08165912 0.08354931 0.08005614 0.0818586  0.08474785
 0.08372381 0.08635619 0.08103342 0.08307939 0.0855982  0.08369898
 0.08463901]",1.0096598577011118,1.0093922194949867,0.012818137852021797,0.08165911585092545,0.08354930579662323,0.08005613833665848,0.08185859769582748,0.08474785089492798,0.08372380584478378,0.08635619282722473,0.08103341609239578,0.08307939022779465,0.08559820055961609,0.08369898051023483,0.08463901281356812,0.0
6,2014-01-14,"[0.         0.08170882 0.08356613 0.08005544 0.08198094 0.08475395
 0.0837842  0.08615647 0.08100428 0.08315017 0.08556485 0.08353306
 0.0847417 ]",1.0130578833175194,1.0129114308261207,0.010367154348434772,0.08170881867408752,0.08356612920761108,0.08005543798208237,0.08198094367980957,0.08475395292043686,0.08378420025110245,0.08615647256374359,0.08100427687168121,0.08315017074346542,0.08556485176086426,0.08353306353092194,0.08474169671535492,0.0
7,2014-01-15,"[0.         0.08170592 0.08354571 0.08008452 0.08192046 0.08470593
 0.08374478 0.08622066 0.08103612 0.08316205 0.08557232 0.0835894
 0.08471214]",0.9990926304170016,0.9990035542733756,0.012090937117731614,0.08170592039823532,0.08354571461677551,0.08008451759815216,0.08192045986652374,0.08470593392848969,0.08374477922916412,0.08622065931558609,0.08103612065315247,0.08316205441951752,0.08557232469320297,0.08358939737081528,0.08471214026212692,0.0
8,2014-01-16,"[0.         0.08167467 0.08354002 0.08010506 0.08188647 0.08472529
 0.08358198 0.08628953 0.0810542  0.08312272 0.08557297 0.08372186
 0.08472522]",1.0146102983734249,1.0144963160068496,0.009018112313101461,0.08167467266321182,0.08354002237319946,0.08010505884885788,0.08188647031784058,0.0847252905368805,0.08358198404312134,0.08628952503204346,0.0810541957616806,0.08312272280454636,0.08557296544313431,0.08372186124324799,0.08472521603107452,0.0
9,2014-01-17,"[0.         0.08165564 0.08354554 0.0801337  0.08189508 0.08475459
 0.0834936  0.08627326 0.08107507 0.08310435 0.08555059 0.08377161
 0.08474697]",1.0205764581995753,1.0204530284644209,0.009347449139013211,0.08165564388036728,0.08354554325342178,0.08013369888067245,0.08189508318901062,0.0847545936703682,0.08349359780550003,0.08627326041460037,0.08107507228851318,0.08310434967279434,0.08555059134960175,0.08377160876989365,0.08474697172641754,0.0
10,2014-01-21,"[0.         0.08166635 0.08353957 0.08014014 0.08196364 0.08478805
 0.08357849 0.08615673 0.08107159 0.08311604 0.08553554 0.08368052
 0.08476336]",1.0237539218871898,1.0235978430863304,0.00895882156043048,0.08166635036468506,0.08353956788778305,0.0801401361823082,0.08196363598108292,0.08478805422782898,0.08357848972082138,0.08615672588348389,0.08107158541679382,0.08311603963375092,0.08553554117679596,0.08368051797151566,0.08476335555315018,0.0
