,Date,Weights,Profit,Base Profit,Volume,CTO,TRC,FRPH,CIGI,FLEX,CTS,SANM,IEC,CLB,ENSV,RES,HLX,cash
0,2014-01-06,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.99999999999125,0.99999999999,0.875,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
1,2014-01-07,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",1.0011161444335324,1.0068444389146787,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
2,2014-01-08,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9979966412025537,1.003370456869321,0.011557231552613786,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
3,2014-01-09,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9989452671372914,1.0055572749349873,0.010955432177346888,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
4,2014-01-10,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9965072227524638,1.0100215627316733,0.004481302199573984,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
5,2014-01-13,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9947878301662635,1.002951128458353,0.01349445638816036,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
6,2014-01-14,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9874803351892456,0.9963083366129207,0.009626713734656244,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
7,2014-01-15,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9786796778176124,0.9927203533618932,0.010154364361822986,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
8,2014-01-16,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9873101293248105,0.9964292241839255,0.012873067765092764,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
9,2014-01-17,"[0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.125 0.125 0.    0.
 0.125]",0.9966945428588799,1.0086305404158755,0.007676139634953445,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.125
