,Date,Weights,Profit,Base Profit,Volume,IVAC,TRT,ASYS,VECO,TFX,ATRI,MMM,CRY,KOPN,XLNX,INTC,MXIM,cash
0,2014-01-06,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",0.99999999999125,0.99999999999,0.875,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
1,2014-01-07,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0098307897736372,1.0071673092425724,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
2,2014-01-08,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",0.9949628250271148,0.9984753613092017,0.014965183695108053,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
3,2014-01-09,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0048988419973077,1.0095591007317846,0.008258935541097096,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
4,2014-01-10,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0250304606375917,1.023777227689725,0.016706127175230574,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
5,2014-01-13,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0289259135572657,1.0288504173107333,0.028258737587335415,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
6,2014-01-14,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0287479365787575,1.0281741334717236,0.028794242661599974,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
7,2014-01-15,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.020437967982726,1.0198453801001632,0.0053624559254465505,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
8,2014-01-16,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0445597151884698,1.03965253326144,0.011636057893829209,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
9,2014-01-17,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.057497620317846,1.0491238689804518,0.013394207906004141,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
10,2014-01-21,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0486901631107268,1.0465332659869726,0.015936199663032287,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
11,2014-01-22,"[0.125 0.    0.125 0.125 0.125 0.    0.    0.125 0.125 0.125 0.    0.125
 0.   ]",1.0542958596824554,1.0530288289897238,0.020994670981155098,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.125
