,Date,Weights,Profit,Base Profit,Volume,LAWS,KAMN,WLFC,HDSN,XLNX,MXIM,KOPN,INTC,NBIX,BCRX,TTNP,TECH,cash
0,2014-01-06,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",0.9949999999999999,0.995,0.9999999999999999,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
1,2014-01-07,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.0142721115271582,1.0094669059999666,1.6570078642530458e-16,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
2,2014-01-08,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.1160599599950898,1.0618759512609128,0.01968986818849664,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
3,2014-01-09,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.1359373079963115,1.0776780793110183,0.17402001663824784,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
4,2014-01-10,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.1560131324265102,1.0918824503453628,0.047304667606644535,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
5,2014-01-13,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.1600570086554023,1.0972189622612487,0.02942858957903675,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
6,2014-01-14,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.181721875472833,1.1088788636483227,0.021885533673038093,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
7,2014-01-15,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.1852247902604653,1.1102205861989578,0.019175728094779035,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
8,2014-01-16,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.2405434772861694,1.1431996292228763,0.018765113284865468,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
9,2014-01-17,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.2205517080058277,1.1373934423313985,0.0344536712594551,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
10,2014-01-21,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.2085197547019966,1.1342747848829007,0.03424950792662169,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
11,2014-01-22,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.225173748510882,1.148710261759837,0.02167148923555458,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
12,2014-01-23,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.2372833140776174,1.1515978807655656,0.01805328432312579,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
13,2014-01-24,"[0.         0.         0.         0.16666667 0.         0.
 0.         0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.        ]",1.256325115540416,1.1634588927734213,0.03232160161974666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
