,Date,Weights,Profit,Base Profit,FMC,GRA,OLN,BCPC,XLNX,KOPN,MXIM,INTC,COHR,WAT,BIO,PKI,cash
0,2014-01-06,"[0.09761124 0.14239049 0.13409285 0.         0.13116303 0.11156211
 0.         0.         0.         0.09344479 0.         0.11407245
 0.17566304]",0.9999999999909761,0.9999999999917246,0.1423904943521891,0.13409285016047806,0.0,0.131163026074531,0.11156211056180933,0.0,0.0,0.0,0.09344479181810494,0.0,0.11407245337651051,0.1756630356101094,0.09761123804626776
1,2014-01-07,"[0.         0.15972217 0.14919318 0.         0.14436973 0.120258
 0.         0.         0.         0.10017247 0.         0.12293586
 0.20334859]",1.006728253351545,1.0060327493794248,0.15972217310476308,0.14919317657662892,0.0,0.1443697336528655,0.1202580013465619,0.0,0.0,0.0,0.10017246902004887,0.0,0.12293585623520263,0.20334859006392897,0.0
2,2014-01-08,"[0.         0.15984194 0.14897173 0.         0.14413696 0.11954217
 0.         0.         0.         0.09921902 0.         0.1221276
 0.20616058]",1.0017487411318768,1.0008769210269637,0.15984193728648988,0.14897173230576827,0.0,0.1441369578904049,0.1195421718284976,0.0,0.0,0.0,0.09921902173797961,0.0,0.12212759780972236,0.20616058114113742,0.0
3,2014-01-09,"[0.         0.15969623 0.14880647 0.         0.14419317 0.11953358
 0.         0.         0.         0.09893416 0.         0.12212259
 0.2067138 ]",1.0047842005663117,1.0008318044312376,0.15969623061054347,0.14880647115563111,0.0,0.14419316689513675,0.11953357748507859,0.0,0.0,0.0,0.0989341624699281,0.0,0.12212258845782295,0.20671380292585895,0.0
4,2014-01-10,"[0.         0.15963873 0.14871942 0.         0.14424672 0.11958422
 0.         0.         0.         0.09882133 0.         0.12222964
 0.20675993]",1.0127343413647116,1.0047342137906812,0.15963872680414445,0.1487194211876053,0.0,0.1442467237899103,0.1195842245298967,0.0,0.0,0.0,0.09882133084292435,0.0,0.12222964312626274,0.20675992971925616,0.0
5,2014-01-13,"[0.         0.15959548 0.14861713 0.         0.14433035 0.11963509
 0.         0.         0.         0.09871168 0.         0.12235929
 0.20675097]",1.0181016282693565,1.0046670433199973,0.1595954784088589,0.14861713494148812,0.0,0.14433034837834402,0.11963509144158077,0.0,0.0,0.0,0.09871168111429754,0.0,0.12235929115865465,0.20675097455677605,0.0
6,2014-01-14,"[0.         0.15968459 0.14867358 0.         0.14434159 0.11960896
 0.         0.         0.         0.09868466 0.         0.12240604
 0.20660059]",1.0144100180606483,1.0042460585792627,0.1596845873014814,0.14867358013778242,0.0,0.1443415873677382,0.11960895850902126,0.0,0.0,0.0,0.09868465982616896,0.0,0.12240603869523617,0.20660058816257154,0.0
7,2014-01-15,"[0.         0.15989991 0.1488294  0.         0.14418611 0.11944346
 0.         0.         0.         0.09886556 0.         0.12221723
 0.20655834]",1.0033252870036304,0.9991345408100244,0.15989991490726543,0.1488293969067033,0.0,0.14418610958917008,0.11944345642664098,0.0,0.0,0.0,0.09886555700904098,0.0,0.12221722901297997,0.2065583361481992,0.0
8,2014-01-16,"[0.         0.15995588 0.14898429 0.         0.14416141 0.11944762
 0.         0.         0.         0.09887345 0.         0.12223169
 0.20634566]",1.0216131205886547,1.016113542499799,0.15995588342082898,0.14898428786985027,0.0,0.14416141026060258,0.11944761676817368,0.0,0.0,0.0,0.09887345210755681,0.0,0.12223169054629562,0.20634565902669214,0.0
9,2014-01-17,"[0.         0.15986584 0.14899146 0.         0.14425715 0.11957666
 0.         0.         0.         0.09873274 0.         0.12242475
 0.20615141]",1.0255223205729729,1.020490711719669,0.1598658415613903,0.14899145705276798,0.0,0.14425714553650784,0.11957666011305981,0.0,0.0,0.0,0.09873274109854215,0.0,0.12242474882731882,0.20615140581041308,0.0
