,Date,Weights,Profit,Base Profit,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
0,2014-01-06,"[0.07691504 0.         0.         0.10394102 0.1264223  0.19910635
 0.         0.         0.         0.08808351 0.1013607  0.1418098
 0.16236129]",0.9999999999907692,0.9999999999917246,0.0,0.0,0.10394102281766968,0.12642229599354227,0.199106347904487,0.0,0.0,0.0,0.08808350581863739,0.1013607008715594,0.141809800158098,0.1623612867773761,0.0769150396586304
1,2014-01-07,"[0.         0.         0.         0.1084388  0.13642378 0.22782615
 0.         0.         0.         0.09060736 0.1052342  0.15388609
 0.17758362]",1.0092763349041323,1.0122073859692606,0.0,0.0,0.1084388010315076,0.1364237776405754,0.22782615092548214,0.0,0.0,0.0,0.0906073620300784,0.10523420328858472,0.1538860886368522,0.17758361644691953,0.0
2,2014-01-08,"[0.         0.         0.         0.10755249 0.13590396 0.23129555
 0.         0.         0.         0.0896487  0.10414323 0.15358589
 0.17787018]",1.0054295193682277,1.0149522473603831,0.0,0.0,0.10755249120934268,0.135903957138141,0.23129555180527672,0.0,0.0,0.0,0.08964869972004508,0.10414322707796266,0.1535858922348445,0.17787018081438738,0.0
3,2014-01-09,"[0.         0.         0.         0.10743003 0.13583081 0.23194905
 0.         0.         0.         0.08958667 0.10392796 0.15343822
 0.17783726]",1.0108507281260424,1.0173714746128595,0.0,0.0,0.10743002927333214,0.13583081168913816,0.23194904532968352,0.0,0.0,0.0,0.08958667425039571,0.10392796194102893,0.15343821543353284,0.17783726208288864,0.0
4,2014-01-10,"[0.         0.         0.         0.10739591 0.13575188 0.23210823
 0.         0.         0.         0.08954306 0.10393593 0.15340351
 0.17786148]",1.0196963727000494,1.0215087672190473,0.0,0.0,0.10739590770186751,0.13575188361589813,0.2321082326221411,0.0,0.0,0.0,0.08954306090891388,0.10393592817981973,0.15340351072546116,0.17786147624589846,0.0
5,2014-01-13,"[0.         0.         0.         0.10735281 0.13579282 0.23212408
 0.         0.         0.         0.08953724 0.10395537 0.1534128
 0.17782487]",1.0225681705456569,1.0260393868673194,0.0,0.0,0.10735281260490145,0.13579282175710927,0.2321240820447969,0.0,0.0,0.0,0.0895372444053172,0.10395536712518837,0.15341279737928717,0.17782487468339947,0.0
6,2014-01-14,"[0.         0.         0.         0.10739947 0.13577863 0.2321239
 0.         0.         0.         0.08955422 0.10392473 0.15338534
 0.1778337 ]",1.0229739445918813,1.0281485565325246,0.0,0.0,0.10739947117513078,0.13577863483175437,0.23212390485982584,0.0,0.0,0.0,0.08955422488935076,0.1039247277001638,0.15338534086866873,0.1778336956751058,0.0
7,2014-01-15,"[0.         0.         0.         0.10747347 0.1357071  0.23212422
 0.         0.         0.         0.08957489 0.10387975 0.15332582
 0.17791474]",1.0188087696550243,1.0326667750909517,0.0,0.0,0.1074734681953269,0.13570710324836724,0.23212422388393233,0.0,0.0,0.0,0.0895748923030607,0.10387975364354476,0.1533258201360653,0.17791473858970266,0.0
8,2014-01-16,"[0.         0.         0.         0.10753831 0.13560712 0.23214258
 0.         0.         0.         0.08956166 0.10386924 0.15327717
 0.17800392]",1.0266130057648089,1.0391280058358472,0.0,0.0,0.10753830982516184,0.1356071185942256,0.2321425842984126,0.0,0.0,0.0,0.08956165701073887,0.1038692411949713,0.15327717252060216,0.17800391655588754,0.0
9,2014-01-17,"[0.         0.         0.         0.1074438  0.13547413 0.23221625
 0.         0.         0.         0.0895329  0.10393204 0.15326677
 0.17813412]",1.024545102338536,1.0394254220933805,0.0,0.0,0.10744379958008801,0.13547412862891564,0.23221624919787853,0.0,0.0,0.0,0.0895329024718712,0.10393203841950475,0.15326676506772158,0.1781341166340202,0.0
