,Date,Weights,Profit,Base Profit,ASYS,TRT,VECO,IVAC,BCRX,TECH,TTNP,NBIX,OLN,GRA,FMC,BCPC,cash
0,2014-01-06,"[0.30139792 0.         0.36120148 0.         0.3374006  0.
 0.         0.         0.         0.         0.         0.
 0.        ]",0.999999999993014,0.9999999999917246,0.0,0.3612014775989676,0.0,0.3374006014761775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013979209248549
1,2014-01-07,"[0.         0.         0.52395103 0.         0.47604897 0.
 0.         0.         0.         0.         0.         0.
 0.        ]",0.9983354886923722,1.0109953912510217,0.0,0.5239510290346803,0.0,0.4760489709653197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-01-08,"[0.         0.         0.53185943 0.         0.46814057 0.
 0.         0.         0.         0.         0.         0.
 0.        ]",0.9843050704062668,1.0516462856249533,0.0,0.5318594302195783,0.0,0.46814056978042173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2014-01-09,"[0.         0.         0.42357141 0.         0.37036656 0.
 0.         0.         0.         0.         0.         0.
 0.20606204]",1.0085309447973145,1.073687906282727,0.0,0.42357140539730853,0.0,0.3703665570607013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20606203754199012,0.0
4,2014-01-10,"[0.         0.         0.39236044 0.         0.34700762 0.
 0.         0.         0.         0.         0.         0.
 0.26063194]",1.0324922698049386,1.0952053123108991,0.0,0.3923604387392658,0.0,0.34700761644043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2606319448203016,0.0
5,2014-01-13,"[0.         0.         0.38262255 0.         0.34194038 0.
 0.         0.         0.         0.         0.         0.
 0.27543707]",1.0074385681362452,1.1043599430456836,0.0,0.3826225466143181,0.0,0.3419403794373339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275437073948348,0.0
6,2014-01-14,"[0.         0.         0.37976974 0.         0.33966823 0.
 0.         0.         0.         0.         0.         0.
 0.28056203]",1.0094528204361761,1.112234541211245,0.0,0.3797697375695118,0.0,0.33966823104545835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805620313850297,0.0
7,2014-01-15,"[0.         0.         0.37988733 0.         0.33791832 0.
 0.         0.         0.         0.         0.         0.
 0.28219435]",1.0083401173462345,1.1056720660896266,0.0,0.3798873326692615,0.0,0.3379183156629464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821943516677921,0.0
8,2014-01-16,"[0.         0.         0.37931282 0.         0.33720374 0.
 0.         0.         0.         0.         0.         0.
 0.28348344]",1.0479983489589966,1.1383654287319642,0.0,0.3793128215616193,0.0,0.3372037398717383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2834834385666424,0.0
9,2014-01-17,"[0.         0.         0.37950086 0.         0.33730816 0.
 0.         0.         0.         0.         0.         0.
 0.28319098]",1.0421148229548847,1.1306788733697366,0.0,0.3795008614487905,0.0,0.3373081578479942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2831909807032153,0.0
10,2014-01-21,"[0.         0.         0.37979386 0.         0.33719366 0.
 0.         0.         0.         0.         0.         0.
 0.28301248]",1.0364065292831302,1.1347119727748547,0.0,0.379793859715513,0.0,0.33719365821912645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28301248206536056,0.0
11,2014-01-22,"[0.         0.         0.37811529 0.         0.33680157 0.
 0.         0.         0.         0.         0.         0.
 0.28508315]",1.0453697910498463,1.14544817440761,0.0,0.37811528534542344,0.0,0.33680156963754465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28508314501703186,0.0
