,Date,Weights,Profit,Base Profit,Volume,PMD,AMS,DGX,LH,PHM,MTH,BZH,NVR,TCF,JPM,UMBF,C,cash
0,2014-01-06,"[0.12623611 0.17666899 0.         0.         0.         0.14845431
 0.12294208 0.         0.11167887 0.         0.         0.14359638
 0.17042327]",0.9999999999912623,0.9999999999900002,0.8737638890743256,0.17666898667812347,0.0,0.0,0.0,0.14845430850982666,0.12294207513332367,0.0,0.11167886853218079,0.0,0.0,0.14359638094902039,0.17042326927185059,0.12623611092567444
1,2014-01-07,"[0.12553798 0.17650996 0.         0.         0.         0.14914645
 0.12395263 0.         0.11231677 0.         0.         0.14331685
 0.16921932]",1.0078569073667243,1.0092572937078232,0.00398311763998366,0.17650996148586273,0.0,0.0,0.0,0.1491464525461197,0.12395263463258743,0.0,0.11231677234172821,0.0,0.0,0.143316850066185,0.16921931505203247,0.12553797662258148
2,2014-01-08,"[0.12533335 0.17664026 0.         0.         0.         0.14917311
 0.1244757  0.         0.11241832 0.         0.         0.14343463
 0.16852461]",1.0106458628043087,1.009559388578334,0.010608038524909942,0.17664025723934174,0.0,0.0,0.0,0.14917311072349548,0.12447570264339447,0.0,0.11241831630468369,0.0,0.0,0.14343462884426117,0.1685246080160141,0.12533335387706757
3,2014-01-09,"[0.12604468 0.17664237 0.         0.         0.         0.14875276
 0.1239824  0.         0.11205449 0.         0.         0.14361413
 0.16890912]",1.0049943282873302,1.0035747163464164,0.005676561443820294,0.17664237320423126,0.0,0.0,0.0,0.14875276386737823,0.12398239970207214,0.0,0.1120544895529747,0.0,0.0,0.14361412823200226,0.16890911757946014,0.12604467570781708
4,2014-01-10,"[0.12566309 0.17679958 0.         0.         0.         0.14884727
 0.12455292 0.         0.11223175 0.         0.         0.14367738
 0.16822805]",1.015017218087714,1.0063106514823328,0.011665594274272852,0.17679958045482635,0.0,0.0,0.0,0.14884726703166962,0.12455292046070099,0.0,0.11223174631595612,0.0,0.0,0.14367738366127014,0.16822804510593414,0.12566308677196503
5,2014-01-13,"[0.12587939 0.17684835 0.         0.         0.         0.14876151
 0.12444565 0.         0.1121413  0.         0.         0.14373747
 0.16818632]",1.0129296406517994,1.004853205000623,0.005345888613928547,0.17684835195541382,0.0,0.0,0.0,0.14876151084899902,0.12444565445184708,0.0,0.11214129626750946,0.0,0.0,0.14373746514320374,0.16818632185459137,0.12587939202785492
6,2014-01-14,"[0.1254617  0.1769712  0.         0.         0.         0.14901002
 0.12449125 0.         0.11233731 0.         0.         0.14361314
 0.16811532]",1.0096449185245182,1.003899384556094,0.007590664023267877,0.1769711971282959,0.0,0.0,0.0,0.14901001751422882,0.12449125200510025,0.0,0.11233731359243393,0.0,0.0,0.14361314475536346,0.16811531782150269,0.12546169757843018
7,2014-01-15,"[0.12545328 0.17705901 0.         0.         0.         0.14889246
 0.12453176 0.         0.11231983 0.         0.         0.14369443
 0.16804925]",1.001139555412479,1.002384620429959,0.006990528512664752,0.17705900967121124,0.0,0.0,0.0,0.14889246225357056,0.12453176081180573,0.0,0.11231982707977295,0.0,0.0,0.1436944305896759,0.16804924607276917,0.12545327842235565
8,2014-01-16,"[0.12529722 0.17710651 0.         0.         0.         0.14895295
 0.12464745 0.         0.11235712 0.         0.         0.14369652
 0.16794221]",1.0087220991270895,1.0110688397003473,0.008779258839438012,0.17710651457309723,0.0,0.0,0.0,0.14895294606685638,0.12464745342731476,0.0,0.11235712468624115,0.0,0.0,0.14369651675224304,0.16794221103191376,0.12529721856117249
9,2014-01-17,"[0.12543862 0.17711882 0.         0.         0.         0.14888485
 0.12437478 0.         0.11229461 0.         0.         0.14368916
 0.16819917]",1.0049248831805189,1.006618818305365,0.0032529835130321416,0.17711882293224335,0.0,0.0,0.0,0.1488848477602005,0.12437477707862854,0.0,0.11229460686445236,0.0,0.0,0.14368915557861328,0.16819916665554047,0.1254386156797409
10,2014-01-21,"[0.12549114 0.17706119 0.         0.         0.         0.1489097
 0.12432922 0.         0.11228024 0.         0.         0.14365447
 0.16827404]",1.0035121099772852,1.0080334286371246,0.006252636299575529,0.17706118524074554,0.0,0.0,0.0,0.14890970289707184,0.12432922422885895,0.0,0.11228024214506149,0.0,0.0,0.143654465675354,0.16827404499053955,0.12549114227294922
11,2014-01-22,"[0.12558787 0.17703038 0.         0.         0.         0.14892082
 0.12429962 0.         0.11228143 0.         0.         0.143639
 0.16824092]",1.0062683393770477,1.0085390811401722,0.008578980645699853,0.17703038454055786,0.0,0.0,0.0,0.14892081916332245,0.12429962307214737,0.0,0.1122814267873764,0.0,0.0,0.1436389982700348,0.16824091970920563,0.12558786571025848
12,2014-01-23,"[0.12526418 0.17702027 0.         0.         0.         0.14907238
 0.12415712 0.         0.1123633  0.         0.         0.14350113
 0.16862163]",1.0040297042768063,1.010597765326361,0.009731727700025566,0.17702026665210724,0.0,0.0,0.0,0.14907237887382507,0.12415711581707001,0.0,0.112363301217556,0.0,0.0,0.1435011327266693,0.16862162947654724,0.12526418268680573
13,2014-01-24,"[0.12489847 0.17718583 0.         0.         0.         0.14928406
 0.12441486 0.         0.11250737 0.         0.         0.1434629
 0.16824648]",1.0115584774498214,1.0144933923557724,0.011203390986207004,0.17718583345413208,0.0,0.0,0.0,0.14928406476974487,0.12441486120223999,0.0,0.11250737309455872,0.0,0.0,0.1434628963470459,0.16824647784233093,0.12489847093820572
