,Date,Weights,Profit,Base Profit,Volume,SCON,VSAT,MSI,BKTI,PYX,STKL,ANDE,UVV,CIGI,FRPH,CTO,TRC,cash
0,2014-01-06,"[0.16064917 0.         0.17252071 0.18302415 0.         0.
 0.         0.14492255 0.         0.         0.14518471 0.1936987
 0.        ]",0.9999999999916065,0.9999999999900002,0.8393508344888687,0.0,0.172520712018013,0.18302415311336517,0.0,0.0,0.0,0.14492255449295044,0.0,0.0,0.1451847106218338,0.1936987042427063,0.0,0.1606491655111313
1,2014-01-07,"[0.16136949 0.         0.17289582 0.18240209 0.         0.
 0.         0.14465563 0.         0.         0.14488074 0.19379622
 0.        ]",1.0052261689126665,1.0122177600825715,0.0016655772924283416,0.0,0.17289581894874573,0.1824020892381668,0.0,0.0,0.0,0.14465562999248505,0.0,0.0,0.1448807418346405,0.19379621744155884,0.0,0.16136948764324188
2,2014-01-08,"[0.16149542 0.         0.17354439 0.18342164 0.         0.
 0.         0.14411543 0.         0.         0.14420627 0.19321682
 0.        ]",0.9992457645643329,1.0242795344797284,0.005555119705430895,0.0,0.17354439198970795,0.18342164158821106,0.0,0.0,0.0,0.14411543309688568,0.0,0.0,0.14420627057552338,0.19321681559085846,0.0,0.1614954173564911
3,2014-01-09,"[0.16159439 0.         0.17329408 0.1830496  0.         0.
 0.         0.14427169 0.         0.         0.14439781 0.19339244
 0.        ]",1.010524303007458,1.017196087083862,0.002925915577289429,0.0,0.1732940822839737,0.18304960429668427,0.0,0.0,0.0,0.14427168667316437,0.0,0.0,0.1443978101015091,0.19339244067668915,0.0,0.16159439086914062
4,2014-01-10,"[0.16129456 0.         0.173177   0.18309751 0.         0.
 0.         0.1440903  0.         0.         0.1446434  0.19369724
 0.        ]",1.0051683004441276,1.0281928022898958,0.010814049595595983,0.0,0.17317700386047363,0.18309751152992249,0.0,0.0,0.0,0.14409029483795166,0.0,0.0,0.1446433961391449,0.1936972439289093,0.0,0.16129456460475922
5,2014-01-13,"[0.16124934 0.         0.17295446 0.18283318 0.         0.
 0.         0.1442021  0.         0.         0.14484963 0.19391131
 0.        ]",0.9996232398665496,1.016095911602184,0.004514980355653032,0.0,0.17295445501804352,0.18283317983150482,0.0,0.0,0.0,0.1442020982503891,0.0,0.0,0.14484962821006775,0.19391131401062012,0.0,0.1612493395805359
6,2014-01-14,"[0.16131178 0.         0.17286484 0.18291076 0.         0.
 0.         0.14409079 0.         0.         0.14483197 0.19398986
 0.        ]",0.9905221575404557,1.0033754206155991,0.007811828985747921,0.0,0.17286483943462372,0.18291075527668,0.0,0.0,0.0,0.14409078657627106,0.0,0.0,0.14483197033405304,0.1939898580312729,0.0,0.1613117754459381
7,2014-01-15,"[0.16132629 0.         0.17301422 0.18296494 0.         0.
 0.         0.14406423 0.         0.         0.14473209 0.19389826
 0.        ]",0.9786555070530876,0.9945963384865397,0.006946780553168338,0.0,0.17301422357559204,0.18296493589878082,0.0,0.0,0.0,0.14406423270702362,0.0,0.0,0.14473208785057068,0.1938982605934143,0.0,0.16132628917694092
8,2014-01-16,"[0.16137372 0.         0.1728823  0.18274611 0.         0.
 0.         0.14431465 0.         0.         0.14471157 0.19397165
 0.        ]",0.9853472764104635,0.9988972326907696,0.0093690662868802,0.0,0.1728823035955429,0.18274611234664917,0.0,0.0,0.0,0.14431464672088623,0.0,0.0,0.14471156895160675,0.193971648812294,0.0,0.16137371957302094
9,2014-01-17,"[0.16147193 0.         0.1728777  0.18295643 0.         0.
 0.         0.14415549 0.         0.         0.14462945 0.19390902
 0.        ]",0.9936970825732548,1.0203425417390841,0.00513231831411366,0.0,0.172877699136734,0.18295642733573914,0.0,0.0,0.0,0.14415548741817474,0.0,0.0,0.14462944865226746,0.19390901923179626,0.0,0.16147193312644958
10,2014-01-21,"[0.16128409 0.         0.1729235  0.18288665 0.         0.
 0.         0.14417745 0.         0.         0.144723   0.19400534
 0.        ]",0.9929586366406901,1.0247310045632865,0.012121747198101133,0.0,0.1729235053062439,0.18288664519786835,0.0,0.0,0.0,0.14417745172977448,0.0,0.0,0.14472299814224243,0.1940053403377533,0.0,0.16128408908843994
11,2014-01-22,"[0.16125745 0.         0.1727729  0.18278675 0.         0.
 0.         0.14417876 0.         0.         0.14489771 0.19410646
 0.        ]",0.9907208145372942,1.019562626905763,0.008327650753145281,0.0,0.17277289927005768,0.1827867478132248,0.0,0.0,0.0,0.14417876303195953,0.0,0.0,0.1448977142572403,0.19410645961761475,0.0,0.16125744581222534
12,2014-01-23,"[0.16126218 0.         0.17289825 0.1829785  0.         0.
 0.         0.14408079 0.         0.         0.14476436 0.19401594
 0.        ]",0.9806029086177471,1.0192762185257604,0.006933390235718205,0.0,0.17289824783802032,0.18297849595546722,0.0,0.0,0.0,0.14408078789710999,0.0,0.0,0.14476436376571655,0.19401593506336212,0.0,0.16126218438148499
13,2014-01-24,"[0.16130854 0.         0.17269437 0.18264876 0.         0.
 0.         0.14439924 0.         0.         0.14479302 0.19415607
 0.        ]",0.9872930556208949,1.019506158208175,0.013629076320536962,0.0,0.1726943701505661,0.18264876306056976,0.0,0.0,0.0,0.1443992406129837,0.0,0.0,0.14479301869869232,0.19415606558322906,0.0,0.16130854189395905
14,2014-01-27,"[0.16136225 0.         0.17261335 0.1825654  0.         0.
 0.         0.14452416 0.         0.         0.14475745 0.19417737
 0.        ]",0.9848854509364598,1.0097580071413979,0.008037705569400404,0.0,0.17261335253715515,0.18256540596485138,0.0,0.0,0.0,0.14452415704727173,0.0,0.0,0.1447574496269226,0.19417737424373627,0.0,0.16136224567890167
