,Date,Weights,Profit,Base Profit,Volume,SUP,MOD,STRT,DORM,EAT,MCD,PZZA,JACK,MXIM,KOPN,XLNX,INTC,cash
0,2014-01-06,"[0.07774639 0.08211475 0.         0.08208861 0.08659668 0.08448184
 0.08262973 0.08590501 0.08199473 0.08551861 0.0825397  0.08234049
 0.08604348]",0.9998155641736917,0.9998000000000002,0.9222536236047745,0.08211474865674973,0.0,0.08208861202001572,0.08659667521715164,0.08448184281587601,0.0826297327876091,0.08590500801801682,0.08199472725391388,0.08551861345767975,0.08253969997167587,0.08234048634767532,0.08604347705841064,0.07774639129638672
1,2014-01-07,"[0.07367364 0.0767697  0.07207087 0.07591666 0.07880187 0.07778634
 0.07688501 0.07956792 0.07681851 0.07858489 0.076386   0.07673044
 0.08000812]",1.002067572877775,1.0022158456622132,0.14004319018703842,0.07676970213651657,0.07207087427377701,0.07591666281223297,0.07880187034606934,0.07778634130954742,0.07688500732183456,0.07956791669130325,0.07681851089000702,0.07858488708734512,0.07638600468635559,0.07673043757677078,0.0800081193447113,0.07367364317178726
2,2014-01-08,"[0.07355198 0.07672323 0.07190575 0.07583342 0.07888856 0.07783539
 0.07685184 0.07969437 0.07679639 0.07862316 0.07643932 0.07680137
 0.08005521]",0.9920699024890642,0.9913457765942146,0.010108435596627607,0.07672323286533356,0.07190574705600739,0.07583342492580414,0.07888855785131454,0.07783538848161697,0.07685183733701706,0.07969436794519424,0.07679639011621475,0.07862316071987152,0.07643932104110718,0.0768013745546341,0.08005520701408386,0.0735519751906395
3,2014-01-09,"[0.0735543  0.07671665 0.07187382 0.0758197  0.07889637 0.07784439
 0.07685217 0.07968943 0.07678837 0.07864121 0.07642715 0.07680704
 0.08008938]",0.9926591302570918,0.9920142519787427,0.008485698872490165,0.07671664655208588,0.07187382131814957,0.0758197009563446,0.07889636605978012,0.07784438878297806,0.07685217261314392,0.07968942821025848,0.07678837329149246,0.07864121347665787,0.0764271542429924,0.07680703699588776,0.08008938282728195,0.07355429977178574
4,2014-01-10,"[0.07355618 0.07665994 0.07181877 0.07576425 0.07889317 0.07786785
 0.07681262 0.07973261 0.07680263 0.07864514 0.07645101 0.0768721
 0.08012374]",0.9946054336887618,0.9941180605373646,0.00633597708916999,0.07665994018316269,0.0718187689781189,0.0757642537355423,0.07889316976070404,0.07786785066127777,0.07681261748075485,0.07973261177539825,0.07680263370275497,0.07864513993263245,0.07645101100206375,0.0768720954656601,0.08012373745441437,0.07355618476867676
5,2014-01-13,"[0.07363108 0.07666975 0.07186785 0.07577639 0.07886123 0.07783376
 0.07682749 0.0797003  0.076806   0.07862801 0.07646328 0.07685075
 0.08008413]",0.9878573030420902,0.9867997543483923,0.005909354738560663,0.07666974514722824,0.07186785340309143,0.07577639073133469,0.07886122912168503,0.07783376425504684,0.07682748883962631,0.0797002986073494,0.07680600136518478,0.07862801104784012,0.07646328210830688,0.07685074955224991,0.08008413016796112,0.07363107800483704
6,2014-01-14,"[0.07355432 0.07675289 0.07193978 0.07580779 0.07888645 0.07781901
 0.07688159 0.07968522 0.07676224 0.07863174 0.07646844 0.07678535
 0.08002522]",0.9876271995728301,0.9864825682207566,0.0076676063331200285,0.07675289362668991,0.07193978130817413,0.07580778747797012,0.07888644933700562,0.07781901210546494,0.07688159495592117,0.07968521863222122,0.07676224410533905,0.07863173633813858,0.07646843791007996,0.07678534835577011,0.08002521842718124,0.07355432212352753
7,2014-01-15,"[0.07367676 0.0766959  0.07194714 0.0757952  0.07886036 0.07779553
 0.07686455 0.07966454 0.07678557 0.07862011 0.07647647 0.07681365
 0.08000421]",0.9882966658668552,0.9872354571732993,0.007360589423855122,0.07669589668512344,0.0719471350312233,0.07579519599676132,0.07886036485433578,0.07779552787542343,0.07686454802751541,0.07966453582048416,0.07678557187318802,0.07862010598182678,0.07647646963596344,0.07681365311145782,0.08000420778989792,0.07367676496505737
8,2014-01-16,"[0.07366767 0.07662902 0.07188907 0.07576485 0.07889357 0.0778011
 0.07683017 0.07973783 0.07679462 0.07860728 0.07645296 0.0768879
 0.08004399]",1.0009230999744965,1.0005419792254577,0.008553675765627395,0.07662902027368546,0.07188906520605087,0.07576484978199005,0.07889357209205627,0.07780110090970993,0.0768301710486412,0.0797378271818161,0.07679462432861328,0.07860727608203888,0.07645295560359955,0.07688789814710617,0.0800439864397049,0.07366766780614853
9,2014-01-17,"[0.07372529 0.07665568 0.07199483 0.07582028 0.07886762 0.07776194
 0.07686148 0.07967741 0.07679629 0.07858413 0.07644555 0.07684509
 0.07996441]",1.0036296377871923,1.003702309729006,0.0128230054632562,0.07665567845106125,0.0719948261976242,0.07582028210163116,0.07886762171983719,0.0777619406580925,0.07686147838830948,0.07967741042375565,0.07679629325866699,0.07858413457870483,0.0764455497264862,0.07684508711099625,0.07996440678834915,0.07372529059648514
10,2014-01-21,"[0.07377663 0.07662665 0.07194079 0.07581323 0.07885861 0.07775518
 0.0768413  0.07969357 0.07680642 0.07857745 0.07643359 0.0768645
 0.08001208]",0.9979244640657992,0.9974637199605364,0.010145170512399533,0.07662665098905563,0.07194078713655472,0.07581323385238647,0.07885860651731491,0.07775517553091049,0.07684130221605301,0.07969357073307037,0.07680641859769821,0.0785774514079094,0.07643359154462814,0.07686449587345123,0.08001208305358887,0.07377662509679794
