,Date,Weights,Profit,Base Profit,SCON,MSI,BKTI,VSAT,LECO,CVR,SPXC,PFIN,STRM,EBIX,UIS,JKHY,cash
0,2014-02-25,"[0.2722009  0.         0.16821814 0.         0.         0.
 0.14478415 0.         0.         0.12119637 0.19254773 0.10105269
 0.        ]",0.999999999992722,0.9999999999917246,0.0,0.16821814264583052,0.0,0.0,0.0,0.1447841547908824,0.0,0.0,0.12119637422171262,0.19254773336927242,0.10105269073330124,0.0,0.2722009042390009
1,2014-02-26,"[0.19237258 0.         0.18040009 0.         0.         0.
 0.17321635 0.         0.         0.09041421 0.2385052  0.12509157
 0.        ]",0.9993644766568878,1.0023091867461582,0.0,0.1804000870061443,0.0,0.0,0.0,0.1732163481275019,0.0,0.0,0.09041421313467077,0.23850519748310997,0.12509157445195052,0.0,0.19237257979662248
2,2014-02-27,"[0.25684891 0.         0.         0.         0.         0.15161513
 0.1589043  0.         0.         0.         0.25400938 0.17862229
 0.        ]",1.0096170266245728,1.007356384108983,0.0,0.0,0.0,0.0,0.15161513080480826,0.15890429742653944,0.0,0.0,0.0,0.25400937843792837,0.17862228710797923,0.0,0.25684890622274464
3,2014-02-28,"[0.26310668 0.         0.         0.         0.         0.16162296
 0.15733101 0.         0.         0.         0.24915072 0.16878864
 0.        ]",1.0042336231366746,1.0055496866142748,0.0,0.0,0.0,0.0,0.1616229589734713,0.15733100620209975,0.0,0.0,0.0,0.24915071706676573,0.16878864273387106,0.0,0.2631066750237922
4,2014-03-03,"[0.24464502 0.         0.07153124 0.         0.         0.14638531
 0.12610166 0.         0.         0.         0.22801053 0.18332624
 0.        ]",1.0199225186715173,1.0173999232488546,0.0,0.07153123606670568,0.0,0.0,0.146385314726339,0.1261016626067309,0.0,0.0,0.0,0.22801052734766927,0.1833262401654156,0.0,0.24464501908713968
5,2014-03-04,"[0.24027014 0.         0.08484904 0.         0.         0.13830399
 0.13751712 0.         0.         0.         0.22402997 0.17502975
 0.        ]",0.9962483014109547,1.0034712841466475,0.0,0.08484903527082815,0.0,0.0,0.13830399326892626,0.13751711544191758,0.0,0.0,0.0,0.22402996929140678,0.1750297450493316,0.0,0.2402701416775897
6,2014-03-05,"[0.08554168 0.         0.21386084 0.         0.         0.
 0.1509662  0.         0.         0.11428613 0.24651041 0.18883473
 0.        ]",1.0123285913115116,1.01304113212022,0.0,0.21386084304899614,0.0,0.0,0.0,0.1509662045331772,0.0,0.0,0.11428613264229334,0.24651040679131553,0.1888347296665454,0.0,0.08554168331767234
7,2014-03-06,"[0.20864997 0.         0.10802689 0.         0.         0.10004479
 0.15275267 0.         0.         0.         0.24685782 0.18366786
 0.        ]",1.019970266637845,1.0143980672932364,0.0,0.10802688753397437,0.0,0.0,0.10004479407547734,0.15275267365097,0.0,0.0,0.0,0.2468578176563537,0.18366785917459838,0.0,0.2086499679086263
8,2014-03-07,"[0.25581709 0.         0.         0.         0.         0.13053452
 0.14484326 0.         0.         0.         0.26108901 0.20771613
 0.        ]",1.0179852471773008,1.0268324518113807,0.0,0.0,0.0,0.0,0.1305345157006949,0.14484325603066714,0.0,0.0,0.0,0.26108900990901696,0.20771613110901865,0.0,0.2558170872506022
9,2014-03-10,"[0.2222656  0.         0.10992837 0.         0.         0.08198045
 0.15093493 0.         0.         0.         0.24477147 0.19011917
 0.        ]",1.0205580470027482,1.0182751824817087,0.0,0.10992837247186325,0.0,0.0,0.08198044814746476,0.15093493499531324,0.0,0.0,0.0,0.24477147474281,0.1901191681403097,0.0,0.22226560150223906
10,2014-03-11,"[0.15321794 0.         0.20647766 0.         0.         0.
 0.17355409 0.         0.         0.         0.26718274 0.19956757
 0.        ]",1.0118958612035256,1.0139578376239509,0.0,0.20647765995958373,0.0,0.0,0.0,0.17355409267207514,0.0,0.0,0.0,0.2671827364189747,0.19956756727197225,0.0,0.1532179436773943
11,2014-03-12,"[0.08236351 0.         0.22986785 0.         0.         0.
 0.13744631 0.         0.         0.10274454 0.24766574 0.19991204
 0.        ]",1.0116050881077046,1.0296006805672284,0.0,0.22986785456616823,0.0,0.0,0.0,0.13744631175136884,0.0,0.0,0.102744536644217,0.24766574468491306,0.19991204451600142,0.0,0.0823635078373314
12,2014-03-13,"[0.09394597 0.         0.23096405 0.         0.         0.
 0.14229622 0.         0.         0.09760617 0.24474232 0.19044528
 0.        ]",0.9748977068640013,0.995406266643097,0.0,0.23096404830724473,0.0,0.0,0.0,0.14229622178665402,0.0,0.0,0.09760616593047655,0.2447423163686334,0.19044528142531336,0.0,0.09394596618167782
13,2014-03-14,"[0.08196933 0.         0.23386267 0.         0.         0.
 0.14715911 0.         0.         0.0979212  0.24593363 0.19315407
 0.        ]",0.9881789067316065,1.0127812135952758,0.0,0.2338626683171135,0.0,0.0,0.0,0.14715911205469068,0.0,0.0,0.0979211965536457,0.24593363250338715,0.1931540652166461,0.0,0.08196932535451681
14,2014-03-17,"[0.         0.         0.25394068 0.         0.         0.
 0.1594569  0.         0.         0.11574939 0.26284157 0.20801146
 0.        ]",0.9835885629768084,1.0047693709209329,0.0,0.2539406793245289,0.0,0.0,0.0,0.15945689771579394,0.0,0.0,0.11574939161811983,0.26284157481348897,0.20801145652806827,0.0,0.0
15,2014-03-18,"[0.         0.         0.26132192 0.         0.         0.
 0.15088943 0.         0.         0.11805753 0.26352446 0.20620665
 0.        ]",0.977271395001287,1.0137203268251753,0.0,0.2613219238802207,0.0,0.0,0.0,0.15088943243258582,0.0,0.0,0.11805753272541561,0.26352446122012907,0.20620664974164882,0.0,0.0
