,Date,Weights,Profit,Base Profit,Volume,CLB,RES,ENSV,HLX,PFE,ABT,JNJ,BMY,JPM,C,TCF,UMBF,cash
0,2014-01-06,"[0.         0.         0.11159411 0.10775468 0.13545197 0.09559701
 0.         0.11347163 0.09708177 0.10769935 0.12474077 0.
 0.1066087 ]",1.0000000074405806,0.9999999999900002,1.0000000074505806,0.0,0.11159411072731018,0.10775468498468399,0.13545197248458862,0.09559701383113861,0.0,0.1134716346859932,0.09708176553249359,0.10769934952259064,0.12474077194929123,0.0,0.10660870373249054,0.0
1,2014-01-07,"[0.         0.         0.11172848 0.10779455 0.1354354  0.09549012
 0.         0.11360651 0.09711915 0.10765606 0.12470672 0.
 0.10646301]",1.0127301434954254,1.010862702410545,0.000692984912517959,0.0,0.1117284819483757,0.10779455304145813,0.13543540239334106,0.09549012035131454,0.0,0.11360650509595871,0.09711914509534836,0.10765606164932251,0.12470672279596329,0.0,0.1064630076289177,0.0
2,2014-01-08,"[0.         0.         0.11171289 0.1077986  0.13543788 0.09550416
 0.         0.11360531 0.09710374 0.10765237 0.12472335 0.
 0.10646173]",1.0166270911842161,1.0121514534872682,0.007135909867165621,0.0,0.11171288788318634,0.10779859870672226,0.13543787598609924,0.09550416469573975,0.0,0.1136053055524826,0.09710374474525452,0.10765236616134644,0.12472335249185562,0.0,0.10646172612905502,0.0
3,2014-01-09,"[0.         0.         0.11169887 0.1078082  0.1354292  0.09551231
 0.         0.11361313 0.09708562 0.10765181 0.12474683 0.
 0.10645404]",1.0161795961868245,1.011542461777245,0.01340217330804895,0.0,0.11169886589050293,0.1078082025051117,0.13542920351028442,0.09551230818033218,0.0,0.11361312866210938,0.0970856174826622,0.10765181481838226,0.12474682927131653,0.0,0.1064540445804596,0.0
4,2014-01-10,"[0.         0.         0.11169521 0.10779802 0.13543692 0.09550902
 0.         0.11360361 0.09710569 0.10765147 0.12473646 0.
 0.10646361]",1.0278305031113495,1.0219165740484386,0.0070668104619197114,0.0,0.11169520765542984,0.1077980175614357,0.13543692231178284,0.09550902247428894,0.0,0.1136036142706871,0.09710568934679031,0.1076514720916748,0.12473645806312561,0.0,0.10646361112594604,0.0
5,2014-01-13,"[0.         0.         0.11170251 0.10778521 0.13544351 0.0954987
 0.         0.11359625 0.0971312  0.10764796 0.12471826 0.
 0.1064764 ]",1.0290290593645364,1.0224837187673017,0.019888673441197123,0.0,0.11170250922441483,0.10778521001338959,0.13544350862503052,0.0954986959695816,0.0,0.11359624564647675,0.09713120013475418,0.10764795541763306,0.12471825629472733,0.0,0.10647640377283096,0.0
6,2014-01-14,"[0.         0.         0.11171753 0.10777467 0.13544399 0.09548406
 0.         0.11359579 0.09715497 0.1076482  0.12470091 0.
 0.10647991]",1.030750524912492,1.0239461682442614,0.014823648735945065,0.0,0.11171752959489822,0.10777466744184494,0.13544398546218872,0.09548406302928925,0.0,0.11359579116106033,0.09715496748685837,0.10764820128679276,0.12470091134309769,0.0,0.10647990554571152,0.0
7,2014-01-15,"[0.         0.         0.11169654 0.10777836 0.13544373 0.09549307
 0.         0.11359467 0.09714656 0.1076496  0.12471945 0.
 0.10647799]",1.0308739133171794,1.0257325684226808,0.0072381600355509255,0.0,0.11169654130935669,0.10777836292982101,0.13544373214244843,0.09549307078123093,0.0,0.1135946661233902,0.09714655578136444,0.10764960199594498,0.12471944838762283,0.0,0.10647799074649811,0.0
8,2014-01-16,"[0.         0.         0.11171168 0.10779303 0.13544253 0.0955088
 0.         0.11359335 0.09711455 0.10764904 0.12470736 0.
 0.10647962]",1.0318015720810096,1.0280140486689533,0.01341993484828245,0.0,0.11171168088912964,0.10779303312301636,0.13544252514839172,0.09550879895687103,0.0,0.11359335482120514,0.09711454808712006,0.10764904320240021,0.12470736354589462,0.0,0.10647962242364883,0.0
9,2014-01-17,"[0.         0.         0.11170762 0.10780065 0.13543835 0.09551506
 0.         0.11360309 0.09709881 0.1076455  0.12472377 0.
 0.10646714]",1.03225352699542,1.0279652688243848,0.012196045789364974,0.0,0.11170762032270432,0.10780064761638641,0.13543835282325745,0.09551505744457245,0.0,0.11360308527946472,0.09709880501031876,0.10764550417661667,0.12472376972436905,0.0,0.10646713525056839,0.0
10,2014-01-21,"[0.         0.         0.11169012 0.10777562 0.13542938 0.09546995
 0.         0.11361633 0.09716125 0.10765827 0.1247462  0.
 0.1064529 ]",1.0402116742793182,1.036458123176445,0.01145035755127558,0.0,0.11169011890888214,0.10777562111616135,0.13542938232421875,0.09546995162963867,0.0,0.11361633241176605,0.09716124832630157,0.1076582744717598,0.12474620342254639,0.0,0.10645290464162827,0.0
11,2014-01-22,"[0.         0.         0.11169548 0.10779586 0.13542823 0.09550151
 0.         0.11360942 0.09711174 0.10765513 0.12474141 0.
 0.10646123]",1.044884971157883,1.0394259317043975,0.019710412590569173,0.0,0.11169548332691193,0.10779585689306259,0.13542823493480682,0.09550151228904724,0.0,0.1136094182729721,0.09711173921823502,0.1076551303267479,0.12474141269922256,0.0,0.10646123439073563,0.0
12,2014-01-23,"[0.         0.         0.11171164 0.10777013 0.13542488 0.09545098
 0.         0.11362544 0.09717847 0.10765806 0.12473355 0.
 0.10644678]",1.0493038356811875,1.0405193967485553,0.016046286009081052,0.0,0.11171164363622665,0.10777013003826141,0.1354248821735382,0.0954509824514389,0.0,0.11362544447183609,0.09717847406864166,0.10765805840492249,0.12473355233669281,0.0,0.1064467802643776,0.0
