,Date,Weights,Profit,Base Profit,Volume,JACK,PZZA,EAT,MCD,STKL,UVV,PYX,ANDE,MOD,STRT,DORM,SUP,cash
0,2014-01-06,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.99999999999,0.99999999999,1.0,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
1,2014-01-07,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.0035259697752619,1.0040647153160893,0.0,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
2,2014-01-08,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9872843442822903,0.9896541282360476,0.015084839658017747,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
3,2014-01-09,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9878425799907711,0.9914856423162128,0.011778771113137833,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
4,2014-01-10,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9933078251885421,0.994113813913905,0.0136618559924645,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
5,2014-01-13,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9933312362508002,0.9921196875306972,0.012528331466272623,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
6,2014-01-14,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9920755272865768,0.9860907076418827,0.007829036064290425,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
7,2014-01-15,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9886951623502275,0.9819833249715514,0.010238024768128181,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
8,2014-01-16,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.991588576790053,0.9846602092897268,0.009430372856708275,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
9,2014-01-17,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.0000977297606377,0.9894956715097082,0.01653662502460253,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
10,2014-01-21,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.0019590820802693,0.9912492991837794,0.011957311248673637,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
11,2014-01-22,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.001898098157954,0.9905493567807027,0.00697537834394009,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
12,2014-01-23,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.0115934315548802,1.0015593698206784,0.0084312928533255,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
13,2014-01-24,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.0099278773652476,1.0039002549995704,0.01899695352785412,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
14,2014-01-27,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",1.0019338214924505,1.0090050617044455,0.010968212180313828,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
15,2014-01-28,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9882440743919484,0.986149251161884,0.010085862088797758,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
16,2014-01-29,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9655296287499354,0.9775074701119737,0.009580738244695838,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
17,2014-01-30,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9717162003868819,0.9905542728506382,0.0111763505210097,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
18,2014-01-31,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9797567284105188,0.9886399012938019,0.008530440250378319,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
19,2014-02-03,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9653296665401289,0.9752418998749565,0.020106952287089218,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
20,2014-02-04,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9802334433128552,0.9924182404038775,0.006042384224528415,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
21,2014-02-05,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9553200603164589,0.9693155529736961,0.02611219936628061,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
22,2014-02-06,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9587848826481937,0.9720050298882861,0.012360409934587126,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
23,2014-02-07,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9686055105794299,0.976152117834985,0.011258636052654886,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
24,2014-02-10,"[0.    0.125 0.125 0.125 0.125 0.125 0.    0.125 0.    0.125 0.    0.
 0.125]",0.9742924528785433,0.9838407703266062,0.013380285349586728,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0
