,Date,Weights,Profit,Base Profit,ABT,JNJ,BMY,PFE,BCRX,TECH,NBIX,TTNP,JKHY,STRM,UIS,EBIX,cash
0,2014-01-06,"[0.09767392 0.         0.12780751 0.16002097 0.         0.11944434
 0.18471161 0.09684865 0.         0.11365224 0.         0.
 0.09984076]",0.9999999999909768,0.9999999999917246,0.0,0.1278075103261665,0.16002096737199906,0.0,0.11944434023899488,0.18471161357115662,0.09684865314127757,0.0,0.11365224137106097,0.0,0.0,0.099840755525328,0.09767391845401659
1,2014-01-07,"[0.         0.         0.14080993 0.18168561 0.         0.13038808
 0.21519422 0.10292729 0.         0.12252632 0.         0.
 0.10646856]",1.0131672071574909,1.0124751518239055,0.0,0.14080992725133992,0.18168560776841167,0.0,0.13038808019977888,0.21519421925384333,0.10292729203481286,0.0,0.12252631619526404,0.0,0.0,0.10646855729654933,0.0
2,2014-01-08,"[0.         0.         0.1403852  0.18271945 0.         0.12969588
 0.21817895 0.10193955 0.         0.12160101 0.         0.
 0.10547995]",1.079812952608289,1.0584846695121584,0.0,0.14038519786514927,0.1827194542355944,0.0,0.1296958849170534,0.21817894754471306,0.10193955315306674,0.0,0.12160100962341816,0.0,0.0,0.10547995266100484,0.0
3,2014-01-09,"[0.         0.         0.13990054 0.18303016 0.         0.12955067
 0.21873537 0.10179329 0.         0.1214648  0.         0.
 0.10552516]",1.1006227477226012,1.0754384775931662,0.0,0.1399005384201747,0.18303015568048156,0.0,0.1295506743485714,0.21873537106752386,0.1017932927365316,0.0,0.1214648046499094,0.0,0.0,0.10552516309680751,0.0
4,2014-01-10,"[0.         0.         0.13980079 0.18300713 0.         0.12949672
 0.21889953 0.10176672 0.         0.12154185 0.         0.
 0.10548727]",1.1270339372700395,1.0898934362816595,0.0,0.13980078523851722,0.18300713304677393,0.0,0.12949671656890188,0.21889952521055728,0.10176672411209961,0.0,0.12154184809574638,0.0,0.0,0.10548726772740379,0.0
5,2014-01-13,"[0.         0.         0.13981209 0.18293778 0.         0.12953316
 0.21906292 0.10169402 0.         0.1215144  0.         0.
 0.10544563]",1.1376073667227782,1.0939531128926956,0.0,0.13981208591254463,0.18293777565328925,0.0,0.1295331607409044,0.2190629236198165,0.10169401822529892,0.0,0.12151440391091643,0.0,0.0,0.1054456319372301,0.0
6,2014-01-14,"[0.         0.         0.13957263 0.18296047 0.         0.12949528
 0.21928216 0.1016424  0.         0.12161223 0.         0.
 0.10543484]",1.1398075176951157,1.0961929046473702,0.0,0.13957263408778156,0.182960466314897,0.0,0.12949527568636005,0.21928215635199647,0.1016423996638395,0.0,0.12161222693338103,0.0,0.0,0.10543484096174438,0.0
7,2014-01-15,"[0.         0.         0.13968298 0.18294834 0.         0.12952105
 0.21927042 0.10163918 0.         0.1215281  0.         0.
 0.10540993]",1.1374337091201376,1.0937458680530325,0.0,0.13968298249915415,0.1829483359109263,0.0,0.12952105486950924,0.21927042026167903,0.10163917603152885,0.0,0.12152810014846298,0.0,0.0,0.10540993027873931,0.0
8,2014-01-16,"[0.         0.         0.13967819 0.18288256 0.         0.12948811
 0.2191395  0.10170613 0.         0.12165298 0.         0.
 0.10545253]",1.1712500633713632,1.1214987827375609,0.0,0.1396781865181714,0.18288256149884144,0.0,0.12948810879639627,0.21913949883233225,0.10170613482635324,0.0,0.12165297721034814,0.0,0.0,0.10545253231755718,0.0
9,2014-01-17,"[0.         0.         0.13972055 0.18297803 0.         0.12950246
 0.2190353  0.10174052 0.         0.12154231 0.         0.
 0.10548083]",1.1450772608205504,1.1042839648519076,0.0,0.1397205453136376,0.18297803291148304,0.0,0.12950245602566257,0.21903530472981186,0.1017405217386462,0.0,0.12154231361276499,0.0,0.0,0.10548082566799388,0.0
10,2014-01-21,"[0.         0.         0.13964861 0.18303319 0.         0.12950352
 0.21907609 0.10172703 0.         0.12152272 0.         0.
 0.10548885]",1.150643022440095,1.1098610103527102,0.0,0.13964860876964122,0.18303318844827104,0.0,0.12950351660698697,0.2190760888269384,0.10172702594539422,0.0,0.12152271752040104,0.0,0.0,0.10548885388236723,0.0
11,2014-01-22,"[0.         0.         0.13963975 0.18305449 0.         0.12951693
 0.21909035 0.10171477 0.         0.12148789 0.         0.
 0.10549582]",1.1591256328561155,1.115751327660168,0.0,0.1396397516920724,0.18305448679682332,0.0,0.12951692774112505,0.2190903489165106,0.10171477321661615,0.0,0.12148789493106987,0.0,0.0,0.1054958167057825,0.0
12,2014-01-23,"[0.         0.         0.13960578 0.18295468 0.         0.12951018
 0.21915156 0.101694   0.         0.12159738 0.         0.
 0.10548641]",1.1563626724751344,1.1142868572735694,0.0,0.13960577810100258,0.18295468063489154,0.0,0.12951018309284187,0.21915156459376908,0.10169399999088881,0.0,0.1215973834520591,0.0,0.0,0.10548641013454697,0.0
13,2014-01-24,"[0.         0.         0.13952495 0.1827741  0.         0.12955656
 0.21941679 0.10156095 0.         0.12170623 0.         0.
 0.10546043]",1.1611349413455387,1.124100201169171,0.0,0.13952494701062326,0.1827740995679168,0.0,0.12955655673325203,0.21941678518427657,0.10156095255305858,0.0,0.12170622950067639,0.0,0.0,0.1054604294501963,0.0
14,2014-01-27,"[0.         0.         0.13949357 0.18277899 0.         0.12957651
 0.21951709 0.10152202 0.         0.12165851 0.         0.
 0.10545332]",1.149643491250802,1.1163313865307631,0.0,0.13949356543455785,0.18277898635451817,0.0,0.12957650835147366,0.21951709053812854,0.1015220227955455,0.0,0.12165850653015867,0.0,0.0,0.10545331999561751,0.0
