,Date,Weights,Profit,Base Profit,Volume,CTS,SANM,IEC,FLEX,GGG,ITT,FLS,IEX,JPM,UMBF,C,TCF,cash
0,2014-01-06,"[0.06597329 0.         0.10470768 0.07253075 0.09808316 0.0910777
 0.09339895 0.0838684  0.0820906  0.07807886 0.08054132 0.07924442
 0.07040488]",0.9999999999906596,0.9999999999917251,0.9340267061606492,0.0,0.10470767590265709,0.07253074735396409,0.09808316066793213,0.09107769810243545,0.09339895015875002,0.08386840080671681,0.0820906001396765,0.07807885685782769,0.08054131610794966,0.0792444188945272,0.07040488116821267,0.06597329383935063
1,2014-01-07,"[0.         0.         0.11436434 0.07617983 0.10638791 0.09812447
 0.10065904 0.09026148 0.08735816 0.08290432 0.08554593 0.08392848
 0.07428605]",1.007097879261437,1.0061932579941946,0.0659732938387343,0.0,0.11436434474012785,0.07617983415855137,0.10638790644579103,0.0981244664677526,0.10065903881568387,0.09026148497374212,0.08735815694689479,0.08290431568061303,0.08554592967437209,0.08392847553795392,0.07428604655851731,0.0
2,2014-01-08,"[0.         0.         0.11445382 0.07564551 0.10644417 0.09812092
 0.10117125 0.09079514 0.08746768 0.08262718 0.0853192  0.08373272
 0.0742224 ]",1.003089014187058,1.0040360296767183,0.00682179443431691,0.0,0.11445381565543583,0.0756455082215259,0.10644416857357471,0.09812092229272076,0.101171248277935,0.09079514156539994,0.08746768305530038,0.08262718479913951,0.08531920099325084,0.08373272457786031,0.07422240198785689,0.0
3,2014-01-09,"[0.         0.         0.11404438 0.07602474 0.10634864 0.09800041
 0.10135863 0.09090937 0.08751698 0.08256435 0.08524379 0.08371624
 0.07427247]",1.0034951684556725,1.004899384721279,0.010009326398757805,0.0,0.11404437720112374,0.07602474225621111,0.10634863945219256,0.0980004120337088,0.10135862657653712,0.09090937363295953,0.08751697840371238,0.08256434944060265,0.08524379261629933,0.08371624161984634,0.07427246676680646,0.0
4,2014-01-10,"[0.         0.         0.11378337 0.07577736 0.10605116 0.09817067
 0.10169854 0.09126454 0.08776988 0.08229332 0.08526677 0.08345487
 0.07446952]",1.0052685154269485,1.0064761724292832,0.004011550916545269,0.0,0.11378336850740724,0.07577735873175165,0.10605116498056984,0.09817066563586832,0.1016985437314668,0.09126454069944813,0.08776987900658748,0.08229332050805967,0.08526676920314498,0.08345486641854664,0.07446952257714917,0.0
5,2014-01-13,"[0.         0.         0.11351946 0.07549046 0.10578381 0.09842173
 0.10216323 0.09133563 0.08798441 0.08225353 0.08515003 0.08341107
 0.07448665]",1.0050704092720233,1.0070244837250777,0.008558033540361937,0.0,0.11351946144625294,0.07549045543919869,0.10578380708120905,0.09842173083516391,0.10216323393032906,0.09133562763460648,0.08798441410074352,0.08225352569480632,0.08515002650308841,0.08341107046133214,0.07448664687326953,0.0
6,2014-01-14,"[0.         0.         0.1124077  0.07553909 0.10527613 0.09880354
 0.10274336 0.09164503 0.0883424  0.08195466 0.08521247 0.08332806
 0.07474756]",0.99773705561243,1.0003378388589612,0.007060980324670387,0.0,0.11240769795031091,0.07553908857083166,0.10527612748529941,0.09880353868740832,0.10274336447366647,0.0916450284305291,0.08834240365935277,0.08195465817907632,0.0852124723239147,0.08332805954474519,0.07474756069486509,0.0
7,2014-01-15,"[0.         0.         0.11097491 0.07564102 0.1045186  0.0988863
 0.10399993 0.09213482 0.08898037 0.08157609 0.08497577 0.0832863
 0.07502587]",0.9939700460026155,0.9963318928232343,0.00608905306792387,0.0,0.11097491369590318,0.07564101668036019,0.10451860327031329,0.09888630374720896,0.103999932666286,0.09213482458711368,0.0889803706588542,0.08157609397571422,0.08497577028607835,0.08328629921669747,0.07502587121547057,0.0
8,2014-01-16,"[0.         0.         0.10936512 0.07584604 0.10477531 0.09676319
 0.10692733 0.09310605 0.08878273 0.08138472 0.0844849  0.08319956
 0.07536504]",0.9999507558760129,1.0022224899199943,0.009981260766330128,0.0,0.10936512056442105,0.07584603944066393,0.10477531166029826,0.09676319229269804,0.10692733479270983,0.09310604531118186,0.08878273194924856,0.08138472147545041,0.0844849032941726,0.08319955531459959,0.07536504390455591,0.0
9,2014-01-17,"[0.         0.         0.10433305 0.07974007 0.10627385 0.08662247
 0.11446881 0.09587854 0.08975451 0.08099571 0.08125982 0.08450415
 0.07616903]",1.0068658860400355,1.0056791851678968,0.038997937349063726,0.0,0.10433304935471827,0.07974007157270979,0.10627385209810006,0.08662246538391379,0.11446881099328197,0.09587853993307213,0.08975451453757381,0.08099570697273188,0.08125981644039201,0.08450414610659608,0.07616902660691008,0.0
10,2014-01-21,"[0.         0.08234977 0.11263724 0.11304769 0.12369583 0.1440547
 0.08723777 0.         0.08129919 0.09889255 0.         0.15678526
 0.        ]",1.002172848007412,1.0019788754351682,0.5790015552571169,0.08234977086365874,0.11263724224634465,0.11304769209436515,0.12369583263984456,0.14405469901918008,0.08723776872954765,0.0,0.08129919031135505,0.09889254849123989,0.0,0.15678525560446416,0.0,0.0
11,2014-01-22,"[0.         0.         0.11489888 0.10744876 0.11314326 0.14770299
 0.09709103 0.         0.09487189 0.10000569 0.08544866 0.13938882
 0.        ]",1.0013873272912783,1.0017573887752405,0.23356950160032142,0.0,0.11489888410058514,0.10744876042991149,0.1131432644585259,0.14770298973249002,0.09709103000469317,0.0,0.09487188943787464,0.10000569389904447,0.08544866309092453,0.1393888248459506,0.0,0.0
