,Date,Weights,Profit,Base Profit,Volume,JKHY,UIS,STRM,EBIX,ATRI,MMM,CRY,TFX,PCAR,SPAR,OSK,F,cash
0,2014-01-06,"[0.         0.14580826 0.         0.         0.11466388 0.11581777
 0.         0.         0.11960401 0.1373305  0.1150193  0.12564048
 0.12611581]",1.0000000223417418,0.9999999999900002,1.0000000223517418,0.14580826461315155,0.0,0.0,0.11466387659311295,0.11581777036190033,0.0,0.0,0.11960401386022568,0.13733050227165222,0.1150192990899086,0.12564048171043396,0.1261158138513565,0.0
1,2014-01-07,"[0.         0.1454001  0.         0.         0.11448287 0.11613861
 0.         0.         0.11951587 0.13718563 0.11611863 0.12559061
 0.12556764]",1.0065460680617486,1.0067093401972118,0.0028403877730647773,0.14540010690689087,0.0,0.0,0.11448287218809128,0.11613861471414566,0.0,0.0,0.11951586604118347,0.13718563318252563,0.11611863225698471,0.12559060752391815,0.12556764483451843,0.0
2,2014-01-08,"[0.         0.1452967  0.         0.         0.11450907 0.11611087
 0.         0.         0.11954594 0.13722959 0.11592085 0.12569742
 0.12568957]",1.0033838854426818,1.0030936725229385,0.008156688905618924,0.14529669284820557,0.0,0.0,0.11450906842947006,0.11611086875200272,0.0,0.0,0.11954593658447266,0.13722959160804749,0.11592084914445877,0.12569741904735565,0.1256895661354065,0.0
3,2014-01-09,"[0.         0.14517248 0.         0.         0.11446717 0.11614507
 0.         0.         0.11954284 0.1372078  0.11600784 0.12579115
 0.12566565]",1.0089037023791108,1.0077780851280105,0.00714694619808424,0.14517247676849365,0.0,0.0,0.11446716636419296,0.1161450743675232,0.0,0.0,0.11954284459352493,0.13720780611038208,0.11600784212350845,0.12579114735126495,0.12566564977169037,0.0
4,2014-01-10,"[0.         0.14511786 0.         0.         0.11446393 0.11609995
 0.         0.         0.11950073 0.13726494 0.11581795 0.12592825
 0.12580635]",1.0174949388297196,1.0129454210106938,0.011787370737135011,0.1451178640127182,0.0,0.0,0.1144639253616333,0.11609994620084763,0.0,0.0,0.11950073391199112,0.1372649371623993,0.11581794917583466,0.12592825293540955,0.12580634653568268,0.0
5,2014-01-13,"[0.         0.14510871 0.         0.         0.11445773 0.11606561
 0.         0.         0.11944732 0.13732699 0.11567941 0.1260426
 0.12587163]",1.0192379333814212,1.0158972860510402,0.004721608973563572,0.14510871469974518,0.0,0.0,0.11445772647857666,0.1160656064748764,0.0,0.0,0.11944732069969177,0.13732698559761047,0.11567940562963486,0.12604260444641113,0.12587162852287292,0.0
6,2014-01-14,"[0.         0.1452647  0.         0.         0.11438799 0.11603286
 0.         0.         0.11931615 0.13736923 0.11564401 0.1260584
 0.12592667]",1.0205572432292074,1.0101039697901197,0.010842377288262726,0.14526470005512238,0.0,0.0,0.11438798904418945,0.11603286117315292,0.0,0.0,0.11931615322828293,0.13736923038959503,0.11564400792121887,0.1260583996772766,0.125926673412323,0.0
7,2014-01-15,"[0.         0.14518742 0.         0.         0.11439615 0.11602312
 0.         0.         0.11936442 0.13735576 0.11556895 0.12612987
 0.12597436]",1.0063441111740232,0.9988468177973429,0.014535904101240227,0.14518742263317108,0.0,0.0,0.11439615488052368,0.11602312326431274,0.0,0.0,0.1193644180893898,0.1373557597398758,0.11556895077228546,0.1261298656463623,0.1259743571281433,0.0
8,2014-01-16,"[0.         0.14517003 0.         0.         0.11440732 0.11607612
 0.         0.         0.11938139 0.13731124 0.11573314 0.12605007
 0.12587066]",1.0190364716501676,1.0140231355561438,0.008434853434232484,0.14517003297805786,0.0,0.0,0.11440732330083847,0.11607611924409866,0.0,0.0,0.1193813905119896,0.13731123507022858,0.11573313921689987,0.12605006992816925,0.12587065994739532,0.0
9,2014-01-17,"[0.         0.14520943 0.         0.         0.11443902 0.11606723
 0.         0.         0.11935857 0.1373259  0.11571521 0.12603462
 0.12585005]",1.0180188701473831,1.0136077210592698,0.012531726033682656,0.1452094316482544,0.0,0.0,0.11443901807069778,0.11606723070144653,0.0,0.0,0.11935856938362122,0.13732589781284332,0.11571520566940308,0.12603461742401123,0.12585005164146423,0.0
10,2014-01-21,"[0.         0.14521667 0.         0.         0.11444937 0.11605924
 0.         0.         0.11933231 0.1373459  0.11570268 0.12606843
 0.12582543]",1.0222392795811421,1.0200142902294302,0.009704854450190094,0.1452166736125946,0.0,0.0,0.11444937437772751,0.11605923622846603,0.0,0.0,0.11933231353759766,0.13734589517116547,0.11570268124341965,0.12606842815876007,0.125825434923172,0.0
11,2014-01-22,"[0.         0.14525977 0.         0.         0.11444502 0.11609299
 0.         0.         0.11932909 0.13730127 0.11593481 0.12602341
 0.12561363]",1.0212763005065197,1.0237086031670142,0.004421838292536903,0.1452597677707672,0.0,0.0,0.11444501578807831,0.1160929873585701,0.0,0.0,0.11932909488677979,0.1373012661933899,0.1159348115324974,0.12602341175079346,0.12561362981796265,0.0
12,2014-01-23,"[0.         0.14535156 0.         0.         0.11439133 0.11612436
 0.         0.         0.11929397 0.13728067 0.11610071 0.12594023
 0.12551719]",1.0141821984883808,1.0169133523984133,0.008550250983775366,0.1453515589237213,0.0,0.0,0.11439133435487747,0.11612436175346375,0.0,0.0,0.11929396539926529,0.13728067278862,0.11610070616006851,0.1259402334690094,0.12551718950271606,0.0
