,Date,Weights,Profit,Base Profit,Volume,SPAR,PCAR,F,OSK,CTO,CIGI,TRC,FRPH,CIA,AAME,GL,FFG,cash
0,2014-01-06,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.99999999999125,0.99999999999,0.875,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
1,2014-01-07,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0066381081170297,1.0069883420441756,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
2,2014-01-08,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.001162668486321,0.9968015618925754,0.006368396091567551,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
3,2014-01-09,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0038421262725299,0.9981894930752945,0.004550226080349311,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
4,2014-01-10,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0052005560999369,1.0002275616577405,0.007490919638381024,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
5,2014-01-13,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0093503919007818,0.999965719153971,0.006999330264797882,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
6,2014-01-14,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0017371121337348,0.9942397246152026,0.002104351676412802,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
7,2014-01-15,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9912976664949681,0.9832195533053197,0.009322634708723488,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
8,2014-01-16,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9943027791742058,0.9913517371388632,0.008867895739447794,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
9,2014-01-17,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0007497457580317,1.0008365714777143,0.007716005182995439,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
10,2014-01-21,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.001390228576275,0.9990798760044721,0.006595278052221184,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
11,2014-01-22,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0061154828511318,1.0017450189420247,0.014139863054725123,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
12,2014-01-23,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9991325628768913,0.9964949948346277,0.0065672278648115845,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
13,2014-01-24,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9918922012775839,0.9920391772932351,0.00315962809152255,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
14,2014-01-27,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9787693756419341,0.9780442061749116,0.005571328256348737,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
15,2014-01-28,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9626137851841139,0.9612638707739016,0.006090122091908703,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
16,2014-01-29,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9546934831036378,0.9588058442168056,0.007945495319528026,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
17,2014-01-30,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9467595255586149,0.9496964194984968,0.009833579611233996,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
18,2014-01-31,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9525956203723764,0.9518232611069262,0.006490946427894392,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
19,2014-02-03,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9421587274775414,0.9381917738562053,0.009037504980890766,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
20,2014-02-04,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9433704427115293,0.9399899325286181,0.008176491525432152,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
21,2014-02-05,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9222517927127097,0.9150997739086907,0.0054520205390594075,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
22,2014-02-06,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9288334121488517,0.9211032658104782,0.010738473762694644,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
23,2014-02-07,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9291499057775936,0.9146202492803682,0.008752421146047252,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
24,2014-02-10,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9436511112598172,0.9289864447397186,0.007564849692350433,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
25,2014-02-11,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9494051352018039,0.9322742008720878,0.005864923372080812,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
26,2014-02-12,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.939304872302218,0.9246599881134294,0.006207091357775563,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
27,2014-02-13,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9475042035841884,0.9329054989512019,0.011105528667947381,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
28,2014-02-14,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9417485976622527,0.9295192441069422,0.007045952409473966,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
29,2014-02-18,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9617272311297226,0.9470737880972073,0.003296385612049638,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
30,2014-02-19,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9708040828106247,0.9538649145839304,0.012377410406587986,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
31,2014-02-20,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9732353166733325,0.9618377281040623,0.013613881250948971,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
32,2014-02-21,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9666529147430403,0.9592359592615869,0.005349760614269568,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
33,2014-02-24,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9809683590315342,0.9738147645686378,0.010931649652278814,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
34,2014-02-25,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9727657435324226,0.963916341459376,0.01460604389451555,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
35,2014-02-26,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9792020565636227,0.9778541113505911,0.007252715490458297,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
36,2014-02-27,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9795160668522271,0.971920278684608,0.009845240336875439,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
37,2014-02-28,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9868885053407109,0.9764508561980031,0.008797679832503449,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
38,2014-03-03,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9913630453850096,0.9840564471334617,0.004660194432158902,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
39,2014-03-04,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9885545679024135,0.9791098914340807,0.006542515230934198,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
40,2014-03-05,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.993371256545552,0.9882642378839601,0.0071490866826834105,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
41,2014-03-06,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9960951880387684,0.9998478226814113,0.006678191786262068,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
42,2014-03-07,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0025111125896013,1.002845192646582,0.007494176378163485,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
43,2014-03-10,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0075032831975492,1.0050651079407666,0.0055730903456966945,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
44,2014-03-11,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0069624207105876,1.0052805739721842,0.004139937807054442,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
45,2014-03-12,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0053102989121627,1.001315707764362,0.010657132265807567,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
46,2014-03-13,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9967758668830664,0.985200037884181,0.007877511666971974,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
47,2014-03-14,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",1.0040555996261273,1.0021119550431135,0.013389554596329413,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
48,2014-03-17,"[0.125 0.125 0.125 0.125 0.    0.    0.125 0.    0.    0.    0.125 0.125
 0.125]",0.9880670768746634,0.9801693386093051,0.00770611229322896,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125
