,Date,Weights,Profit,Base Profit,Volume,BKTI,VSAT,MSI,SCON,PHM,BZH,NVR,MTH,OLN,FMC,GRA,BCPC,cash
0,2014-01-06,"[0.0872056  0.12089364 0.07897481 0.08730625 0.         0.09281523
 0.0738287  0.1035325  0.         0.07056914 0.06784565 0.11842713
 0.09860141]",0.9954360648779581,0.9950000000000002,0.912794440984726,0.12089364230632782,0.07897480577230453,0.08730624616146088,0.0,0.09281522780656815,0.07382869720458984,0.10353250056505203,0.0,0.07056913524866104,0.0678456500172615,0.11842712759971619,0.09860140830278397,0.08720559626817703
1,2014-01-07,"[0.08718251 0.12097777 0.07890784 0.08787579 0.         0.09271636
 0.07362348 0.10354801 0.         0.07053743 0.06785235 0.11799775
 0.09878073]",0.9982632661952372,0.9982493024368707,0.0016796263084186533,0.12097776681184769,0.07890783995389938,0.08787579089403152,0.0,0.09271635860204697,0.07362347841262817,0.10354800522327423,0.0,0.07053743302822113,0.06785234808921814,0.11799775063991547,0.09878072887659073,0.08718250691890717
2,2014-01-08,"[0.08728521 0.1210907  0.07841454 0.08813211 0.         0.09300657
 0.07384173 0.10334677 0.         0.07039097 0.06793788 0.11777244
 0.09878109]",0.9933955732239313,1.0189467642556786,0.006128934571432693,0.12109069526195526,0.07841454446315765,0.0881321057677269,0.0,0.09300656616687775,0.07384172827005386,0.10334676504135132,0.0,0.0703909695148468,0.06793788075447083,0.11777243763208389,0.09878108650445938,0.08728520572185516
3,2014-01-09,"[0.08727763 0.12112191 0.07851561 0.08814375 0.         0.09290122
 0.07378675 0.10335507 0.         0.07040842 0.06785905 0.11774787
 0.09888273]",0.9799699583554906,0.9983326859939403,0.004836400533871233,0.12112191319465637,0.07851561158895493,0.08814375102519989,0.0,0.09290122240781784,0.07378675043582916,0.10335507243871689,0.0,0.0704084187746048,0.06785905361175537,0.11774786561727524,0.09888272732496262,0.08727762848138809
4,2014-01-10,"[0.08735821 0.12119558 0.07853375 0.08818739 0.         0.09283917
 0.07373028 0.10335837 0.         0.07039808 0.067845   0.11763243
 0.09892175]",0.9907788749312393,1.015226962962973,0.019887055697167963,0.12119558453559875,0.07853374630212784,0.08818738907575607,0.0,0.09283917397260666,0.07373027503490448,0.10335836559534073,0.0,0.07039807736873627,0.06784500181674957,0.1176324337720871,0.0989217460155487,0.08735820651054382
5,2014-01-13,"[0.08738615 0.1212342  0.07858992 0.08817545 0.         0.09277417
 0.07369892 0.10335433 0.         0.07039533 0.06778903 0.11760775
 0.09899475]",0.98579525862997,1.002189355216628,0.010738214695999884,0.12123420089483261,0.07858991622924805,0.0881754457950592,0.0,0.0927741676568985,0.07369892299175262,0.10335433483123779,0.0,0.070395328104496,0.06778903305530548,0.11760774999856949,0.09899474680423737,0.08738614618778229
6,2014-01-14,"[0.08734864 0.12114782 0.07853229 0.08808629 0.         0.09288787
 0.07373586 0.10336997 0.         0.07037706 0.06784812 0.11771102
 0.09895509]",0.9818196419083787,0.9979503014397109,0.008212067638976184,0.12114781886339188,0.07853229343891144,0.08808629214763641,0.0,0.09288787096738815,0.07373586297035217,0.10336996614933014,0.0,0.07037705928087234,0.06784812361001968,0.11771101504564285,0.09895509481430054,0.08734863996505737
7,2014-01-15,"[0.0872153  0.12104458 0.07855333 0.08807379 0.         0.09291561
 0.07377575 0.10339162 0.         0.07043232 0.067849   0.11785369
 0.09889498]",0.9789149752546343,0.9870463734179478,0.005711593275805659,0.1210445836186409,0.07855333387851715,0.08807379007339478,0.0,0.0929156094789505,0.0737757533788681,0.1033916249871254,0.0,0.07043232023715973,0.06784900277853012,0.11785368621349335,0.09889498353004456,0.08721529692411423
8,2014-01-16,"[0.08719536 0.12101563 0.07859985 0.08798437 0.         0.09292564
 0.07378775 0.10342386 0.         0.07043038 0.06788424 0.11792213
 0.09883079]",0.990284860977167,1.0016730689445357,0.016597828079744907,0.12101563066244125,0.07859984785318375,0.0879843682050705,0.0,0.09292563796043396,0.07378774881362915,0.10342385619878769,0.0,0.07043038308620453,0.06788424402475357,0.11792213469743729,0.09883078932762146,0.08719535917043686
9,2014-01-17,"[0.08739054 0.12122314 0.0784933  0.08809885 0.         0.09287632
 0.07376372 0.10334128 0.         0.07036094 0.0678251  0.11761943
 0.09900738]",0.9906572026871932,1.0100375450660106,0.005307780049050345,0.12122314423322678,0.07849329710006714,0.08809884637594223,0.0,0.09287632256746292,0.07376372069120407,0.10334128141403198,0.0,0.0703609436750412,0.06782510131597519,0.11761942505836487,0.09900738298892975,0.08739054203033447
10,2014-01-21,"[0.08737438 0.12119243 0.07856569 0.08806183 0.         0.09284364
 0.07372309 0.10338579 0.         0.07037249 0.06783131 0.11765438
 0.09899496]",0.9969236129505664,1.0145334596571922,0.007078792457959888,0.12119243294000626,0.07856569439172745,0.08806183189153671,0.0,0.09284363687038422,0.07372308522462845,0.103385791182518,0.0,0.07037249207496643,0.06783130764961243,0.11765438318252563,0.09899495542049408,0.08737438172101974
11,2014-01-22,"[0.08737914 0.1212147  0.07857656 0.0880603  0.         0.09281666
 0.07372534 0.10336656 0.         0.07038469 0.06778827 0.11765185
 0.09903593]",1.0003422214947473,1.013072643499219,0.006345729627557287,0.12121470272541046,0.07857655733823776,0.08806030452251434,0.0,0.09281665831804276,0.07372533529996872,0.10336656123399734,0.0,0.0703846886754036,0.0677882730960846,0.11765184998512268,0.09903593361377716,0.08737913519144058
