,Date,Weights,Profit,Base Profit,Volume,FLEX,SANM,CTS,IEC,CLB,HLX,ENSV,RES,VSAT,SCON,MSI,BKTI,cash
0,2014-01-06,"[0.10519202 0.         0.13971484 0.         0.14746303 0.10512804
 0.13652183 0.         0.11975068 0.         0.         0.13718629
 0.10904327]",0.9999999999910517,0.9999999999917251,0.8948079787346594,0.0,0.13971484073384052,0.0,0.1474630293818832,0.10512803686128847,0.13652182892801296,0.0,0.1197506847949279,0.0,0.0,0.13718629174157618,0.10904326629313038,0.10519202126534037
1,2014-01-07,"[0.         0.         0.1586134  0.         0.16932637 0.11427714
 0.15284146 0.         0.13329677 0.         0.         0.1547537
 0.11689116]",1.0004680944590925,1.0045759455875982,0.10519202126439879,0.0,0.15861339869367536,0.0,0.16932637068618409,0.11427714230974825,0.1528414577777282,0.0,0.13329677340977764,0.0,0.0,0.15475369659529392,0.11689116052759241,0.0
2,2014-01-08,"[0.         0.         0.16074394 0.         0.1674538  0.11517256
 0.15242438 0.         0.13387363 0.         0.         0.15542447
 0.11490722]",0.997800841887413,1.0265580375556156,0.012923404288646651,0.0,0.1607439356964838,0.0,0.16745379774689004,0.11517255625747053,0.15242438459357274,0.0,0.13387363488093468,0.0,0.0,0.15542447250552172,0.11490721831912654,0.0
3,2014-01-09,"[0.         0.         0.16031005 0.         0.16882909 0.11541855
 0.15238847 0.         0.13249864 0.         0.         0.15552285
 0.11503236]",0.9908146981938023,1.017901442384787,0.01006594333683533,0.0,0.1603100482974391,0.0,0.1688290879278083,0.11541855273839241,0.15238847165503774,0.0,0.1324986355558522,0.0,0.0,0.1555228477400848,0.11503235608538522,0.0
4,2014-01-10,"[0.         0.         0.16108408 0.         0.16737241 0.11611393
 0.15245999 0.         0.1324945  0.         0.         0.15624959
 0.11422549]",0.9891778335189745,1.0309784607771058,0.011764125643789293,0.0,0.16108408471741392,0.0,0.1673724090179665,0.11611393214028252,0.15245999326628362,0.0,0.13249450146096528,0.0,0.0,0.15624958595330354,0.11422549344378465,0.0
5,2014-01-13,"[0.         0.         0.16168487 0.         0.1643022  0.11722653
 0.15257204 0.         0.13114917 0.         0.         0.15670879
 0.1163564 ]",0.9835466534042098,1.0175147683573966,0.012475531340254205,0.0,0.16168486662831322,0.0,0.1643021998997953,0.11722653310227824,0.1525720402287159,0.0,0.13114917164268464,0.0,0.0,0.15670878647653128,0.11635640202168135,0.0
6,2014-01-14,"[0.         0.         0.16094034 0.         0.16220106 0.11798143
 0.15427408 0.         0.13045763 0.         0.         0.1578501
 0.11629536]",0.9777287498774195,1.0144076302134264,0.008177329715090186,0.0,0.16094033846341976,0.0,0.16220105893512393,0.11798142860883847,0.1542740776351603,0.0,0.13045762966442476,0.0,0.0,0.15785010300794045,0.11629536368509222,0.0
7,2014-01-15,"[0.         0.         0.15954316 0.         0.16124647 0.11794358
 0.15525724 0.         0.12898181 0.         0.         0.15824813
 0.11877961]",0.974754734815353,1.0140273506456428,0.014257587647788818,0.0,0.15954316445197342,0.0,0.16124646762212488,0.1179435829443557,0.15525723682384912,0.0,0.12898180854058144,0.0,0.0,0.15824813159062096,0.11877960802649452,0.0
8,2014-01-16,"[0.         0.         0.15455966 0.         0.16546139 0.11327453
 0.15710488 0.         0.1271109  0.         0.         0.15774702
 0.12474163]",0.9852165284012712,1.0202742553620185,0.019444359679947284,0.0,0.1545596610168115,0.0,0.16546138971384453,0.1132745341269531,0.15710487712309035,0.0,0.12711089592569194,0.0,0.0,0.15774701502694974,0.12474162706665874,0.0
9,2014-01-17,"[0.         0.         0.15192741 0.         0.16814303 0.11229293
 0.15734867 0.         0.12833827 0.         0.         0.15513796
 0.12681174]",0.9923095704072603,1.0319152368135345,0.012490401433031538,0.0,0.15192740764886345,0.0,0.16814302536010303,0.11229292715224262,0.15734867225008295,0.0,0.12833827435710243,0.0,0.0,0.15513795730938068,0.12681173592222475,0.0
10,2014-01-21,"[0.         0.         0.16122926 0.         0.13789551 0.10409838
 0.13188054 0.09943087 0.13051897 0.         0.10172554 0.13322094
 0.        ]",0.9992222868696703,1.0391258419646472,0.42036793869935235,0.0,0.16122926064885754,0.0,0.13789550647883894,0.1040983764046864,0.13188053606589223,0.09943086919130084,0.13051896890865064,0.0,0.1017255442670248,0.1332209380347483,0.0,0.0
11,2014-01-22,"[0.         0.         0.16227115 0.         0.11706994 0.11456779
 0.12957636 0.10131307 0.13074738 0.         0.10902135 0.13543295
 0.        ]",1.0020578899558883,1.0367693074300728,0.0567628871284894,0.0,0.16227115262061237,0.0,0.11706994384793891,0.11456778996404543,0.1295763583110657,0.10131307115683329,0.13074738049220097,0.0,0.10902135345496829,0.13543295015233495,0.0,0.0
12,2014-01-23,"[0.         0.         0.15981551 0.         0.1187769  0.11674928
 0.13176717 0.09656712 0.13090914 0.         0.10670775 0.13870713
 0.        ]",1.009990083541469,1.0411466297717438,0.020686545780057384,0.0,0.15981550986895038,0.0,0.11877689753529785,0.1167492827002188,0.13176717110714595,0.09656711969644806,0.1309091411564323,0.0,0.1067077489000581,0.13870712903544857,0.0,0.0
13,2014-01-24,"[0.         0.         0.15738628 0.         0.12480734 0.11526746
 0.13267327 0.09633401 0.12850344 0.         0.10623067 0.13879754
 0.        ]",1.0140791355764445,1.0448648727330205,0.023808079715863132,0.0,0.1573862831714953,0.0,0.12480733722800107,0.1152674567880995,0.13267326987557437,0.09633400512495577,0.12850344109165424,0.0,0.1062306709093158,0.13879753581090398,0.0,0.0
