,Date,Weights,Profit,Base Profit,Volume,CLB,RES,ENSV,HLX,PFE,ABT,JNJ,BMY,JPM,C,TCF,UMBF,cash
0,2014-01-06,"[0.08100454 0.12803157 0.16912985 0.         0.         0.
 0.13540956 0.09090535 0.         0.         0.09707351 0.08243281
 0.21601281]",0.9908100453855062,0.9917246744082152,0.9189954614493772,0.1280315660765348,0.16912985188082283,0.0,0.0,0.0,0.1354095592257169,0.09090535481236386,0.0,0.0,0.09707350666727782,0.08243281489111123,0.21601280789554983,0.08100453855062284
1,2014-01-07,"[0.         0.13309009 0.19176556 0.         0.         0.
 0.14702456 0.09303663 0.         0.         0.10173804 0.0838004
 0.24954471]",1.0009928571498123,1.0006395254546983,0.08100453855062283,0.13309008554179774,0.19176556442370762,0.0,0.0,0.0,0.14702456136957834,0.09303662928040005,0.0,0.0,0.10173804439085374,0.08380040330397152,0.249544711689691,0.0
2,2014-01-08,"[0.         0.13461974 0.18679618 0.         0.         0.
 0.14572223 0.09364745 0.         0.         0.1016904  0.08216576
 0.25535824]",0.9962300575600562,1.0016971834333661,0.01754884473395854,0.13461974031570023,0.1867961775150103,0.0,0.0,0.0,0.14572223394909853,0.09364745090894262,0.0,0.0,0.10169039601592485,0.08216576325196115,0.25535823804336233,0.0
3,2014-01-09,"[0.         0.13482538 0.18881296 0.         0.         0.
 0.14286155 0.09299459 0.         0.         0.09859976 0.08313675
 0.25876901]",0.998731769275776,1.001197393402008,0.009805889933593256,0.1348253817445924,0.18881296123778926,0.0,0.0,0.0,0.14286155143573365,0.09299458661464434,0.0,0.0,0.09859975889123512,0.08313675409335251,0.25876900598265273,0.0
4,2014-01-10,"[0.         0.13578243 0.18541564 0.         0.         0.
 0.14556552 0.09268889 0.         0.         0.10018832 0.0817315
 0.2586277 ]",0.999632033747896,1.009711266106674,0.00424474840840719,0.13578242967599333,0.18541564409480824,0.0,0.0,0.0,0.14556551681595073,0.09268888799549416,0.0,0.0,0.10018831795794596,0.081731504877857,0.25862769858195067,0.0
5,2014-01-13,"[0.         0.13507445 0.18741368 0.         0.         0.
 0.14391318 0.09132928 0.         0.         0.09874158 0.08207672
 0.26145112]",1.0042972687890126,1.0101767129627806,0.006813244939992927,0.13507444660723983,0.18741368090381724,0.0,0.0,0.0,0.14391317697064393,0.09132927650332998,0.0,0.0,0.09874157991286149,0.0820767239795619,0.26145111512254565,0.0
6,2014-01-14,"[0.         0.13772954 0.19025536 0.         0.         0.
 0.1437661  0.09167004 0.         0.         0.09798163 0.08140818
 0.25718916]",1.0037654345188736,1.0113769225188711,0.005234714738725901,0.13772954198449033,0.1902553562790108,0.0,0.0,0.0,0.14376609561144607,0.09167003789276151,0.0,0.0,0.09798162636916392,0.08140818372712304,0.25718915813600435,0.0
7,2014-01-15,"[0.         0.13547235 0.18821915 0.         0.         0.
 0.14502601 0.09218953 0.         0.         0.09832132 0.08294045
 0.25783119]",1.0036317414932328,1.0128429933807497,0.006831061838289368,0.1354723458892884,0.1882191473871047,0.0,0.0,0.0,0.14502601119435773,0.09218953064152158,0.0,0.0,0.09832132306780313,0.08294045117794863,0.25783119064197574,0.0
8,2014-01-16,"[0.         0.13541726 0.19188608 0.         0.         0.
 0.14412593 0.0911307  0.         0.         0.09865087 0.08219113
 0.25659803]",1.0140355671386552,1.0147153687596926,0.002376246743505034,0.13541726452942965,0.191886078627159,0.0,0.0,0.0,0.1441259270292071,0.09113070155388414,0.0,0.0,0.09865086547725603,0.08219113217078805,0.256598030612276,0.0
9,2014-01-17,"[0.         0.13548008 0.18881676 0.         0.         0.
 0.1444284  0.09207396 0.         0.         0.09744565 0.08253931
 0.25921585]",1.0118457694753475,1.0146753358994,0.005523734213964182,0.1354800797240112,0.18881675880583368,0.0,0.0,0.0,0.14442839627674572,0.09207395769186665,0.0,0.0,0.09744564763559027,0.08253931141542513,0.25921584845052736,0.0
10,2014-01-21,"[0.         0.13582461 0.18959768 0.         0.         0.
 0.14584733 0.09228409 0.         0.         0.09734474 0.08248853
 0.25661301]",1.0100951522981276,1.0216452894686794,0.0028261094354071342,0.1358246128849571,0.18959768025165671,0.0,0.0,0.0,0.14584733474588377,0.0922840922978893,0.0,0.0,0.09734473802270618,0.08248853461836127,0.2566130071785457,0.0
11,2014-01-22,"[0.         0.13480359 0.19360581 0.         0.         0.
 0.14158256 0.09109828 0.         0.         0.09735357 0.08192517
 0.25963103]",1.022988939079831,1.0240809238013608,0.005295920295888559,0.13480359456552898,0.19360580760764565,0.0,0.0,0.0,0.14158255915015547,0.09109827776477199,0.0,0.0,0.09735356770597137,0.08192516618701817,0.2596310270189083,0.0
12,2014-01-23,"[0.         0.1353195  0.18904461 0.         0.         0.
 0.13887105 0.09126953 0.         0.         0.09818831 0.08361723
 0.26368977]",1.0199016271824393,1.0249783135682728,0.01089279900704962,0.13531950442940385,0.18904461068756379,0.0,0.0,0.0,0.13887104767816347,0.09126952714596089,0.0,0.0,0.09818831448253432,0.08361722925105293,0.2636897663253209,0.0
13,2014-01-24,"[0.         0.13422913 0.18931343 0.         0.         0.
 0.1425851  0.09137648 0.         0.         0.09789685 0.08166201
 0.26293701]",1.0231167329291029,1.0291237603390548,0.011995195162740405,0.13422912719020383,0.18931342799976578,0.0,0.0,0.0,0.14258509735245087,0.09137647936718186,0.0,0.0,0.09789684640091492,0.0816620133745467,0.262937008314936,0.0
